tax_id,Order,Family,Species,Density_log10,SD_log10,Q2.5_log10,Q5_log10,Q25_log10,Q75_log10,Q95_log10,Q97.5_log10,Predicted_Density_n_km2,Q2.5,Q5,Q25,Q75,Q95,Q97.5
22690664,Columbiformes,Columbidae,Henicophaps_foersteri,1.146421442,0.518232298,0.127968568,0.290087263,0.796312611,1.500396532,1.994947453,2.163606771,14.009,1.343,1.95,6.256,31.652,98.843,145.749
22690868,Columbiformes,Columbidae,Leptotila_battyi,1.204898371,0.517689749,0.16933372,0.342705225,0.855600185,1.562321457,2.049311677,2.202663069,16.029,1.477,2.201,7.171,36.502,112.024,159.464
22690891,Columbiformes,Columbidae,Leptotila_cassini,1.126297049,0.519748874,0.109351239,0.272679336,0.775963895,1.477214344,1.978224804,2.142991763,13.375,1.286,1.874,5.97,30.006,95.11,138.993
22690898,Columbiformes,Columbidae,Leptotila_conoveri,1.027711569,0.519108022,0.034874019,0.181107671,0.670735007,1.363602077,1.90068844,2.068685296,10.659,1.084,1.517,4.685,23.099,79.559,117.135
22690883,Columbiformes,Columbidae,Leptotila_jamaicensis,0.957989548,0.517398178,-0.050016194,0.11587825,0.606355047,1.307538237,1.810346123,1.973472389,9.078,0.891,1.306,4.04,20.302,64.617,94.075
22690857,Columbiformes,Columbidae,Leptotila_megalura,0.90201641,0.514755844,-0.110127938,0.050430783,0.557989053,1.24782604,1.744752161,1.91133992,7.98,0.776,1.123,3.614,17.694,55.559,81.534
22690895,Columbiformes,Columbidae,Leptotila_ochraceiventris,0.803501279,0.535094383,-0.24176876,-0.075769761,0.445313205,1.165974073,1.674595138,1.844155831,6.361,0.573,0.84,2.788,14.655,47.271,69.848
22690886,Columbiformes,Columbidae,Leptotila_pallida,1.218148972,0.518860743,0.198593832,0.363081719,0.870362737,1.570630194,2.065763645,2.227111564,16.525,1.58,2.307,7.419,37.207,116.349,168.699
22690862,Columbiformes,Columbidae,Leptotila_plumbeiceps,1.051591506,0.518493433,0.036993559,0.201856882,0.702339154,1.402421352,1.90192431,2.067862349,11.261,1.089,1.592,5.039,25.259,79.786,116.913
22690877,Columbiformes,Columbidae,Leptotila_rufaxilla,1.08200301,0.518657496,0.066983819,0.229752365,0.732640077,1.43162404,1.933504324,2.096264354,12.078,1.167,1.697,5.403,27.016,85.803,124.814
22690854,Columbiformes,Columbidae,Leptotila_verreauxi,0.999103147,0.518703181,-0.016368002,0.146488123,0.649745898,1.349027651,1.850190161,2.011518203,9.979,0.963,1.401,4.464,22.337,70.826,102.688
22690874,Columbiformes,Columbidae,Leptotila_wellsi,1.095843774,0.518200511,0.054936756,0.235130384,0.770684112,1.446176544,1.931269368,2.112089809,12.469,1.135,1.718,5.898,27.937,85.363,129.446
22690727,Columbiformes,Columbidae,Leucosarcia_melanoleuca,0.694871825,0.517073057,-0.318051736,-0.153932595,0.344867552,1.044245743,1.543582225,1.702855166,4.953,0.481,0.702,2.212,11.073,34.961,50.449
22691837,Columbiformes,Columbidae,Lopholaimus_antarcticus,0.712165878,0.515355012,-0.298395115,-0.136252726,0.366086291,1.05932281,1.5619333,1.724562452,5.154,0.503,0.731,2.323,11.464,36.47,53.035
22690561,Columbiformes,Columbidae,Macropygia_amboinensis,1.119846909,0.516257079,0.109171919,0.271992633,0.771531129,1.467242468,1.968350265,2.131002357,13.178,1.286,1.871,5.909,29.325,92.972,135.208
22690557,Columbiformes,Columbidae,Macropygia_emiliana,1.175647453,0.515556144,0.169510055,0.329641386,0.828902513,1.522783764,2.025447672,2.186602493,14.985,1.477,2.136,6.744,33.326,106.035,153.675
22690584,Columbiformes,Columbidae,Macropygia_mackinlayi,1.259911703,0.516942171,0.238597969,0.407266711,0.911084115,1.604233819,2.115882208,2.277687648,18.193,1.732,2.554,8.149,40.201,130.582,189.534
154625310,Columbiformes,Columbidae,Macropygia_magna,1.08361363,0.525820987,0.043362015,0.198644158,0.754916518,1.433669109,1.92898785,2.127504349,12.123,1.105,1.58,5.687,27.144,84.916,134.123
22690580,Columbiformes,Columbidae,Macropygia_nigrirostris,1.244803783,0.517903309,0.230768181,0.393033902,0.896271984,1.59407582,2.09448027,2.256416927,17.571,1.701,2.472,7.875,39.271,124.303,180.475
22690571,Columbiformes,Columbidae,Macropygia_phasianella,0.797275418,0.517379026,-0.210877455,-0.043467325,0.44650445,1.145478755,1.654013031,1.813755129,6.27,0.615,0.905,2.796,13.979,45.083,65.126
22690576,Columbiformes,Columbidae,Macropygia_ruficeps,1.237978799,0.517910774,0.225385472,0.387802463,0.888811266,1.587399482,2.08792582,2.250981692,17.297,1.68,2.442,7.741,38.672,122.441,178.23
22690549,Columbiformes,Columbidae,Macropygia_rufipennis,1.133736728,0.519330887,0.095343026,0.275625453,0.792011652,1.481607224,1.980721354,2.140823284,13.606,1.245,1.886,6.195,30.311,95.658,138.3
22690553,Columbiformes,Columbidae,Macropygia_tenuirostris,1.161434561,0.515012954,0.154206654,0.318519845,0.813285564,1.508896392,2.006353309,2.169665951,14.502,1.426,2.082,6.506,32.277,101.474,147.797
22690545,Columbiformes,Columbidae,Macropygia_unchall,0.758783433,0.52165584,-0.263412121,-0.09939619,0.407660011,1.11061362,1.614707125,1.778172507,5.738,0.545,0.795,2.557,12.901,41.182,60.003
22690844,Columbiformes,Columbidae,Metriopelia_aymara,1.053568989,0.516727589,0.047308749,0.203293728,0.704796166,1.404510592,1.895610982,2.059686788,11.313,1.115,1.597,5.068,25.381,78.634,114.733
22690829,Columbiformes,Columbidae,Metriopelia_ceciliae,1.02242205,0.516300878,0.017258669,0.176856076,0.670252114,1.373185555,1.867288454,2.02720882,10.53,1.041,1.503,4.68,23.615,73.67,106.465
22690839,Columbiformes,Columbidae,Metriopelia_melanoptera,0.908718199,0.518280783,-0.105744791,0.056887726,0.559710504,1.258410301,1.759713247,1.922074467,8.104,0.784,1.14,3.628,18.131,57.506,83.575
22690834,Columbiformes,Columbidae,Metriopelia_morenoi,1.125957824,0.511458731,0.161844144,0.298020761,0.784483748,1.468780142,1.982827121,2.127791029,13.365,1.452,1.986,6.088,29.429,96.123,134.212
22690392,Columbiformes,Columbidae,Nesoenas_mayeri,0.978303042,0.499872002,-0.040871004,0.138051073,0.639922727,1.335681596,1.770588263,1.917293431,9.513,0.91,1.374,4.364,21.661,58.964,82.66
22690364,Columbiformes,Columbidae,Nesoenas_picturata,1.092626704,0.514235944,0.084638959,0.246988796,0.748337306,1.438492768,1.939316556,2.105366894,12.377,1.215,1.766,5.602,27.447,86.959,127.458
22690676,Columbiformes,Columbidae,Ocyphaps_lophotes,0.803811853,0.516601316,-0.207191066,-0.04473383,0.455357625,1.152392469,1.652458916,1.814527381,6.365,0.621,0.902,2.853,14.203,44.922,65.242
22690645,Columbiformes,Columbidae,Oena_capensis,0.978603318,0.524545429,-0.047029412,0.11605624,0.625240288,1.331943372,1.84005242,2.005137739,9.519,0.897,1.306,4.219,21.476,69.191,101.19
22725247,Columbiformes,Columbidae,Otidiphaps_nobilis,1.062138148,0.516691752,0.048563484,0.21180681,0.713986082,1.411927315,1.908763687,2.069821846,11.538,1.118,1.629,5.176,25.818,81.052,117.442
22690273,Columbiformes,Columbidae,Patagioenas_araucana,0.848918698,0.519598845,-0.166551463,-0.006097077,0.498417935,1.198696079,1.700936334,1.866343256,7.062,0.681,0.986,3.151,15.801,50.227,73.509
22690281,Columbiformes,Columbidae,Patagioenas_caribaea,0.768857239,0.533896571,-0.272950143,-0.1252779,0.418128593,1.128946659,1.654602916,1.808631935,5.873,0.533,0.749,2.619,13.457,45.144,64.362
22690290,Columbiformes,Columbidae,Patagioenas_cayennensis,0.885652692,0.536037305,-0.16240921,0.004779854,0.524327979,1.246836509,1.766397444,1.933659643,7.685,0.688,1.011,3.344,17.654,58.398,85.834
22690247,Columbiformes,Columbidae,Patagioenas_corensis,0.658971391,0.53582984,-0.383339965,-0.216512436,0.300091438,1.017956994,1.547449997,1.709987373,4.56,0.414,0.607,1.996,10.422,35.274,51.285
