COMMON_NAME,area_square_miles,Estimate,Lower,Upper
Yellow-legged Weaver,7217.822008,6250,2500,9999
Giant Weaver,331.4724996,6250,2500,9999
Yellow Weaver,25895.91104,6250,2500,9999
Loango Weaver,8708.230612,6250,2500,9999
Abbott's Starling,1943.320922,6250,2500,9999
Mountain Peacock-Pheasant,4898.681481,6250,2500,9999
Dot-winged Crake,51721.53239,6250,2500,9999
Mindoro Racquet-tail,3804.254905,6250,2500,9999
Yellow-crested Helmetshrike,13024.46587,6250,2500,9999
Peruvian Martin,51789.99839,6250,2500,9999
Tui,48446.53767,6250,2500,9999
Grauer's Broadbill,7167.391916,6250,2500,9999
Carunculated Fruit-Dove,802.2588233,6250,2500,9999
Gray-green Fruit-Dove,461.3720112,6250,2500,9999
Ochre-marked Parakeet,3967.060947,6250,2500,9999
Austral Rail,44977.95293,6250,2500,9999
Madagascar Rail,57733.91228,6250,2500,9999
Visayan Rhabdornis,9370.42131,6250,2500,9999
Tablas Fantail,261.7036986,6250,2500,9999
Sumba Hornbill,4133.023168,6250,2500,9999
Cordillera Ground-Warbler,2069.862519,6250,2500,9999
Broad-tailed Grassbird,15367.35711,6250,2500,9999
Schouteden's Swift,5248.331792,6250,2500,9999
Amami Woodcock,873.9539338,6250,2500,9999
Perija Tapaculo,419.8313074,6250,2500,9999
Bahama Warbler,999.1205283,6250,2500,9999
Rusty-throated Parrotbill,12636.46699,6250,2500,9999
White-browed Nuthatch,138.3158493,6250,2500,9999
Long-tailed Wren-Babbler,4286.475841,6250,2500,9999
Tawny-breasted Wren-Babbler,3553.553257,6250,2500,9999
Mountain Serpent-Eagle,14125.13547,6250,2500,9999
Blackish-breasted Babbler,35793.6596,6250,2500,9999
Nonggang Babbler,215.5221799,6250,2500,9999
Snowy-throated Babbler,6358.895433,6250,2500,9999
White-faced Starling,3833.930656,6250,2500,9999
Swynnerton's Robin,2727.966532,6250,2500,9999
Kofiau Monarch,55.49645506,6250,2500,9999
Flores Monarch,268.8100115,6250,2500,9999
Rusty-headed Spinetail,1950.780566,6250,2500,9999
Blackish-headed Spinetail,2362.636964,6250,2500,9999
Black-backed Tanager,21800.26153,6250,2500,9999
Black-lored Parrot,526.4097544,6250,2500,9999
Prince Ruspoli's Turaco,4600.878472,6250,2500,9999
Sombre Kingfisher,6991.082678,6250,2500,9999
Rufous-lored Kingfisher,51382.37654,6250,2500,9999
Red-fronted Parrotlet,3342.328202,6250,2500,9999
Brown-backed Parrotlet,5519.900689,6250,2500,9999
Golden-tailed Parrotlet,38221.03345,6250,2500,9999
Blyth's Tragopan,18632.96224,6250,2500,9999
Andaman Green-Pigeon,2362.101659,6250,2500,9999
Flores Green-Pigeon,14520.99128,6250,2500,9999
Pemba Green-Pigeon,350.6925876,6250,2500,9999
Collared Laughingthrush,277.6727212,6250,2500,9999
Izu Thrush,303.2138331,6250,2500,9999
Forest Thrush,511.9747431,6250,2500,9999
Sumba Buttonquail,797.1719752,6250,2500,9999
Black-breasted Buttonquail,2296.736657,6250,2500,9999
Golden Masked-Owl,13566.98534,6250,2500,9999
Minahassa Masked-Owl,18170.46177,6250,2500,9999
Bismarck Honeyeater,1225.091815,6250,2500,9999
Moustached Woodcreeper,55987.02439,6250,2500,9999
White-winged Cotinga,709.1079224,6250,2500,9999
Mishana Tyrannulet,3290.965023,6250,2500,9999
Bougainville Thrush,1022.263544,6250,2500,9999
Sao Tome White-eye,154.0317285,6250,2500,9999
Tagula White-eye,314.2770894,6250,2500,9999
Ganongga White-eye,56.010108,6250,2500,9999
Gray-hooded Parrotbill,15942.5614,6250,2500,9999
Hainan Partridge,5096.362576,3050,2600,3500
Rodrigues Fody,1.868242112,4000,2600,5400
Rufous Bristlebird,10332.00366,10850,2700,19000
Scissor-tailed Hummingbird,87.88131053,3500,3000,4000
Corsican Nuthatch,895.3279965,3750,3100,4400
Neergaard's Sunbird,53666.7748,5000,3300,6700
Bolle's Pigeon,977.2514812,8150,3300,13000
Brown Eared-Pheasant,56643.29962,7150,3300,11000
Galapagos Rail,780.6053541,5000,3300,6700
Swinhoe's Pheasant,5899.150339,5000,3300,6700
Brown-breasted Parakeet,394.6241945,5000,3300,6700
White-headed Steamer-Duck,18982.12961,3550,3400,3700
Rota White-eye,3.156957258,8875,3750,14000
Variable Oystercatcher,28378.17948,4150,4000,4300
Lilac-crowned Parrot,42906.75419,5700,4700,6700
Salvadori's Pheasant,27573.67762,12500,5000,19999
Dusky Scrubfowl,23061.97001,52500,5000,100000
Junin Tapaculo,49.21972018,6500,5000,8000
Blue Lorikeet,22.63273197,6000,5000,7000
Horned Parakeet,318.9982603,5650,5300,6000
Red-and-blue Lory,393.185593,9750,5500,14000
Mascarene Swiftlet,1705.923711,10500,6000,15000
Strange-tailed Tyrant,38134.49063,10500,6000,15000
Black-billed Parrot,1001.679505,10500,6000,15000
Red-tailed Parrot,1832.827469,6350,6000,6700
Yellow-billed Parrot,2096.144017,10500,6000,15000
Tucuman Parrot,26721.29894,10500,6000,15000
South Georgia Pipit,234.8771903,7000,6000,8000
Karamoja Apalis,8936.48775,10500,6000,15000
Dapple-throat,2467.738035,10500,6000,15000
Rusty-bellied Shortwing,16111.28948,10500,6000,15000
Salvadori's Nightjar,11064.64789,10500,6000,15000
Biak Coucal,975.4881303,10500,6000,15000
Long-wattled Umbrellabird,26785.40519,10500,6000,15000
Rio Branco Antbird,6638.682037,10500,6000,15000
Rufous-winged Sunbird,1701.3404,10500,6000,15000
White-headed Robin-Chat,2395.165014,10500,6000,15000
Matinan Flycatcher,791.1687424,10500,6000,15000
West Indian Whistling-Duck,39311.77494,10500,6000,15000
Scarlet-collared Flowerpecker,3807.862444,10500,6000,15000
Timor Imperial-Pigeon,1345.283821,10500,6000,15000
Tibetan Bunting,51146.05087,10500,6000,15000
Green-faced Parrotfinch,41051.83248,10500,6000,15000
White-tailed Hummingbird,1530.252092,10500,6000,15000
Helmet Vanga,6272.477795,10500,6000,15000
Black-cheeked Ant-Tanager,397.568417,10500,6000,15000
Black Honey-buzzard,12905.102,10500,6000,15000
Martinique Oriole,434.976789,10500,6000,15000
Natewa Silktail,83.22546424,9000,6000,12000
Ryukyu Robin,314.7951944,10500,6000,15000
Timor Sparrow,9499.559605,10500,6000,15000
Nimba Flycatcher,51156.07879,10500,6000,15000
Mekong Wagtail,14630.12705,10500,6000,15000
Ashy-breasted Flycatcher,40602.25449,10500,6000,15000
Cocos Flycatcher,9.559629775,10500,6000,15000
Sumba Boobook,4133.023168,10500,6000,15000
Mantanani Scops-Owl,713.9083077,10500,6000,15000
Rennell Whistler,260.8284499,10500,6000,15000
Koepcke's Hermit,43454.62687,10500,6000,15000
Cocos Finch,9.559629775,10500,6000,15000
Bannerman's Weaver,4192.149365,10500,6000,15000
Germain's Peacock-Pheasant,14897.64608,10500,6000,15000
Gray-crowned Prinia,12753.89893,10500,6000,15000
Three-wattled Bellbird,218.4380543,10500,6000,15000
Nicobar Parakeet,428.9653738,10500,6000,15000
Harwood's Francolin,10201.4086,10500,6000,15000
Crested Argus,20973.53173,10500,6000,15000
Iringa Akalat,2587.496889,10500,6000,15000
Yellow-faced Siskin,556.2759703,10500,6000,15000
Marañon Spinetail,1564.8685,10500,6000,15000
Mikado Pheasant,5314.746946,10500,6000,15000
Caucasian Snowcock,9032.024044,19000,6000,32000
Satyr Tragopan,38292.13916,10500,6000,15000
Somali Thrush,4671.89509,10500,6000,15000
Everett's Thrush,1360.398021,10500,6000,15000
Bioko Speirops,24.40808309,10500,6000,15000
Cameroon Speirops,57.33621839,10500,6000,15000
White-fronted Tern,32446.06779,15620,6120,25120
Black-crowned Barwing,4037.37701,10000,6600,13400
Salmon-crested Cockatoo,7025.206531,36800,6600,67000
Iris Lorikeet,12053.55072,6650,6600,6700
Western Chat-Tanager,2437.925238,10000,6700,13300
Sangihe Hanging-Parrot,214.8769445,18850,6700,31000
Melanesian Scrubfowl,32594.57416,338350,6700,670000
Black-breasted Wood-Quail,3661.010118,19850,6700,33000
Black-eared Wood-Quail,49433.31921,19850,6700,33000
Andaman Crake,2023.329779,11850,6700,17000
Mallee Emuwren,7741.521544,21500,7500,35500
Gray-striped Francolin,32859.14005,21250,7500,35000
Short-legged Ground-Roller,15085.10345,13700,7800,19600
Maleo,56485.46484,11000,8000,14000
Scottish Crossbill,5302.708484,15500,8200,22800
Black-faced Sheathbill,3173.394881,10850,8700,13000
Sri Lanka Blue-Magpie,2056.323879,14250,9000,19500
Giant White-eye,159.5732467,9250,9200,9300
Long-tailed Ground-Roller,4024.895314,21087,9487,32687
Olrog's Gull,19395.30662,12700,9800,15600
Sierra Nevada Brushfinch,3158.181389,15000,10000,19999
North Island Brown Kiwi,14551.9849,15000,10000,19999
Sao Francisco Sparrow,20498.2717,15000,10000,19999
Papyrus Yellow-Warbler,26953.56396,15000,10000,19999
Eastern Chat-Tanager,2816.348254,13350,10000,16700
Violaceous Coucal,14948.83414,15000,10000,19999
Rio de Janeiro Antbird,49875.87387,15000,10000,19999
Bananal Antbird,12288.83986,15000,10000,19999
Makira Dwarf-Kingfisher,1286.406271,20000,10000,30000
Philippine Dwarf-Kingfisher,49185.46452,15000,10000,19999
Brown-headed Crow,7121.823925,15000,10000,19999
Tagula Butcherbird,314.2682526,15000,10000,19999
Tufted Jay,5185.852466,15000,10000,19999
Yellow-crowned Parakeet,25255.06684,20000,10000,30000
Flame-crowned Flowerpecker,12422.59116,15000,10000,19999
Finsch's Imperial-Pigeon,14953.71236,15000,10000,19999
Whiskered Pitta,13730.44946,15000,10000,19999
Red-headed Fody,396.1596388,15000,10000,19999
Seram Thrush,7216.802982,15000,10000,19999
Enggano Thrush,154.4585186,15000,10000,19999
Chestnut-backed Owlet,18022.28277,15000,10000,19999
Victoria Crowned-Pigeon,44992.41473,15000,10000,19999
Gurney's Pitta,697.1860943,13600,10000,17200
Sumichrast's Wren,2529.667004,15000,10000,19999
Black Rosy-Finch,52815.21438,15000,10000,19999
Marsh Grassbird,21262.14402,12500,10000,15000
Green-fronted Hanging-Parrot,11807.55538,15000,10000,19999
Anianiau,122.8606077,15000,10000,19999
White-fronted Falconet,23351.05561,15000,10000,19999
Unicolored Antwren,26684.02314,15000,10000,19999
Rotuma Myzomela,16.37022845,15000,10000,19999
Yellow-bellied Sunbird-Asity,5042.280089,15000,10000,19999
Ochre-bellied Boobook,36339.03313,15000,10000,19999
New Britain Boobook,12804.03005,15000,10000,19999
Least Boobook,1132.497097,15000,10000,19999
Palawan Scops-Owl,3323.161763,15000,10000,19999
Mentawai Scops-Owl,2362.883039,15000,10000,19999
Mindoro Scops-Owl,370.3642766,15000,10000,19999
Marsh Babbler,24207.11554,15000,10000,19999
Superb Parrot,31343.03944,15000,10000,19999
Mariana Fruit-Dove,128.7252323,15000,10000,19999
Falcated Wren-Babbler,1145.066341,15000,10000,19999
Styan's Bulbul,2808.602083,15000,10000,19999
Ridgway's Rail,22140.15764,15000,10000,19999
Pied Cuckoo-Dove,17420.07148,15000,10000,19999
Moluccan Woodcock,111.7164056,15000,10000,19999
Gabela Akalat,369.890057,15000,10000,19999
East Coast Akalat,22425.27866,15000,10000,19999
Bahia Spinetail,3667.424585,15000,10000,19999
Scripps's Murrelet,52483.17209,15000,10000,19999
Pohnpei Kingfisher,136.7015281,15000,10000,19999
Buru Green-Pigeon,3302.821283,15000,10000,19999
Taiwan Thrush,5147.753758,15000,10000,19999
Stresemann's Bush-Crow,1776.380483,15000,10000,19999
Taveuni Silktail,170.7468562,15000,11000,19000
Dalmatian Pelican,30926.1343,12400,11400,13400
Elegant Sunbird,214.8769445,21000,13000,29000
Oahu Amakihi,147.3984053,26500,13000,40000
Turner's Eremomela,1021.030547,23500,13000,34000
Balsas Screech-Owl,35032.89839,23000,13300,32700
Fuerteventura Stonechat,486.6074557,14450,13400,15500
Cuban Parrot,12059.12215,18300,13600,23000
Reunion Bulbul,981.1335126,31850,13700,50000
Plain Swift,3198.280374,27500,15000,40000
Choco Vireo,1220.7832,15600,15423,15777
Oaxaca Sparrow,11570.73714,35000,20000,49999
Taiwan Partridge,8791.081754,35000,20000,49999
Buru Thrush,3302.838471,35000,20000,49999
Buru Mountain-Pigeon,2438.940098,35000,20000,49999
Maui Alauahio,98.50363388,35000,20000,49999
Salvadori's Fig-Parrot,19565.50755,35000,20000,49999
Balearic Warbler,1660.433523,35000,20000,49999
Marmora's Warbler,12842.51737,35000,20000,49999
Sao Tome Thrush,330.7912981,35000,20000,49999
Pileated Flycatcher,43539.12233,35000,20000,49999
Subantarctic Snipe,264.1661205,35000,20000,49999
Sao Tome Green-Pigeon,330.7912981,48755,24670,72840
Saltmarsh Sparrow,18194.85348,49250,29500,69000
Eaton's Pintail,2898.079544,36300,31200,41400
Corsican Finch,7890.099485,38500,36000,41000
Canary Islands Chiffchaff,1908.533022,120000,40000,200000
White-breasted Guineafowl,26545.7026,75000,50000,99999
Golden White-eye,51.92064692,75000,50000,99999
Berthelot's Pipit,3198.240123,180000,60000,300000
Wetar Figbird,1018.64349,80000,60000,100000
Subdesert Mesite,4757.452435,87500,65000,110000
Armenian Gull,9198.611677,72000,69000,75000
Weka,14783.37281,94500,71000,118000
Chinese Sparrowhawk,46854.12809,300000,100000,499999
Madeira Firecrest,290.7721156,150000,100000,199999
Cyprus Warbler,3070.505121,210000,140000,279999
Protea Canary,32752.74937,425000,250000,600000
Rough-legged Hawk,1023.303374,650000,300000,1000000
Rock Pipit,54443.43705,445500,329000,562000
Red-necked Nightjar,7775.307089,690000,575000,805000
Ring Ouzel,24891.48645,900000,600000,1199999
Reunion Gray White-eye,981.1335126,750000,1000000,499999
Citrine Wagtail,16510.76676,3500000,2000000,4999999
Island Canary,4062.58232,4025000,3000000,5050000
Brambling,50637.27494,160000000,120000000,199999999
Emerald-chinned Hummingbird,55834.13008,X,X,X
Rifleman,58881.79328,X,X,X
Gray Thornbill,48073.31663,X,X,X
Tasmanian Thornbill,26274.32786,X,X,X
Mountain Thornbill,22469.53294,X,X,X
Western Thornbill,53052.57152,X,X,X
Papuan Thornbill,32101.26943,X,X,X
Scrubtit,17387.07696,X,X,X
Sulawesi Goshawk,54287.61991,X,X,X
Japanese Sparrowhawk,202.9286083,X,X,X
Small Sparrowhawk,42655.21323,X,X,X
Spot-tailed Goshawk,46424.27022,X,X,X
Pale-bellied Myna,7747.445625,X,X,X
Tuamotu Reed Warbler,235.9680125,X,X,X
Blunt-winged Warbler,21598.09388,X,X,X
Cook Islands Reed Warbler,26.81368705,X,X,X
Southern Marquesan Reed Warbler,229.1377774,X,X,X
Northern Marquesan Reed Warbler,184.7146488,X,X,X
Caroline Reed Warbler,217.0593475,X,X,X
Ocellated Tapaculo,43595.36761,X,X,X
Spotted Kingfisher,41166.35182,X,X,X
Green-backed Kingfisher,27895.69963,X,X,X
Scaly-breasted Kingfisher,38988.58683,X,X,X
Spectacled Barwing,22438.63712,X,X,X
Spotted Sandpiper,36721.56852,X,X,X
Black-browed Tit,26332.48619,X,X,X
Unspotted Saw-whet Owl,16985.6169,X,X,X
Vogelkop Owlet-nightjar,442.7379856,X,X,X
Mountain Owlet-nightjar,36752.16064,X,X,X
Archbold's Owlet-nightjar,17368.30875,X,X,X
Moluccan Owlet-nightjar,7900.895175,X,X,X
Starry Owlet-nightjar,1414.713078,X,X,X
Polynesian Swiftlet,420.8890617,X,X,X
Mayr's Swiftlet,1693.399417,X,X,X
Palau Swiftlet,175.4629795,X,X,X
White-rumped Swiftlet,52689.63687,X,X,X
Australian Swiftlet,33076.08525,X,X,X
Volcano Swiftlet,3085.152034,X,X,X
Whitehead's Swiftlet,4518.86218,X,X,X
Least Auklet,12465.69159,X,X,X
Whiskered Auklet,49596.4224,X,X,X
Apo Sunbird,2883.90568,X,X,X
Fork-tailed Sunbird,13049.5433,X,X,X
White-flanked Sunbird,2633.567006,X,X,X
Flaming Sunbird,39975.26862,X,X,X
Maroon-naped Sunbird,9629.406875,X,X,X
Lina's Sunbird,783.929911,X,X,X
Magnificent Sunbird,11916.209,X,X,X
Javan Sunbird,48390.39861,X,X,X
Gray-hooded Sunbird,4649.035512,X,X,X
Lovely Sunbird,5078.149576,X,X,X
Fischer's Lovebird,51694.50704,X,X,X
Red-shouldered Blackbird,1574.197962,X,X,X
Tawny-shouldered Blackbird,42700.96038,X,X,X
Tricolored Blackbird,41841.72916,X,X,X
Pale-eyed Blackbird,3741.518988,X,X,X
Black-hooded Sunbeam,6393.208511,X,X,X
Violet-tailed Sylph,10834.01063,X,X,X
Mountain Fulvetta,57191.16096,X,X,X
Javan Fulvetta,9594.28248,X,X,X
Rufous-naped Bellbird,58179.4117,X,X,X
Seychelles Blue-Pigeon,94.02963827,X,X,X
Comoro Blue-Pigeon,855.9850404,X,X,X
Moluccan King-Parrot,57521.1327,X,X,X
Dovekie,26760.71573,X,X,X
Scaly-breasted Thrasher,2045.440481,X,X,X
White-throated Ground-Dove,436.362731,X,X,X
Gray-cheeked Bulbul,33648.2312,X,X,X
Gray-throated Bulbul,5262.093173,X,X,X
Greater Ground-Robin,5899.994398,X,X,X
Isabelline Bush-hen,21465.29428,X,X,X
Indigo-capped Hummingbird,21168.17236,X,X,X
Blue-tailed Hummingbird,29092.83524,X,X,X
Charming Hummingbird,5074.994444,X,X,X
Snowy-bellied Hummingbird,16450.27865,X,X,X
Purple-chested Hummingbird,25972.65608,X,X,X
Green-and-white Hummingbird,11149.85573,X,X,X
Green-fronted Hummingbird,29370.9742,X,X,X
Green-bellied Hummingbird,16577.44463,X,X,X
Yellow-naped Parrot,49786.45699,X,X,X
Red-spectacled Parrot,3207.003864,X,X,X
Yellow-lored Parrot,50733.7236,X,X,X
Vogelkop Bowerbird,6230.299577,X,X,X
MacGregor's Bowerbird,53884.98904,X,X,X
Streaked Bowerbird,7135.536001,X,X,X
Gray-bellied Antbird,22738.47133,X,X,X
Chestnut-crested Cotinga,30793.12845,X,X,X
Five-striped Sparrow,58539.4657,X,X,X
Kalkadoon Grasswren,22512.67182,X,X,X
Gray Grasswren,21600.96889,X,X,X
Black Grasswren,12718.77871,X,X,X
Western Grasswren,41924.2222,X,X,X
Principe Sunbird,56.62299926,X,X,X
Newton's Sunbird,331.4724996,X,X,X
Juan Fernandez Tit-Tyrant,36.00693799,X,X,X
Black-crested Tit-Tyrant,18794.62287,X,X,X
Pied-crested Tit-Tyrant,40043.44948,X,X,X
Hooded Mountain-Toucan,18808.22111,X,X,X
Plate-billed Mountain-Toucan,5540.301087,X,X,X
Black-billed Mountain-Toucan,42483.39564,X,X,X
Tooth-billed Hummingbird,43704.64695,X,X,X
Papuan Whipbird,20623.93335,X,X,X
Scarlet-bellied Mountain-Tanager,37343.40302,X,X,X
Black-cheeked Mountain-Tanager,3052.852883,X,X,X
Black-chinned Mountain-Tanager,7185.568478,X,X,X
Orange-breasted Sunbird,35490.78768,X,X,X
Yellow Wattlebird,18071.44595,X,X,X
Antillean Mango,29055.14382,X,X,X
Jamaican Mango,4255.517775,X,X,X
Veraguan Mango,11754.25267,X,X,X
Green Mango,3387.80726,X,X,X
Alpine Pipit,13343.59327,X,X,X
Malindi Pipit,41846.93917,X,X,X
Peruvian Pipit,34017.70792,X,X,X
Sandhill Crane,37783.52003,X,X,X
Greater Antillean Nightjar,42175.49846,X,X,X
Tawny-collared Nightjar,44670.39869,X,X,X
Snow Mountain Quail,3853.270263,X,X,X
Kungwe Apalis,15898.32323,X,X,X
Bamenda Apalis,2502.298015,X,X,X
Masked Apalis,55900.76131,X,X,X
Chapin's Apalis,22324.62734,X,X,X
Black-faced Apalis,40769.06931,X,X,X
Chestnut-throated Apalis,56964.04272,X,X,X
Transvolcanic Jay,33937.50507,X,X,X
Unicolored Jay,57569.01622,X,X,X
Samoan Starling,1190.259639,X,X,X
Tanimbar Starling,1330.299587,X,X,X
Makira Starling,1286.462386,X,X,X
Atoll Starling,37.39008874,X,X,X
Brown-winged Starling,12023.34151,X,X,X
Rennell Starling,208.1230347,X,X,X
Long-tailed Starling,1105.503201,X,X,X
Moluccan Starling,24865.93145,X,X,X
Yellow-eyed Starling,31985.91309,X,X,X
Micronesian Starling,779.530738,X,X,X
Striated Starling,6927.280979,X,X,X
Polynesian Starling,9017.739916,X,X,X
Rusty-winged Starling,3498.235393,X,X,X
Yapacana Antbird,16455.0014,X,X,X
Alexander's Swift,1020.393573,X,X,X
Forbes-Watson's Swift,28239.91339,X,X,X
Pale Spiderhunter,4688.62675,X,X,X
Orange-tufted Spiderhunter,46619.90539,X,X,X
Whitehead's Spiderhunter,11398.65858,X,X,X
Sulphur-breasted Parakeet,7708.414523,X,X,X
Chestnut-headed Partridge,6922.092378,X,X,X
Malaysian Partridge,6595.554904,X,X,X
Chestnut-bellied Partridge,14271.03893,X,X,X
Gray-breasted Partridge,4134.305507,X,X,X
Roll's Partridge,15348.48858,X,X,X
Red-billed Partridge,26823.70574,X,X,X
Sumatran Partridge,15392.69265,X,X,X
Archbold's Bowerbird,24945.75726,X,X,X
Ruddy Turnstone,10994.81215,X,X,X
Stripe-cheeked Greenbul,16360.65428,X,X,X
Cameroon Mountain Greenbul,23678.48081,X,X,X
Western Mountain-Greenbul,22969.08873,X,X,X
Black-capped Sparrow,20199.52356,X,X,X
Black-headed Brushfinch,28259.6384,X,X,X
Olive Finch,47394.36924,X,X,X
Costa Rican Brushfinch,1437.570204,X,X,X
Perija Brushfinch,2645.135122,X,X,X
Caracas Brushfinch,3980.663701,X,X,X
Paria Brushfinch,3173.421214,X,X,X
White-browed Brushfinch,43639.92606,X,X,X
Green-striped Brushfinch,30805.53122,X,X,X
Tocuyo Sparrow,28109.12489,X,X,X
Pied Monarch,10722.29079,X,X,X
Frill-necked Monarch,17269.07098,X,X,X
Bismarck Woodswallow,14611.23799,X,X,X
Fiji Woodswallow,6664.224831,X,X,X
Sagebrush Sparrow,39147.75577,X,X,X
African Tailorbird,26437.31732,X,X,X
Gibber Chat,39992.78457,X,X,X
Abyssinian Owl,59457.88774,X,X,X
Blue-throated Motmot,38254.44984,X,X,X
Ayacucho Thistletail,3913.864504,X,X,X
Berlepsch's Canastero,812.326318,X,X,X
Ochre-browed Thistletail,3478.852224,X,X,X
Many-striped Canastero,47469.25594,X,X,X
White-chinned Thistletail,37136.1033,X,X,X
Mouse-colored Thistletail,7302.276145,X,X,X
Black-throated Thistletail,9208.146682,X,X,X
Puna Thistletail,16745.14806,X,X,X
Streak-throated Canastero,56375.49136,X,X,X
Cipo Canastero,5746.861156,X,X,X
Scribble-tailed Canastero,18917.84941,X,X,X
Itatiaia Spinetail,15275.23181,X,X,X
Rusty-fronted Canastero,18599.45047,X,X,X
Eye-ringed Thistletail,4438.777414,X,X,X
Canyon Canastero,34442.1112,X,X,X
Vilcabamba Thistletail,5076.582591,X,X,X
Junin Canastero,18032.18019,X,X,X
Ribbon-tailed Astrapia,2876.88432,X,X,X
Arfak Astrapia,1436.754899,X,X,X
Huon Astrapia,2576.561898,X,X,X
Splendid Astrapia,16466.78729,X,X,X
Stephanie's Astrapia,21463.25033,X,X,X
Rufous-headed Ground-Roller,8655.809901,X,X,X
Pitta-like Ground-Roller,17725.02725,X,X,X
White-headed Brushfinch,10154.80581,X,X,X
Moustached Brushfinch,11989.39993,X,X,X
Cuzco Brushfinch,13601.46402,X,X,X
Yellow-striped Brushfinch,5196.945684,X,X,X
Apurimac Brushfinch,7025.449834,X,X,X
Fulvous-headed Brushfinch,29967.92295,X,X,X
Dusky-headed Brushfinch,1711.395337,X,X,X
White-rimmed Brushfinch,4710.541691,X,X,X
White-winged Brushfinch,25167.50364,X,X,X
Santa Marta Brushfinch,1557.070107,X,X,X
Black-faced Brushfinch,23879.88236,X,X,X
Rusty-bellied Brushfinch,12766.42677,X,X,X
Pale-naped Brushfinch,37828.11152,X,X,X
Tepui Brushfinch,38479.94791,X,X,X
Rufous-eared Brushfinch,8232.321146,X,X,X
Slaty Brushfinch,55498.01569,X,X,X
Bay-crowned Brushfinch,18287.62597,X,X,X
Ochre-breasted Brushfinch,26174.34898,X,X,X
Vilcabamba Brushfinch,1893.082034,X,X,X
Tricolored Brushfinch,16387.04443,X,X,X
Rufous Scrub-bird,6683.498448,X,X,X
Wine-throated Hummingbird,36673.8163,X,X,X
Black-capped Swallow,29063.72048,X,X,X
Hooded Visorbearer,6773.960547,X,X,X
Hyacinth Visorbearer,11063.04381,X,X,X
Blue-banded Toucanet,39830.83378,X,X,X
Groove-billed Toucanet,11668.28604,X,X,X
Taiwan Bamboo-Partridge,12094.99511,X,X,X
Moss-backed Tanager,7347.820825,X,X,X
Golden-chested Tanager,7728.032289,X,X,X
Three-banded Warbler,11311.57686,X,X,X
Long-crested Myna,5969.85993,X,X,X
Helmeted Myna,2798.829379,X,X,X
Black-capped Rufous-Warbler,32497.30381,X,X,X
Dark Batis,16009.10676,X,X,X
Rwenzori Batis,26426.18255,X,X,X
Boulton's Batis,40098.59556,X,X,X
Verreaux's Batis,53479.18121,X,X,X
Short-tailed Batis,22194.93116,X,X,X
Bioko Batis,600.166317,X,X,X
Dulit Frogmouth,10618.02215,X,X,X
Hodgson's Frogmouth,46107.16763,X,X,X
Sri Lanka Frogmouth,42252.44382,X,X,X
Short-tailed Frogmouth,36066.70043,X,X,X
Buff-tailed Coronet,49695.05126,X,X,X
Velvet-purple Coronet,11964.51867,X,X,X
Chestnut-breasted Coronet,49206.74944,X,X,X
Bridled Honeyeater,22457.38943,X,X,X
Eungella Honeyeater,2362.755846,X,X,X
Pale-headed Jacamar,51675.78158,X,X,X
Gray-headed Bulbul,38374.07829,X,X,X
White-browed Shortwing,39790.6963,X,X,X
Bamboo Warbler,35310.13328,X,X,X
Bangwa Warbler,2675.811098,X,X,X
Brown Emutail,20223.88402,X,X,X
White-winged Swamp Warbler,44835.57767,X,X,X
Grauer's Swamp Warbler,5933.241769,X,X,X
Gray-cheeked Parakeet,4807.507912,X,X,X
Bufflehead,29899.29111,X,X,X
Rufous Hornbill,30294.48584,X,X,X
Buff-banded Bushbird,9956.787188,X,X,X
Peruvian Thick-knee,30773.71746,X,X,X
Rufous Crab Hawk,51185.37396,X,X,X
White Cockatoo,8077.410099,X,X,X
Ducorps's Cockatoo,12723.01743,X,X,X
Tanimbar Corella,1587.592928,X,X,X
Western Corella,44433.48435,X,X,X
Mountain Cacique,35166.42311,X,X,X
Scarlet-rumped Cacique,53154.67306,X,X,X
Moluccan Cuckoo,19026.71226,X,X,X
Dune Lark,27306.80998,X,X,X
Dunlin,19578.06046,X,X,X
Purple Sandpiper,31969.74383,X,X,X
Rock Sandpiper,12395.0296,X,X,X
Black-throated Honeyeater,51223.99582,X,X,X
Elegant Quail,45903.26804,X,X,X
Magenta-throated Woodstar,3546.438384,X,X,X
Purple-throated Woodstar,23089.27439,X,X,X
Vermilion Tanager,38282.18371,X,X,X
Beautiful Hummingbird,20408.17699,X,X,X
Whitehead's Broadbill,36874.65801,X,X,X
Guayaquil Woodpecker,48305.49787,X,X,X
Mombasa Woodpecker,22269.35384,X,X,X
Tullberg's Woodpecker,24211.38919,X,X,X
Buff-breasted Sabrewing,39682.18396,X,X,X
Lazuline Sabrewing,34043.63818,X,X,X
Rufous-breasted Sabrewing,15782.02802,X,X,X
Rufous Sabrewing,12054.05117,X,X,X
Napo Sabrewing,14094.43458,X,X,X
White-headed Wren,37184.6727,X,X,X
Giant Wren,2402.109758,X,X,X
Fasciated Wren,47034.70509,X,X,X
Boucard's Wren,34673.84879,X,X,X
Gray-barred Wren,30945.4878,X,X,X
Rufous-naped Wren,2362.37372,X,X,X
Yucatan Wren,3747.769324,X,X,X
Gray Wren,35048.38827,X,X,X
Stripe-throated Wren,54093.53938,X,X,X
Riverside Wren,4969.72918,X,X,X
Superciliated Wren,37391.2178,X,X,X
