COMMON_NAME,area_square_miles,Estimate,Lower,Upper
Banded Cotinga,917.6712388,625,250,999
Wattled Curassow,10450.80855,625,250,999
Andaman Treepie,2203.210991,625,250,999
Sao Tome Sunbird,128.9270757,625,250,999
Bahia Tapaculo,2005.698914,625,250,999
Gorgeted Puffleg,17.06953706,625,250,999
Colorful Puffleg,13.10870412,625,250,999
Tabar Pitta,110.0655875,625,250,999
Madagascar Serpent-Eagle,13305.23789,625,250,999
Genovesa Ground-Finch,5.939457773,625,250,999
Genovesa Cactus-Finch,5.939457773,625,250,999
Vampire Ground-Finch,0.935864106,625,250,999
Hook-billed Hermit,377.6687823,625,250,999
Sanford's Sea-Eagle,13947.54241,625,250,999
Chatham Island Pigeon,304.3569492,625,250,999
Bengal Florican,29557.19587,625,250,999
Montserrat Oriole,5.092792443,355,250,460
Buff-throated Purpletuft,50253.94707,1375,250,2499
Gabela Bushshrike,1128.98631,625,250,999
Swamp Prinia,33423.26074,1375,250,2499
White-collared Kite,20398.16199,625,250,999
Warsangli Linnet,903.851397,625,250,999
Marvelous Spatuletail,684.5182323,625,250,999
Short-crested Coquette,20.56786521,625,250,999
Black-eared Miner,674.9201211,625,250,999
Bismarck Thicketbird,919.4251693,625,250,999
Niuafoou Scrubfowl,20.27004475,625,250,999
St. Lucia Black Finch,113.2671443,625,250,999
Floreana Mockingbird,0.340422405,625,250,999
Pink Pigeon,28.9793043,625,250,999
Camiguin Boobook,97.66170264,625,250,999
Cebu Boobook,1715.364056,625,250,999
Romblon Boobook,442.0890702,625,250,999
Flores Scops-Owl,192.4238034,1375,250,2499
Sao Tome Scops-Owl,150.1825212,625,250,999
Abd al Kuri Sparrow,50.78884257,625,250,999
Plains-wanderer,12597.94277,625,250,999
Cauca Guan,41.56812647,625,250,999
Mindoro Hornbill,389.5069687,625,250,999
Tawitawi Brown-Dove,239.9799207,625,250,999
Golden-naped Weaver,6414.975986,625,250,999
Bates's Weaver,20654.35449,625,250,999
Hainan Peacock-Pheasant,836.1551832,625,250,999
Galapagos Martin,3000.519856,625,250,999
Maui Parrotbill,19.04322672,395,250,540
Cook Islands Fruit-Dove,22.25675245,625,250,999
Gray-breasted Parakeet,264.9422746,625,250,999
El Oro Parakeet,287.5162085,625,250,999
Malaita Fantail,7.873238896,625,250,999
Kagu,518.0493613,625,250,999
Slender-billed Flufftail,4751.009889,625,250,999
Paramillo Tapaculo,362.8663983,625,250,999
