LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,AviList,Source,Specimen.number,n_specimens,Code
"Chiviliti (Ganda), Benguela",Angola,,,-13.016667,14.633333,no,Low(38),unavailable,"-12.853995,13.928248,BENGUELA|Unavailable|Unavailable|Low(38),-12.578333,13.407222,BENGUELA|Unavailable|Unavailable|Low(38),-12.1,15.283333,BENGUELA|Unavailable|Unavailable|Low(38),-12.739634,13.577837,BENGUELA|Unavailable|Unavailable|Low(38),-12.853,13.928,BENGUELA|Unavailable|Unavailable|Low(38),-12.5667,13.4,BENGUELA|Unavailable|Unavailable|Low(38),-5.95,13.716667,GANDA|Unavailable|Unavailable|Low(35),-6.033333,15.266667,GANDA|Unavailable|Unavailable|Low(35),-12,15.716667,GANDA|Unavailable|Unavailable|Low(35),-11.066667,15.35,GANDA|Unavailable|Unavailable|Low(35),-12.9,14.616667,GANDA|Unavailable|Unavailable|Low(35),-11.033333,15.316667,GANDA|Unavailable|Unavailable|Low(35),-11.033333,15.333333,GANDA|Unavailable|Unavailable|Low(35),-11.033333,15.35,GANDA|Unavailable|Unavailable|Low(35),-11.533333,15.15,GANDA|Unavailable|Unavailable|Low(35),-11.516667,15.8,GANDA|Unavailable|Unavailable|Low(35),-11.555781,14.943387,GANDA|Unavailable|Unavailable|Low(35),-13.085959,14.741575,GANDA|Unavailable|Unavailable|Low(35),-13.016667,14.633333,GANDA|Unavailable|Unavailable|Low(35),-10.445218,15.14219,GANDA|Unavailable|Unavailable|Low(35),-13.0333,14.6667,GANDA|Unavailable|Unavailable|Low(35),-11.016667,15.333333,GANDA|Unavailable|Unavailable|Low(35),-11.583333,15.433333,GANDA|Unavailable|Unavailable|Low(35),-11.183333,15.05,GANDA|Unavailable|Unavailable|Low(35)",,Phyllastrephus fulviventris,"Lubango Museum, Angola",32807,1,3
"Choma, Zambia",Zambia,,,-16.808889,26.9875,yes,Low(36),Unavailable,"-14.33333,28.5,ZAMBIA|Unavailable|Unavailable|Low(36),-15,30,ZAMBIA|Unavailable|Unavailable|Low(36),-16.983333,25.833333,CHOMA|Unavailable|Unavailable|Low(35),-16.8,26.983333,CHOMA|Unavailable|Unavailable|Low(35),-8.466667,29.683333,CHOMA|Unavailable|Unavailable|Low(35),-15.116667,22.583333,CHOMA|Unavailable|Unavailable|Low(35),-16.93699,25.894598,CHOMA|Unavailable|Unavailable|Low(35),-13.933333,32.15,CHOMA|Unavailable|Unavailable|Low(35),-15.45,27.316667,CHOMA|Unavailable|Unavailable|Low(35),-12.283333,32.5,CHOMA|Unavailable|Unavailable|Low(35),-14.016667,32.133333,CHOMA|Unavailable|Unavailable|Low(35),-16.118591,26.043313,CHOMA|Unavailable|Unavailable|Low(35),-16.688842,26.987329,CHOMA|Unavailable|Unavailable|Low(35),-8.583333,29.716667,CHOMA|Unavailable|Unavailable|Low(35),-16.85,27.0667,CHOMA|Unavailable|Unavailable|Low(35),-16.808889,26.9875,CHOMA|Unavailable|Unavailable|Low(35),-10.433334,33.40933,CHOMA|Unavailable|Unavailable|Low(35),-9.818062,32.923407,CHOMA|Unavailable|Unavailable|Low(35),-17.587797,26.799643,CHOMA|Unavailable|Unavailable|Low(35),-10.368201,33.390251,CHOMA|Unavailable|Unavailable|Low(35),-10.645946,33.089785,CHOMA|Unavailable|Unavailable|Low(35)",,Pycnonotus barbatus,Field1,"CC04760, CC04762, CC04764, CC04765, CC04768, CC04769, CC04771, CC04773, CC04776, CC04777, CC04778, CC04779, CC04780, CC04781, CC04782, CC04783, CC04784, CC04785, CC04788, CC04829, CC04833, CC04841, CC04842, CC04843, CC04845, CC04846, CC04847, CC04848, CC04849, CC04850, CC04852, CC04853, CC04863, CC04866, CC04868, CC04869, CC04870, CC04871, CC04872, CC04874, CC04875, CC04876, CC04879, CC04880, CC04881, CC04883, CC04890, CC04899, CV86702, CV86703, CV86704, CV86708, CV86714, CV86715, CV86716, CV86718, CV86728, CV86729, CV86733, CV86743, CV86746, CV86747, CV86749, CV86756, CV86760, CV86773, CV86604, CV86605, CV86606, CV86607, CV86608, CV86609, CV86611, CV86618, CV86625, CV86626, CV86627, CV86629, CV86630, CV86631, CV86633, CV86634, CV86635, CV86640, CV86642, CV86643, CV86644, CV86645, CV86646, CV86647, CV86648, CV86649, CV86650, CV86651, CV86652, CV86653, CV86655, NRING01, CV86661, CV86772, CV86664, CV86666, CV86671, CV86678, CV86679, CV86680, CV86683, CV86684, CV86685, CV86686, CV86687, CV86689, CV86690, CV86691, F25362, F25363, F25364, F25365, F25366, F25367, F25368, F25369, F25371, F25372, F25373, F25377, F25378, F25380, F25381, F25382, F25383, F25387, F25389, F25390, F25391, F25392, F25393, F25394, F25395, F25396, F25398, F25399, F25400, BE16528, BE16531, BE16533, BE16537, BE16538, BE16539, BE16542, BE16543, BE16544, BE16545, BE16546, BE16547, BE16549, BE16550, BE16552, BE16554, BE16555, BE16559, BE16561, BE16562, BE16563, BE16564, BE16565, BE16566, BE16568, BE16569, BE16571, BE16572, BE16575, BE16577,BE16577A, BE16578, BE16579, BE16580, BE16583",184,3
"Coast Province, Sokoke Forest, 5 +- miles Northwest Kilifi, elevation 200 ft.",Kenya,,,-3.497281,39.826363,yes,Low(44),Unavailable,"-2,39.75,COAST PROVINCE|Unavailable|Unavailable|Low(44),-3,39.5,COAST PROVINCE|Unavailable|Unavailable|Low(44),-3.630453,39.849915,KILIFI|Unavailable|Unavailable|Low(36),-3.523541,39.767685,SOKOKE|Unavailable|Unavailable|Low(36),-3.516667,39.8,SOKOKE|Unavailable|Unavailable|Low(36),-3.542225,39.817046,SOKOKE|Unavailable|Unavailable|Low(36),-3.166667,39.7,KILIFI|Unavailable|Unavailable|Low(36),-3.166,39.7,KILIFI|Unavailable|Unavailable|Low(36),-3.55299,39.802077,SOKOKE|Unavailable|Unavailable|Low(36),-3.6167,39.8333,KILIFI|Unavailable|Unavailable|Low(36),-3.513368,39.819563,SOKOKE|Unavailable|Unavailable|Low(36),-3.660482,39.823266,KILIFI|Unavailable|Unavailable|Low(36),-3,39.5,COAST|Unavailable|Unavailable|Low(35),-2,39.75,COAST|Unavailable|Unavailable|Low(35)",,"Phyllastrephus debilis, Phyllastrephus fischeri, Phyllastrephus strepitans, Phyllastrephus terrestris",Cornell University Museum of Vertebrates,"31980, 31996, 31979, 31995, 31970, 31971, 31975, 31974, 31976, 31978, 31977",11,2
"Coast Province, Tsavo",Kenya,,,-2.997825,38.458455,yes,Low(44),Unavailable,"-2,39.75,COAST PROVINCE|Unavailable|Unavailable|Low(44),-3,39.5,COAST PROVINCE|Unavailable|Unavailable|Low(44),-3.049672,38.445239,TSAVO|Unavailable|Unavailable|Low(35),-2.977811,38.519962,TSAVO|Unavailable|Unavailable|Low(35),-2.548671,38.25809,TSAVO|Unavailable|Unavailable|Low(35),-3,39.5,COAST|Unavailable|Unavailable|Low(35),-2.997825,38.458455,TSAVO|Unavailable|Unavailable|Low(35),-3.000268,38.470705,TSAVO|Unavailable|Unavailable|Low(35),-2,39.75,COAST|Unavailable|Unavailable|Low(35),-2.9833,38.4667,TSAVO|Unavailable|Unavailable|Low(35),-3.055937,37.912719,TSAVO|Unavailable|Unavailable|Low(35)",,Phyllastrephus strepitans,Cornell University Museum of Vertebrates,13396,1,3
Colombo,Sri Lanka,,,6.925469,79.860824,yes,High(82),Unavailable,"6.9425,79.8629,COLOMBO|Unavailable|Unavailable|High(82),6.931944,79.847778,COLOMBO|Unavailable|Unavailable|High(82),6.9167,79.8667,COLOMBO|Unavailable|Unavailable|High(82),6.8664,80.0166,COLOMBO|Unavailable|Unavailable|High(82)",,Pycnonotus luteolus,RMNH,RMNH.AVES.27265,1,4
"Conda (Gabela), Cuanza Sul",Angola,,,-11.108618,14.33621,yes,Low(40),Unavailable,"-10.82696,15.031974,CUANZA SUL|Unavailable|Unavailable|Low(40),-8.659952,15.176164,CUANZA|Unavailable|Unavailable|Low(36),-9.043015,15.901682,CUANZA|Unavailable|Unavailable|Low(36),-9.194735,20.95916,CUANZA|Unavailable|Unavailable|Low(36),-9.115803,18.253842,CUANZA|Unavailable|Unavailable|Low(36),-8.900238,15.849866,CUANZA|Unavailable|Unavailable|Low(36),-10.836536,17.208436,CUANZA|Unavailable|Unavailable|Low(36),-11.096127,17.444917,CUANZA|Unavailable|Unavailable|Low(36),-11.966667,15.283333,CUANZA|Unavailable|Unavailable|Low(36),-11.916667,17.7,CUANZA|Unavailable|Unavailable|Low(36),-8.80924,15.642537,CUANZA|Unavailable|Unavailable|Low(36),-8.173659,14.862392,CUANZA|Unavailable|Unavailable|Low(36),-6.045517,14.07735,CUANZA|Unavailable|Unavailable|Low(36),-6.011241,14.145942,CUANZA|Unavailable|Unavailable|Low(36),-9.044972,15.979936,CUANZA|Unavailable|Unavailable|Low(36),-11.483711,17.510063,CUANZA|Unavailable|Unavailable|Low(36),-9.04988,15.871574,CUANZA|Unavailable|Unavailable|Low(36),-10.818311,14.770481,CUANZA|Unavailable|Unavailable|Low(36),-9.347207,13.152053,CUANZA|Unavailable|Unavailable|Low(36),-10.85147,14.379927,GABELA|Unavailable|Unavailable|Low(36),-9.720458,15.951048,CUANZA|Unavailable|Unavailable|Low(36),-6.562626,14.821405,CONDA|Unavailable|Unavailable|Low(35),-10.553234,15.240631,CONDA|Unavailable|Unavailable|Low(35),-9.961989,15.149075,CONDA|Unavailable|Unavailable|Low(35),-9.333333,14.816667,CONDA|Unavailable|Unavailable|Low(35),-14.907037,17.717463,CONDA|Unavailable|Unavailable|Low(35),-11.108618,14.33621,CONDA|Unavailable|Unavailable|Low(35),-7.583288,14.437424,CONDA|Unavailable|Unavailable|Low(35),-7.225485,14.208069,CONDA|Unavailable|Unavailable|Low(35),-7.600406,14.424337,CONDA|Unavailable|Unavailable|Low(35),-9.274381,21.320463,CONDA|Unavailable|Unavailable|Low(35),-10.997237,14.331261,CONDA|Unavailable|Unavailable|Low(35),-7.657272,15.775635,SUL|Unavailable|Unavailable|Low(33)",,Chlorocichla falkensteini,"Lubango Museum, Angola",32556,1,2
"Conde (Lândana), Cabinda",Angola,,,-4.916667,12.366667,yes,Low(37),Unavailable,"-12.083333,15.533333,CABINDA|Unavailable|Unavailable|Low(37),-9.15,14.95,CABINDA|Unavailable|Unavailable|Low(37),-8.341502,17.008385,CABINDA|Unavailable|Unavailable|Low(37),-8.348854,14.31965,CABINDA|Unavailable|Unavailable|Low(37),-7.322386,15.088764,CABINDA|Unavailable|Unavailable|Low(37),-16.1,17.65,CABINDA|Unavailable|Unavailable|Low(37),-5.233333,12.133333,LÂNDANA|Unavailable|Unavailable|Low(37),-11.533333,14.2,CABINDA|Unavailable|Unavailable|Low(37),-5.55,12.2,CABINDA|Unavailable|Unavailable|Low(37),-8.166667,18.116667,CABINDA|Unavailable|Unavailable|Low(37),-10.069773,14.986565,CABINDA|Unavailable|Unavailable|Low(37),-5.453481,12.373098,CABINDA|Unavailable|Unavailable|Low(37),-12.633333,14.6,CABINDA|Unavailable|Unavailable|Low(37),-4.934231,12.405319,CABINDA|Unavailable|Unavailable|Low(37),-5.2167,12.1333,LÂNDANA|Unavailable|Unavailable|Low(37),-4.934,12.238,CABINDA|Unavailable|Unavailable|Low(37),-5.5667,12.2,CABINDA|Unavailable|Unavailable|Low(37),-8.977467,14.668007,CABINDA|Unavailable|Unavailable|Low(37),-10.845417,14.67635,CONDE|Unavailable|Unavailable|Low(35),-4.916667,12.366667,CONDE|Unavailable|Unavailable|Low(35),-10.854597,14.334354,CONDE|Unavailable|Unavailable|Low(35),-14.659788,12.649858,CONDE|Unavailable|Unavailable|Low(35),-12.516667,21.066667,CONDE|Unavailable|Unavailable|Low(35),-4.883333,12.5,CONDE|Unavailable|Unavailable|Low(35),-12.35,14.033333,CONDE|Unavailable|Unavailable|Low(35),-6.183333,12.383333,CONDE|Unavailable|Unavailable|Low(35)",,"Calyptocichla serinus, Thescelocichla leucopleura, Eurillas curvirostris, Stelgidillas gracilirostris, Bleda notatus, Eurillas gracilis","Lubango Museum, Angola","30196, 30285, 30203, 30282, 30297, 30195, 30399, 30294, 30300, 30277, 30190, 30419, 30280, 30279, 30275",15,2
"Cossa, Lunda",Angola,,,-7.90439,21.363575,yes,Low(35),Unavailable,"-6.184688,16.649665,LUNDA|Unavailable|Unavailable|Low(35),-7.910944,21.401366,COSSA|Unavailable|Unavailable|Low(35),-5.957788,13.235771,COSSA|Unavailable|Unavailable|Low(35),-7.403302,15.438751,LUNDA|Unavailable|Unavailable|Low(35),-6.599268,15.399876,LUNDA|Unavailable|Unavailable|Low(35),-6.416667,14.033333,LUNDA|Unavailable|Unavailable|Low(35),-6.816667,15.3,LUNDA|Unavailable|Unavailable|Low(35),-6.316667,13.983333,LUNDA|Unavailable|Unavailable|Low(35),-6.342984,14.127436,LUNDA|Unavailable|Unavailable|Low(35),-8.55,17.766667,LUNDA|Unavailable|Unavailable|Low(35),-6.001256,13.888564,LUNDA|Unavailable|Unavailable|Low(35),-10.92571,14.836404,LUNDA|Unavailable|Unavailable|Low(35),-11.896133,17.076922,COSSA|Unavailable|Unavailable|Low(35),-10.95055,15.463445,LUNDA|Unavailable|Unavailable|Low(35),-6,13.8833,LUNDA|Unavailable|Unavailable|Low(35),-10.893313,15.427704,LUNDA|Unavailable|Unavailable|Low(35),-11.33668,16.496047,COSSA|Unavailable|Unavailable|Low(35),-7.90439,21.363575,COSSA|Unavailable|Unavailable|Low(35),-7.266667,15.066667,LUNDA|Unavailable|Unavailable|Low(35),-7.881463,15.240826,COSSA|Unavailable|Unavailable|Low(35),-7.25,15.083333,LUNDA|Unavailable|Unavailable|Low(35)",,"Neolestes torquatus, Stelgidillas gracilirostris","Lubango Museum, Angola","27536, 27541",2,2
"Cross River, Obudu Plateau, elevation 5000 feet",Nigeria,,,6.467366,9.342815,yes,Low(41),Unavailable,"5.75,8.5,CROSS RIVER|Unavailable|Unavailable|Low(41),4.5839,8.4179,CROSS RIVER|Unavailable|Unavailable|Low(41),9.166667,9.75,PLATEAU|Unavailable|Unavailable|Low(37),4.5839,8.4179,CROSS|Unavailable|Unavailable|Low(35),6.66737,9.17157,OBUDU|Unavailable|Unavailable|Low(35),6.668185,9.164528,OBUDU|Unavailable|Unavailable|Low(35),6.543865,9.053723,OBUDU|Unavailable|Unavailable|Low(35)",,Phyllastrephus poliocephalus,Cornell University Museum of Vertebrates,30008,1,3
Cuamato,Angola,,,-17.083333,15.133333,no,High(82),unavailable,"-17.083333,15.133333,CUAMATO|Unavailable|Unavailable|High(82),-17.0667,15.15,CUAMATO|Unavailable|Unavailable|High(82)",,Pycnonotus nigricans,"Lubango Museum, Angola",1378,1,2
"Cuango (Cafunto), Lunda",Angola,,,-9.143062,18.049355,yes,Low(36),Unavailable,"-9.186135,14.751504,CUANGO|Unavailable|Unavailable|Low(36),-6.377895,14.425659,CUANGO|Unavailable|Unavailable|Low(36),-8.680128,16.333888,CUANGO|Unavailable|Unavailable|Low(36),-11.046746,17.918608,CUANGO|Unavailable|Unavailable|Low(36),-7.39797,16.292827,CUANGO|Unavailable|Unavailable|Low(36),-12.166667,16.85,CUANGO|Unavailable|Unavailable|Low(36),-12.633333,18.866667,CUANGO|Unavailable|Unavailable|Low(36),-8.385289,15.612495,CUANGO|Unavailable|Unavailable|Low(36),-9.143062,18.049355,CUANGO|Unavailable|Unavailable|Low(36),-9.460238,16.213995,CUANGO|Unavailable|Unavailable|Low(36),-12.883333,18.65,CUANGO|Unavailable|Unavailable|Low(36),-6.280781,16.704719,CUANGO|Unavailable|Unavailable|Low(36),-14.433333,18.883333,CUANGO|Unavailable|Unavailable|Low(36),-14.45,18.933333,CUANGO|Unavailable|Unavailable|Low(36),-6.523341,16.216254,CUANGO|Unavailable|Unavailable|Low(36),-8.580421,18.087892,CUANGO|Unavailable|Unavailable|Low(36),-10.019911,17.09018,CUANGO|Unavailable|Unavailable|Low(36),-9.314356,15.185261,CUANGO|Unavailable|Unavailable|Low(36),-6.342984,14.127436,LUNDA|Unavailable|Unavailable|Low(35),-6,13.8833,LUNDA|Unavailable|Unavailable|Low(35),-8.55,17.766667,LUNDA|Unavailable|Unavailable|Low(35),-6.416667,14.033333,LUNDA|Unavailable|Unavailable|Low(35),-6.816667,15.3,LUNDA|Unavailable|Unavailable|Low(35),-6.316667,13.983333,LUNDA|Unavailable|Unavailable|Low(35),-7.266667,15.066667,LUNDA|Unavailable|Unavailable|Low(35),-10.95055,15.463445,LUNDA|Unavailable|Unavailable|Low(35),-10.92571,14.836404,LUNDA|Unavailable|Unavailable|Low(35),-7.25,15.083333,LUNDA|Unavailable|Unavailable|Low(35),-10.893313,15.427704,LUNDA|Unavailable|Unavailable|Low(35),-6.599268,15.399876,LUNDA|Unavailable|Unavailable|Low(35),-6.184688,16.649665,LUNDA|Unavailable|Unavailable|Low(35),-6.001256,13.888564,LUNDA|Unavailable|Unavailable|Low(35),-7.403302,15.438751,LUNDA|Unavailable|Unavailable|Low(35)",,Atimastillas flavigula,"Lubango Museum, Angola",27796,1,2
"Cuanza Norte, Roca Cansele, N of Quiculungo (900 m)",Angola,,,-8.497963,15.310674,yes,Low(42),Unavailable,"-8.916,15.083,CUANZA NORTE|Unavailable|Unavailable|Low(42),-8.916667,15.08333,CUANZA NORTE|Unavailable|Unavailable|Low(42),-8.6333,15.3167,QUICULUNGO|Unavailable|Unavailable|Low(40),-8.464476,15.248198,QUICULUNGO|Unavailable|Unavailable|Low(40),-8.519293,15.311549,QUICULUNGO|Unavailable|Unavailable|Low(40),-8.5,15.333333,QUICULUNGO|Unavailable|Unavailable|Low(40),-9.043015,15.901682,CUANZA|Unavailable|Unavailable|Low(36),-9.194735,20.95916,CUANZA|Unavailable|Unavailable|Low(36),-8.659952,15.176164,CUANZA|Unavailable|Unavailable|Low(36),-11.916667,17.7,CUANZA|Unavailable|Unavailable|Low(36),-8.80924,15.642537,CUANZA|Unavailable|Unavailable|Low(36),-6.045517,14.07735,CUANZA|Unavailable|Unavailable|Low(36),-6.011241,14.145942,CUANZA|Unavailable|Unavailable|Low(36),-11.966667,15.283333,CUANZA|Unavailable|Unavailable|Low(36),-11.096127,17.444917,CUANZA|Unavailable|Unavailable|Low(36),-9.347,13.151,CUANZA|Unavailable|Unavailable|Low(36),-8.173659,14.862392,CUANZA|Unavailable|Unavailable|Low(36),-9.347207,13.152053,CUANZA|Unavailable|Unavailable|Low(36),-10.818311,14.770481,CUANZA|Unavailable|Unavailable|Low(36),-9.04988,15.871574,CUANZA|Unavailable|Unavailable|Low(36),-9.115803,18.253842,CUANZA|Unavailable|Unavailable|Low(36),-12,17.666667,CUANZA|Unavailable|Unavailable|Low(36),-10.836536,17.208436,CUANZA|Unavailable|Unavailable|Low(36),-9.720458,15.951048,CUANZA|Unavailable|Unavailable|Low(36),-11.483711,17.510063,CUANZA|Unavailable|Unavailable|Low(36),-9.044972,15.979936,CUANZA|Unavailable|Unavailable|Low(36),-8.900238,15.849866,CUANZA|Unavailable|Unavailable|Low(36),-12.31065,13.604652,NORTE|Unavailable|Unavailable|Low(35),-9.779186,18.988389,CULUNGO|Unavailable|Unavailable|Low(24),-8.765592,16.82925,CULUNGO|Unavailable|Unavailable|Low(24),-6.488818,13.539427,CULUNGO|Unavailable|Unavailable|Low(24)",,Neolestes torquatus,Smithsonian NMNH,"USNM 583347, USNM 583348",2,3
"Cuidad de la Paz (1.613482, 10.882453)",Equatorial Guinea,,,1.613482,10.882453,no,,,,,"Criniger calurus, Criniger chloronotus, Eurillas latirostris, Criniger ndussumensis, Bleda notatus, Eurillas curvirostris, Phyllastrephus xavieri, Eurillas virens, Phyllastrephus icterinus",Field1,"E2536, B10019, B9903, B10020, B9931, B9920, B9920A, B10024, B9910, B9906, B9901, B9908, B9907, B10527, B10313, B11605, B11621, B11609, B11610, B10157, B11644, B10309, B10171, B11611, B10303, B10140, B10315, B11608, B11164, B04521, B10170, B05073, FC76518, FC76535, B11539, FC76519, B10176, FC76662, FC76663, B10083, FC76637, B11519, B10172, FC76659, FC76664, FC76655, B11561, B11994, B11976, B11966, FC76652, FC76653, B11984",53,2
"Curepipe, Mauritius",Mauritius,,,-20.317183,57.526899,yes,Low(39),,"-20.2833,57.55,MAURITIUS|Unavailable|Unavailable|Low(39),-20.3,57.583333,MAURITIUS|Unavailable|Unavailable|Low(39),-20.3,57.5833,MAURITIUS|Unavailable|Unavailable|Low(39),-20.332222,57.502222,CUREPIPE|Unavailable|Unavailable|Low(38),-20.316667,57.516667,CUREPIPE|Unavailable|Unavailable|Low(38),-20.3167,57.5167,CUREPIPE|Unavailable|Unavailable|Low(38),-20.314722,57.520278,CUREPIPE|Unavailable|Unavailable|Low(38)",,Hypsipetes olivaceus,University of Cambridge Museum of Zoology,UMZC 27/Pyc/6/c/11,1,2
"DEMOCRATIC REPUBLIC OF CONGO: Orientale Providence; Beni, 23 km N; Mbutaba, village in Ituri Forest",Democratic Republic of Congo,,,0.835535,29.439023,yes,Medium(38),,"2.057876,29.966667,Distance North of %ITURI%|Unavailable|Unavailable|Medium(38),1.874544,27.016667,Distance North of %ITURI%|Unavailable|Unavailable|Medium(38)",,"Phyllastrephus xavieri, Criniger barbatus, Phyllastrephus icterinus, Bleda eximius, Criniger calurus",Burke Museum,"UWBM 120508, UWBM 120545, UWBM 120507, UWBM 120544, UWBM 120538, UWBM 123917, UWBM 120537, UWBM 120539, UWBM 120540, UWBM 120541",10,2
"DUTSE (11.73239001, 9.326040996)",Nigeria,,,11.73239001,9.326040996,no,Low(35),unavailable,"11.80331,9.307076,DUTSE|Unavailable|Unavailable|Low(35),12.779577,4.416085,DUTSE|Unavailable|Unavailable|Low(35),11.759404,9.339207,DUTSE|Unavailable|Unavailable|Low(35),11.75618,9.338959,DUTSE|Unavailable|Unavailable|Low(35)",,Pycnonotus barbatus,Field1,"CA03118, CA03120, CA03131, CA03122, CA03123, CA03124, CA03125, CA03126, CA03127, CA03128, CA03129, CA03130, CA03132, CA03133, CA03134",16,1
Adabokrom,Ghana,,,6.821315,-3.019552,no,High(84),unavailable,"6.821315,-3.019552,ADABOKROM|Unavailable|Unavailable|High(84),4.959938,-1.878208,ADABOKROM|Unavailable|Unavailable|High(84)",,Criniger calurus,RMNH,RMNH.AVES.126341,1,2
"Dajipur, Maharasthra",India,,,16.383835,73.862999,yes,Low(24),,"25.700271,86.649368,MAHARAS|Unavailable|Unavailable|Low(24)",,"Pycnonotus jocosus, Pycnonotus xantholaemus, Acritillas indica",Indian Institute of Science Education and Research Tirupati,"ab_99, ab_98, ab_97, ab_22, ab_23, ab_27, ab_28, ab_29, ab_31, ab_35, ab_38, ab_40, ab_44, ab_46, ab_48, ab_50, ab_51, ab_52, ab_58, ab_60, ab_69, ab_70, ab_71, z_72",24,3
"Dalton pass, Nueva Vizcaya",Phillippines,,,16.291979,121.037636,yes,Low(43),,"16.324685,121.124245,NUEVA VIZCAYA|Unavailable|Unavailable|Low(43),16.324,121.124,NUEVA VIZCAYA|Unavailable|Unavailable|Low(43),14.394369,121.025747,DALTON PASS|Unavailable|Unavailable|Low(41),16.1308,120.9364,DALTON PASS|Unavailable|Unavailable|Low(41),14.634879,120.978631,VIZCAYA|Unavailable|Unavailable|Low(37),11.418955,122.913551,VIZCAYA|Unavailable|Unavailable|Low(37),14.687229,121.107783,DALTON|Unavailable|Unavailable|Low(36),14.363331,121.057691,NUEVA|Unavailable|Unavailable|Low(35),14.356433,121.055554,NUEVA|Unavailable|Unavailable|Low(35),18.290082,121.451729,NUEVA|Unavailable|Unavailable|Low(35)",,Pycnonotus goiavier,NMNH Philippines,NA,1,2
"Dandeli, Karnataka",India,,,15.237339,74.614086,yes,Low(39),Unavailable,"13.5,76,KARNATAKA|Unavailable|Unavailable|Low(39),14.666667,75.833333,KARNATAKA|Unavailable|Unavailable|Low(39),16,75,KARNATAKA|Unavailable|Unavailable|Low(39),16,75,KARNATAKA|Unavailable|Unavailable|Low(39),15.266667,74.616667,DANDELI|Unavailable|Unavailable|Low(37),15.237339,74.614086,DANDELI|Unavailable|Unavailable|Low(37),15.266667,74.616667,DANDELI|Unavailable|Unavailable|Low(37),15.25,74.616667,DANDELI|Unavailable|Unavailable|Low(37),16,75,KARNATAK|Unavailable|Unavailable|Low(25),16,75,KARNATAK|Unavailable|Unavailable|Low(25),25.048409,77.229874,KARNATA|Unavailable|Unavailable|Low(24),12,78,KARNATA|Unavailable|Unavailable|Low(24)",,"Pycnonotus jocosus, Pycnonotus cafer",Indian Institute of Science Education and Research Tirupati,"a_7216, ab_4051",2,2
"Danger Hill, Mpika",Zambia,,,-11.8333,31.5,yes,Low(35),Unavailable,"-11.834309,31.452866,MPIKA|Unavailable|Unavailable|Low(35),-13.10019,30.110104,MPIKA|Unavailable|Unavailable|Low(35),-14.066667,28.066667,MPIKA|Unavailable|Unavailable|Low(35),-11.8333,31.5,MPIKA|Unavailable|Unavailable|Low(35),-12.021185,31.264727,MPIKA|Unavailable|Unavailable|Low(35),-11.896485,31.437185,MPIKA|Unavailable|Unavailable|Low(35)",,Eurillas virens,"Lubango Museum, Angola","23180, 23181",2,2
Darjeeling,India,,,27.039371,88.2638,yes,High(85),,"27.034784,88.266117,DARJEELING|Unavailable|Unavailable|High(85),27.0333,88.3333,DARJEELING|Unavailable|Unavailable|High(85),26.75,88.25,DARJEELING|Unavailable|Unavailable|High(85),27.031651,88.260273,(g3)Darjeeling|Unavailable|1368|Medium(60)",,"Pycnonotus leucogenys, Rubigula flaviventris",Royal Ontario Museum,"NA, CG 1881, No 1086; 456",2,3
"Devikulam, Kerala",India,,,10.064812,77.107412,yes,Low(39),Unavailable,"10.066667,77.083333,DEVIKULAM|Unavailable|Unavailable|Low(39),10.064812,77.107412,DEVIKULAM|Unavailable|Unavailable|Low(39),10.416667,76.5,KERALA|Unavailable|Unavailable|Low(36),11,78,KERALA|Unavailable|Unavailable|Low(36),10,76.5,KERALA|Unavailable|Unavailable|Low(36),11,78,KERALA|Unavailable|Unavailable|Low(36)",,"Pycnonotus jocosus, Acritillas indica, Hypsipetes ganeesa",Indian Institute of Science Education and Research Tirupati,"a_264442, _264443, ab_2600, a_264448, a_264453, a_264458, a_264459, a_264470, a_264474, a_264493",10,2
Dinagat,Philippines,,,10.126495,125.637278,yes,High(82),,"9.956111,125.593333,DINAGAT|Unavailable|Unavailable|High(82),9.983333,125.6,DINAGAT|Unavailable|Unavailable|High(82),10.224722,125.594722,DINAGAT|Unavailable|Unavailable|High(82),9.983333,125.6,DINAGAT|Unavailable|Unavailable|High(82),9.9833,125.5833,DINAGAT|Unavailable|Unavailable|High(82)",,Hypsipetes everetti,NHMUK,"88.4.1.328, 1977.16.60",2,4
