LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,AviList,Source,Specimen.number,n_specimens,Code
"Kibale Forest, Fort Portal, elevation 1700 meters",Uganda,,,0.640328,30.388118,yes,Low(43),,"0.561,30.643,KIBALE FOREST|Unavailable|Unavailable|Low(43),0.561944,30.648889,KIBALE FOREST|Unavailable|Unavailable|Low(43),0.661959,30.282684,FORT PORTAL|Unavailable|Unavailable|Low(41),0.6667,30.2833,FORT PORTAL|Unavailable|Unavailable|Low(41),1,31,WESTERN|Unavailable|Unavailable|Low(37),0.816667,30.7,KIBALE|Unavailable|Unavailable|Low(36),-0.333333,31.583333,KIBALE|Unavailable|Unavailable|Low(36),0.538056,32.0275,KIBALE|Unavailable|Unavailable|Low(36),1.433333,32.916667,KIBALE|Unavailable|Unavailable|Low(36),0.766667,32.416667,KIBALE|Unavailable|Unavailable|Low(36),-0.798056,31.476111,KIBALE|Unavailable|Unavailable|Low(36),0.8,31.066667,KIBALE|Unavailable|Unavailable|Low(36),-0.808611,31.501944,KIBALE|Unavailable|Unavailable|Low(36),1.05,33.583333,KIBALE|Unavailable|Unavailable|Low(36),1.216667,33.783333,KIBALE|Unavailable|Unavailable|Low(36),0.790833,31.063333,KIBALE|Unavailable|Unavailable|Low(36),-0.816667,31.483333,KIBALE|Unavailable|Unavailable|Low(36),0.528289,30.166407,KIBALE|Unavailable|Unavailable|Low(36),0.860845,33.604516,KIBALE|Unavailable|Unavailable|Low(36),0.772173,30.362345,KIBALE|Unavailable|Unavailable|Low(36),0.810374,31.066436,KIBALE|Unavailable|Unavailable|Low(36),1.18836,31.809242,KIBALE|Unavailable|Unavailable|Low(36),0.605403,30.265218,KIBALE|Unavailable|Unavailable|Low(36),0.930146,31.032609,KIBALE|Unavailable|Unavailable|Low(36),1.502399,31.361534,KIBALE|Unavailable|Unavailable|Low(36),0.278408,33.603385,KIBALE|Unavailable|Unavailable|Low(36),0.247926,32.987069,KIBALE|Unavailable|Unavailable|Low(36),0.229054,32.796203,KIBALE|Unavailable|Unavailable|Low(36)",,"Bleda syndactylus, Phyllastrephus fischeri, Eurillas curvirostris",Cornell University Museum of Vertebrates,"33728, 33733, 33732, 33721",4,2
"15 Km. de Carmona, Uíge",Angola,,,-7.613282,15.056621,no,Low(37),unavailable,"-7.613282,15.056621,CARMONA|Unavailable|Unavailable|Low(37),-7.613282,15.056621,UÍGE|Unavailable|Unavailable|Low(34),-7.107191,15.440565,UÍGE|Unavailable|Unavailable|Low(34),-7.107,15.44,UÍGE|Unavailable|Unavailable|Low(34),-7.6167,15.05,UÍGE|Unavailable|Unavailable|Low(34),-7.569171,15.090357,UÍGE|Unavailable|Unavailable|Low(34)",,Stelgidillas gracilirostris,"Lubango Museum, Angola",26980,1,3
"15km W of Silam, Bole River, Lahod Datu, Sabah, E. Malaysia",Malaysia,,,4.975414,118.105866,yes,Low(43),Unavailable,"4,115,EAST MALAYSIA|Unavailable|Unavailable|Low(43),0,120,MALAYSIA|Unavailable|Unavailable|Low(38),2.5,112.5,MALAYSIA|Unavailable|Unavailable|Low(38),2.5,112.5,MALAYSIA|Unavailable|Unavailable|Low(38),4.957041,118.16565,SILAM|Unavailable|Unavailable|Low(35),4.977239,118.227842,SILAM|Unavailable|Unavailable|Low(35),5.5,117,SABAH|Unavailable|Unavailable|Low(35),3.7698,100.9879,SABAH|Unavailable|Unavailable|Low(35),4.7669,115.7088,BOLE|Unavailable|Unavailable|Low(34)",,Rubigula erythropthalmos,Western Foundation of Vertebrate Zoology,WFVZ #38878,1,2
"40 Km. do Dundo NA estrada para Camissombo, Lunda",Angola,,,-7.7145,20.7488,no,Low(40),unavailable,"-9.613333,16.315556,CAMISSOMBO|Unavailable|Unavailable|Low(40),-9.8796,17.580223,CAMISSOMBO|Unavailable|Unavailable|Low(40),-8.156327,20.656384,CAMISSOMBO|Unavailable|Unavailable|Low(40),-9.738101,19.310261,CAMISSOMBO|Unavailable|Unavailable|Low(40),-8.596993,20.62413,CAMISSOMBO|Unavailable|Unavailable|Low(40),-9.022405,21.388516,CAMISSOMBO|Unavailable|Unavailable|Low(40),-9.851369,19.245909,CAMISSOMBO|Unavailable|Unavailable|Low(40),-9.825042,17.54772,CAMISSOMBO|Unavailable|Unavailable|Low(40),-8.76415,16.966271,CAMISSOMBO|Unavailable|Unavailable|Low(40),-8.731887,18.852203,CAMISSOMBO|Unavailable|Unavailable|Low(40),-9.746667,16.3575,CAMISSOMBO|Unavailable|Unavailable|Low(40),-9.751446,17.068768,CAMISSOMBO|Unavailable|Unavailable|Low(40),-12.6,15.1,DUNDO|Unavailable|Unavailable|Low(35),-6.416667,14.033333,LUNDA|Unavailable|Unavailable|Low(35),-6.184688,16.649665,LUNDA|Unavailable|Unavailable|Low(35),-6.599268,15.399876,LUNDA|Unavailable|Unavailable|Low(35),-6.342984,14.127436,LUNDA|Unavailable|Unavailable|Low(35),-8.55,17.766667,LUNDA|Unavailable|Unavailable|Low(35),-6.816667,15.3,LUNDA|Unavailable|Unavailable|Low(35),-6.583333,15.95,DUNDO|Unavailable|Unavailable|Low(35),-6.316667,13.983333,LUNDA|Unavailable|Unavailable|Low(35),-12.583333,15.2,DUNDO|Unavailable|Unavailable|Low(35),-9.795211,14.701588,DUNDO|Unavailable|Unavailable|Low(35),-9.778621,14.723898,DUNDO|Unavailable|Unavailable|Low(35),-7.308461,14.887875,DUNDO|Unavailable|Unavailable|Low(35),-10.175988,14.477772,DUNDO|Unavailable|Unavailable|Low(35),-10.142872,14.476799,DUNDO|Unavailable|Unavailable|Low(35),-9.932275,22.111252,DUNDO|Unavailable|Unavailable|Low(35),-7.266667,15.066667,LUNDA|Unavailable|Unavailable|Low(35),-8.104483,16.339299,DUNDO|Unavailable|Unavailable|Low(35),-7.403302,15.438751,LUNDA|Unavailable|Unavailable|Low(35),-8.189989,15.472885,DUNDO|Unavailable|Unavailable|Low(35),-6.001256,13.888564,LUNDA|Unavailable|Unavailable|Low(35)",,Pycnonotus barbatus,"Lubango Museum, Angola",27474,1,2
40 mi N Nata (Thari Pan),Botswana,,,-19.651861,26.166667,yes,High(79),,"-19.651861,26.166667,Distance North of NATA|Unavailable|Unavailable|High(79),-19.635194,26.183333,Distance North of NATA|Unavailable|Unavailable|High(79),-19.651828,26.1667,Distance North of NATA|Unavailable|Unavailable|High(79),-19.601825,26.1667,Distance North of NATA|Unavailable|Unavailable|High(79)",,Pycnonotus nigricans,Royal Ontario Museum,NA,1,2
"55km W of Silam, Bole River, Lahod Datu, Sabah, E. Malaysia",Malaysia,,,4.964758,117.804407,yes,Low(43),,"4,115,EAST MALAYSIA|Unavailable|Unavailable|Low(43),0,120,MALAYSIA|Unavailable|Unavailable|Low(38),2.5,112.5,MALAYSIA|Unavailable|Unavailable|Low(38),2.5,112.5,MALAYSIA|Unavailable|Unavailable|Low(38),4.957041,118.16565,SILAM|Unavailable|Unavailable|Low(35),4.977239,118.227842,SILAM|Unavailable|Unavailable|Low(35),5.5,117,SABAH|Unavailable|Unavailable|Low(35),3.7698,100.9879,SABAH|Unavailable|Unavailable|Low(35),4.7669,115.7088,BOLE|Unavailable|Unavailable|Low(34)",,Rubigula erythropthalmos,Western Foundation of Vertebrate Zoology,WFVZ #38876,1,2
"55km W of Silam, Bole River, Lahad Datu, Sabah, E. Malaysia",Malaysia,,,4.964758,115,no,Low(43),unavailable,"4,115,EAST MALAYSIA|Unavailable|Unavailable|Low(43),5.0268,118.327,LAHAD DATU|Unavailable|Unavailable|Low(40),5,118,LAHAD DATU|Unavailable|Unavailable|Low(40),5.083333,118.166667,LAHAD DATU|Unavailable|Unavailable|Low(40),0,120,MALAYSIA|Unavailable|Unavailable|Low(38),2.5,112.5,MALAYSIA|Unavailable|Unavailable|Low(38),2.5,112.5,MALAYSIA|Unavailable|Unavailable|Low(38),4.977239,118.227842,SILAM|Unavailable|Unavailable|Low(35),3.7698,100.9879,SABAH|Unavailable|Unavailable|Low(35),5.5,117,SABAH|Unavailable|Unavailable|Low(35),4.957041,118.16565,SILAM|Unavailable|Unavailable|Low(35),4.7669,115.7088,BOLE|Unavailable|Unavailable|Low(34)",,Iole finschii,Western Foundation of Vertebrate Zoology,"WFVZ #38914, WFVZ #38913, WFVZ #38912, WFVZ #38911",4,2
"55km W of Silam, Bole River, Lahod Datu, Sabah, E. Malaysia",Malaysia,,,4.964758,115,no,Low(43),unavailable,"4,115,EAST MALAYSIA|Unavailable|Unavailable|Low(43),0,120,MALAYSIA|Unavailable|Unavailable|Low(38),2.5,112.5,MALAYSIA|Unavailable|Unavailable|Low(38),2.5,112.5,MALAYSIA|Unavailable|Unavailable|Low(38),4.957041,118.16565,SILAM|Unavailable|Unavailable|Low(35),4.977239,118.227842,SILAM|Unavailable|Unavailable|Low(35),5.5,117,SABAH|Unavailable|Unavailable|Low(35),3.7698,100.9879,SABAH|Unavailable|Unavailable|Low(35),4.7669,115.7088,BOLE|Unavailable|Unavailable|Low(34)",,Rubigula erythropthalmos,Western Foundation of Vertebrate Zoology,"WFVZ #38877, WFVZ #38874",2,2
?,Gabon,,,-0.613065,11.737846,yes,,,,,Thescelocichla leucopleura,RMNH,RMNH126289,1,5
?,Indonesia,,,-2.119179,101.358024,yes,,,,,Ixos leucogrammicus,RMNH,5013,1,5
