"","Common.name","area_square_miles","Estimate","Lower","Upper","Scientific.name","Order","Family","X95..Lower.CI","Abundance.estimate","X95..Upper.CI","Range.adjusted","Training.species"
"1","Abbott's Booby",261607.1646,NA,NA,NA,"Papasula abbotti","Suliformes","Sulidae (Boobies and Gannets)",2706,250226,23483301,TRUE,FALSE
"2","Abbott's Starling",1943.320922,"6250","2500","9999","Poeoptera femoralis","Passeriformes","Sturnidae (Starlings)",1,94,8259,TRUE,FALSE
"3","Aberdare Cisticola",491.3050749,"X","X","X","Cisticola aberdare","Passeriformes","Cisticolidae (Cisticolas and Allies)",1,103,8958,TRUE,FALSE
"4","Aberrant Bush Warbler",639294.8926,NA,NA,NA,"Horornis flavolivaceus","Passeriformes","Scotocercidae (Bush Warblers and Allies)",7647,647343,59021188,TRUE,FALSE
"5","Abert's Towhee",65728.5445,NA,NA,NA,"Melozone aberti","Passeriformes","Passerellidae (New World Sparrows)",5656,296667,16481028,FALSE,TRUE
"6","Abyssinian Catbird",30477.06967,NA,NA,NA,"Parophasma galinieri","Passeriformes","Sylviidae (Sylviid Warblers)",1310,111248,10214525,TRUE,FALSE
"7","Abyssinian Crimsonwing",99667.32058,NA,NA,NA,"Cryptospiza salvadorii","Passeriformes","Estrildidae (Waxbills and Allies)",793,69007,5828896,FALSE,FALSE
"8","Abyssinian Ground-Hornbill",1730567.791,NA,NA,NA,"Bucorvus abyssinicus","Bucerotiformes","Bucorvidae (Ground-Hornbills)",3976,362164,34379441,TRUE,FALSE
"9","Abyssinian Ground-Thrush",126679.6704,NA,NA,NA,"Geokichla piaggiae","Passeriformes","Turdidae (Thrushes and Allies)",1089,82706,8092730,TRUE,FALSE
"10","Abyssinian Longclaw",156366.6896,NA,NA,NA,"Macronyx flavicollis","Passeriformes","Motacillidae (Wagtails and Pipits)",981,81191,7187689,TRUE,FALSE
"11","Abyssinian Nightjar",311596.5056,NA,NA,NA,"Caprimulgus poliocephalus","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)",1209,100183,9832445,TRUE,FALSE
"12","Abyssinian Owl",59457.88774,NA,NA,NA,"Asio abyssinicus","Strigiformes","Strigidae (Owls)",1127,95304,8674336,TRUE,FALSE
"13","Abyssinian Roller",1928031.213,NA,NA,NA,"Coracias abyssinicus","Coraciiformes","Coraciidae (Rollers)",56440,4829299,468486256,TRUE,FALSE
"14","Abyssinian Scimitarbill",797077.8637,NA,NA,NA,"Rhinopomastus minor","Bucerotiformes","Phoeniculidae (Woodhoopoes and Scimitarbills)",8722,811493,78608800,TRUE,FALSE
"15","Abyssinian Slaty-Flycatcher",78310.53659,NA,NA,NA,"Melaenornis chocolatinus","Passeriformes","Muscicapidae (Old World Flycatchers)",2273,242687,21013453,TRUE,FALSE
"16","Abyssinian Thrush",380462.2706,NA,NA,NA,"Turdus abyssinicus","Passeriformes","Turdidae (Thrushes and Allies)",22813,1914584,187998319,TRUE,FALSE
"17","Abyssinian White-eye",256884.8338,NA,NA,NA,"Zosterops abyssinicus","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)",17740,1517920,119470211,TRUE,FALSE
"18","Acorn Woodpecker",580195.539,NA,NA,NA,"Melanerpes formicivorus","Piciformes","Picidae (Woodpeckers)",54946,2462650,115495162,FALSE,TRUE
"19","Acre Antshrike",362.3054834,NA,NA,NA,"Thamnophilus divisorius","Passeriformes","Thamnophilidae (Typical Antbirds)",4,388,32914,TRUE,FALSE
"20","Acre Tody-Tyrant",3796.71032,"X","X","X","Hemitriccus cohnhafti","Passeriformes","Tyrannidae (Tyrant Flycatchers)",6,535,47395,TRUE,FALSE
"21","Adamawa Turtle-Dove",204589.1271,NA,NA,NA,"Streptopelia hypopyrrha","Columbiformes","Columbidae (Pigeons and Doves)",2630,210566,17812076,TRUE,FALSE
"22","Adelaide's Warbler",3445.205799,"X","X","X","Setophaga adelaidae","Passeriformes","Parulidae (New World Warblers)",132,12478,1172177,TRUE,FALSE
"23","Afep Pigeon",1042369.78,NA,NA,NA,"Columba unicincta","Columbiformes","Columbidae (Pigeons and Doves)",10187,1012482,83772475,TRUE,FALSE
"24","African Bare-eyed Thrush",385332.9013,NA,NA,NA,"Turdus tephronotus","Passeriformes","Turdidae (Thrushes and Allies)",3908,350138,30038697,TRUE,FALSE
"25","African Barred Owlet",1572170.543,NA,NA,NA,"Glaucidium capense","Strigiformes","Strigidae (Owls)",6491,607534,58667443,TRUE,FALSE
"26","African Black Duck",3557383.241,NA,NA,NA,"Anas sparsa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",6318,676096,61422479,TRUE,FALSE
"27","African Black-headed Oriole",2348041.784,NA,NA,NA,"Oriolus larvatus","Passeriformes","Oriolidae (Old World Orioles)",30167,2905679,273546964,TRUE,FALSE
"28","African Blue Flycatcher",1509997.746,NA,NA,NA,"Elminia longicauda","Passeriformes","Stenostiridae (Fairy Flycatchers)",18943,1764162,152659561,TRUE,FALSE
"29","African Blue Tit",240961.5161,NA,NA,NA,"Cyanistes teneriffae","Passeriformes","Paridae (Tits, Chickadees, and Titmice)",26391,2534720,235870842,TRUE,FALSE
"30","African Broadbill",1448615.445,NA,NA,NA,"Smithornis capensis","Passeriformes","Calyptomenidae (African and Green Broadbills)",14620,1357048,119320217,TRUE,FALSE
"31","African Citril",214299.2229,NA,NA,NA,"Crithagra citrinelloides","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",15407,1615953,138642154,TRUE,FALSE
"32","African Collared-Dove",1063547.337,NA,NA,NA,"Streptopelia roseogrisea","Columbiformes","Columbidae (Pigeons and Doves)",117976,11036026,929213978,TRUE,FALSE
"33","African Crake",2298204.728,NA,NA,NA,"Crex egregia","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",12505,1245266,107853010,TRUE,FALSE
"34","African Crested-Flycatcher",69449.72638,NA,NA,NA,"Trochocercus cyanomelas","Passeriformes","Monarchidae (Monarch Flycatchers)",11203,1050060,100217965,TRUE,FALSE
"35","African Cuckoo",1930241.894,NA,NA,NA,"Cuculus gularis","Cuculiformes","Cuculidae (Cuckoos)",12259,1194708,111365807,TRUE,FALSE
"36","African Cuckoo-Hawk",4090290.494,NA,NA,NA,"Aviceda cuculoides","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",7453,764922,59217210,TRUE,FALSE
"37","African Darter",6940772.056,NA,NA,NA,"Anhinga rufa","Suliformes","Anhingidae (Anhingas)",49661,4308009,416467567,TRUE,FALSE
"38","African Desert Warbler",715685.7342,NA,NA,NA,"Sylvia deserti","Passeriformes","Sylviidae (Sylviid Warblers)",11191,883032,80858851,TRUE,FALSE
"39","African Dwarf Kingfisher",847849.5594,NA,NA,NA,"Ispidina lecontei","Coraciiformes","Alcedinidae (Kingfishers)",1295,140619,12503130,TRUE,FALSE
"40","African Emerald Cuckoo",3265393.585,NA,NA,NA,"Chrysococcyx cupreus","Cuculiformes","Cuculidae (Cuckoos)",43299,3711654,318734307,TRUE,FALSE
"41","African Finfoot",4395670.318,NA,NA,NA,"Podica senegalensis","Gruiformes","Heliornithidae (Finfoots)",12704,1111863,112175938,TRUE,FALSE
"42","African Firefinch",2335135.552,NA,NA,NA,"Lagonosticta rubricata","Passeriformes","Estrildidae (Waxbills and Allies)",21625,2001462,179120458,TRUE,FALSE
"43","African Fish-Eagle",6037792.707,NA,NA,NA,"Haliaeetus vocifer","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",40960,3621519,334315475,TRUE,FALSE
"44","African Forest-Flycatcher",1268653.654,NA,NA,NA,"Fraseria ocreata","Passeriformes","Muscicapidae (Old World Flycatchers)",5291,485092,35773358,TRUE,FALSE
"45","African Golden Oriole",1784809.438,NA,NA,NA,"Oriolus auratus","Passeriformes","Oriolidae (Old World Orioles)",20465,1765018,177551647,TRUE,FALSE
"46","African Golden-Weaver",190601.8998,NA,NA,NA,"Ploceus subaureus","Passeriformes","Ploceidae (Weavers and Allies)",13472,1233606,111480664,TRUE,FALSE
"47","African Grass-Owl",1039659.785,NA,NA,NA,"Tyto capensis","Strigiformes","Tytonidae (Barn-Owls)",338,32782,2764422,TRUE,FALSE
"48","African Gray Hornbill",3795479.241,NA,NA,NA,"Lophoceros nasutus","Bucerotiformes","Bucerotidae (Hornbills)",63799,6047629,541987174,TRUE,FALSE
"49","African Green-Pigeon",4146458.043,NA,NA,NA,"Treron calvus","Columbiformes","Columbidae (Pigeons and Doves)",90642,7910467,707633842,TRUE,FALSE
"50","African Harrier-Hawk",5750248.324,NA,NA,NA,"Polyboroides typus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",33011,3000881,260702888,TRUE,FALSE
"51","African Hawk-Eagle",4796637.841,NA,NA,NA,"Aquila spilogaster","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",13137,1231347,118094703,TRUE,FALSE
"52","African Hill Babbler",149476.2424,NA,NA,NA,"Sylvia abyssinica","Passeriformes","Sylviidae (Sylviid Warblers)",5624,522770,47676451,TRUE,FALSE
"53","African Hobby",2871359.076,NA,NA,NA,"Falco cuvierii","Falconiformes","Falconidae (Falcons and Caracaras)",6638,597196,59124719,TRUE,FALSE
"54","African Jacana",6559246.586,NA,NA,NA,"Actophilornis africanus","Charadriiformes","Jacanidae (Jacanas)",140082,12176161,1146678899,TRUE,FALSE
"55","African Marsh-Harrier",1709010.897,NA,NA,NA,"Circus ranivorus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",3991,400001,33904243,TRUE,FALSE
"56","African Openbill",5177495.247,NA,NA,NA,"Anastomus lamelligerus","Ciconiiformes","Ciconiidae (Storks)",93756,7850970,681042513,TRUE,FALSE
"57","African Oystercatcher",52895.66819,"4450","","","Haematopus moquini","Charadriiformes","Haematopodidae (Oystercatchers)",7473,686975,60856825,TRUE,FALSE
"58","African Palm-Swift",6312261.578,NA,NA,NA,"Cypsiurus parvus","Caprimulgiformes","Apodidae (Swifts)",324487,28243826,2400059271,TRUE,FALSE
"59","African Paradise-Flycatcher",5517159.003,NA,NA,NA,"Terpsiphone viridis","Passeriformes","Monarchidae (Monarch Flycatchers)",99706,8798788,817501248,TRUE,FALSE
"60","African Penduline-Tit",1794116.508,NA,NA,NA,"Anthoscopus caroli","Passeriformes","Remizidae (Penduline-Tits)",10781,917019,94326199,TRUE,FALSE
"61","African Piculet",975978.7591,NA,NA,NA,"Verreauxia africana","Piciformes","Picidae (Woodpeckers)",4271,374790,35363442,TRUE,FALSE
"62","African Pied Hornbill",1493446.541,NA,NA,NA,"Lophoceros fasciatus","Bucerotiformes","Bucerotidae (Hornbills)",39279,3282680,334993967,TRUE,FALSE
"63","African Pied Starling",304219.9247,NA,NA,NA,"Lamprotornis bicolor","Passeriformes","Sturnidae (Starlings)",15136,1272485,112633654,TRUE,FALSE
"64","African Pied Wagtail",4371161.887,NA,NA,NA,"Motacilla aguimp","Passeriformes","Motacillidae (Wagtails and Pipits)",70296,5910517,539286227,FALSE,FALSE
"65","African Pipit",3793526.584,NA,NA,NA,"Anthus cinnamomeus","Passeriformes","Motacillidae (Wagtails and Pipits)",24734,2235140,207611678,TRUE,FALSE
"66","African Pitta",240540.2915,NA,NA,NA,"Pitta angolensis","Passeriformes","Pittidae (Pittas)",5582,527357,48579973,TRUE,FALSE
"67","African Pygmy-Goose",6855016.757,NA,NA,NA,"Nettapus auritus","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",65428,5707370,526082757,TRUE,FALSE
"68","African Pygmy-Kingfisher",3853924.635,NA,NA,NA,"Ispidina picta","Coraciiformes","Alcedinidae (Kingfishers)",22035,2115380,198942272,TRUE,FALSE
"69","African Rail",2190658.556,NA,NA,NA,"Rallus caerulescens","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",3417,291637,24808312,TRUE,FALSE
"70","African Scops-Owl",5206821.578,NA,NA,NA,"Otus senegalensis","Strigiformes","Strigidae (Owls)",13061,1212000,112513331,TRUE,FALSE
"71","African Shrike-flycatcher",1576749.517,NA,NA,NA,"Megabyas flammulatus","Passeriformes","Vangidae (Vangas, Helmetshrikes, and Allies)",8067,703762,71761866,TRUE,FALSE
"72","African Silverbill",1476765.014,NA,NA,NA,"Euodice cantans","Passeriformes","Estrildidae (Waxbills and Allies)",47798,3818482,307264554,FALSE,FALSE
"73","African Skimmer",3752328.614,NA,NA,NA,"Rynchops flavirostris","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",35677,2961339,273476159,TRUE,FALSE
"74","African Snipe",2165823.498,NA,NA,NA,"Gallinago nigripennis","Charadriiformes","Scolopacidae (Sandpipers and Allies)",5990,531430,50785047,TRUE,FALSE
"75","African Spoonbill",5466259.653,NA,NA,NA,"Platalea alba","Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)",35226,3151656,287651828,TRUE,FALSE
"76","African Spotted Creeper",980935.1451,NA,NA,NA,"Salpornis salvadori","Passeriformes","Certhiidae (Treecreepers)",3895,371718,32297074,TRUE,FALSE
"77","African Stonechat",3630815.048,NA,NA,NA,"Saxicola torquatus","Passeriformes","Muscicapidae (Old World Flycatchers)",133224,12086654,1090426240,TRUE,FALSE
"78","African Swift",235541.6863,NA,NA,NA,"Apus barbatus","Caprimulgiformes","Apodidae (Swifts)",30252,2609603,225774178,TRUE,FALSE
"79","African Tailorbird",26437.31732,"X","X","X","Artisornis metopias","Passeriformes","Cisticolidae (Cisticolas and Allies)",501,44989,3857432,TRUE,FALSE
"80","African Thrush",3234057.699,NA,NA,NA,"Turdus pelios","Passeriformes","Turdidae (Thrushes and Allies)",53605,4575578,452875938,TRUE,FALSE
"81","African Wood-Owl",3807715.729,NA,NA,NA,"Strix woodfordii","Strigiformes","Strigidae (Owls)",27371,2397245,240649689,TRUE,FALSE
"82","African Yellow White-eye",3373549.138,NA,NA,NA,"Zosterops senegalensis","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)",71764,6780790,651120319,TRUE,FALSE
"83","African Yellow-Warbler",1444955.093,NA,NA,NA,"Iduna natalensis","Passeriformes","Acrocephalidae (Reed Warblers and Allies)",10248,959777,90258872,TRUE,FALSE
"84","Agile Tit-Tyrant",20602.33586,"X","X","X","Uromyias agilis","Passeriformes","Tyrannidae (Tyrant Flycatchers)",21,2020,185462,TRUE,FALSE
"85","Ahanta Francolin",264090.1445,NA,NA,NA,"Pternistis ahantensis","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)",629,59002,4943859,TRUE,FALSE
"86","Akekee",2.015462369,NA,NA,NA,"Loxops caeruleirostris","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",0,0,9,TRUE,FALSE
"87","Akiapolaau",58.44331334,NA,NA,NA,"Hemignathus wilsoni","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",14,1251,106814,TRUE,FALSE
"88","Akikiki",33.0501874,"380","150","610","Oreomystis bairdi","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",2,173,15805,TRUE,TRUE
"89","Akohekohe",22.33445275,NA,NA,NA,"Palmeria dolei","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",0,26,2339,TRUE,FALSE
"90","Akun Eagle-Owl",991465.8017,NA,NA,NA,"Bubo leucostictus","Strigiformes","Strigidae (Owls)",1388,129720,12371228,TRUE,FALSE
"91","Alagoas Antwren",58.9686339,"25","1","49","Myrmotherula snowi","Passeriformes","Thamnophilidae (Typical Antbirds)",0,5,449,TRUE,FALSE
"92","Alagoas Tyrannulet",7314.357373,"150","50","249","Phylloscartes ceciliae","Passeriformes","Tyrannidae (Tyrant Flycatchers)",11,986,85943,TRUE,TRUE
"93","Albert's Lyrebird",9859.358072,"X","X","X","Menura alberti","Passeriformes","Menuridae (Lyrebirds)",6,556,49715,TRUE,FALSE
"94","Albertine Boubou",39924.378,NA,NA,NA,"Laniarius holomelas","Passeriformes","Malaconotidae (Bushshrikes and Allies)",880,75452,7406682,TRUE,FALSE
"95","Alexander's Swift",1020.393573,"X","X","X","Apus alexandri","Caprimulgiformes","Apodidae (Swifts)",9736,834774,82726258,TRUE,FALSE
"96","Alexandrine Parakeet",1244564.734,NA,NA,NA,"Psittacula eupatria","Psittaciformes","Psittaculidae (Old World Parrots)",83654,6830440,616186988,TRUE,FALSE
"97","Algerian Nuthatch",95.21088015,NA,NA,NA,"Sitta ledanti","Passeriformes","Sittidae (Nuthatches)",1,86,7556,TRUE,FALSE
"98","Allen's Gallinule",6316767.668,NA,NA,NA,"Porphyrio alleni","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",13869,1291318,121670173,TRUE,FALSE
"99","Allpahuayo Antbird",3404.293347,NA,NA,NA,"Percnostola arenarum","Passeriformes","Thamnophilidae (Typical Antbirds)",7,600,56133,TRUE,TRUE
"100","Alpine Accentor",3986408.44,NA,NA,NA,"Prunella collaris","Passeriformes","Prunellidae (Accentors)",23882,2229046,202842348,TRUE,FALSE
"101","Alpine Munia",2067.526961,"X","X","X","Lonchura monticola","Passeriformes","Estrildidae (Waxbills and Allies)",15,1333,125916,TRUE,FALSE
"102","Alpine Pipit",13343.59327,"X","X","X","Anthus gutturalis","Passeriformes","Motacillidae (Wagtails and Pipits)",391,32988,2693817,TRUE,FALSE
"103","Alpine Thrush",137061.5932,NA,NA,NA,"Zoothera mollissima","Passeriformes","Turdidae (Thrushes and Allies)",2136,216286,17613622,TRUE,FALSE
"104","Amami Woodcock",873.9539338,NA,NA,NA,"Scolopax mira","Charadriiformes","Scolopacidae (Sandpipers and Allies)",6,521,44871,TRUE,FALSE
"105","Amani Sunbird",333.6735119,NA,NA,NA,"Hedydipna pallidigaster","Passeriformes","Nectariniidae (Sunbirds and Spiderhunters)",2,140,12266,TRUE,TRUE
"106","Amazilia Hummingbird",65397.99976,NA,NA,NA,"Amazilia amazilia","Caprimulgiformes","Trochilidae (Hummingbirds)",29696,2114308,183129732,TRUE,FALSE
"107","Amazonian Antpitta",549288.4221,NA,NA,NA,"Hylopezus berlepschi","Passeriformes","Grallariidae (Antpittas)",7469,637094,60218908,TRUE,FALSE
"108","Amazonian Antshrike",2391043.141,NA,NA,NA,"Thamnophilus amazonicus","Passeriformes","Thamnophilidae (Typical Antbirds)",26468,2536020,239875945,TRUE,FALSE
"109","Amazonian Barred-Woodcreeper",2571304.793,NA,NA,NA,"Dendrocolaptes certhia","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",16400,1525941,144623452,TRUE,FALSE
"110","Amazonian Black-Tyrant",450593.9693,NA,NA,NA,"Knipolegus poecilocercus","Passeriformes","Tyrannidae (Tyrant Flycatchers)",2411,237713,18659175,TRUE,FALSE
"111","Amazonian Grosbeak",2548223.678,NA,NA,NA,"Cyanoloxia rothschildii","Passeriformes","Cardinalidae (Cardinals and Allies)",15063,1568140,138863101,TRUE,FALSE
"112","Amazonian Motmot",3125875.773,NA,NA,NA,"Momotus momota","Coraciiformes","Momotidae (Motmots)",24375,2354481,229669090,TRUE,FALSE
"113","Amazonian Pygmy-Owl",1811544.18,NA,NA,NA,"Glaucidium hardyi","Strigiformes","Strigidae (Owls)",13001,1175521,101069295,TRUE,FALSE
"114","Amazonian Scrub-Flycatcher",2074524.256,NA,NA,NA,"Sublegatus obscurior","Passeriformes","Tyrannidae (Tyrant Flycatchers)",8979,762463,64875636,TRUE,FALSE
"115","Amazonian Streaked-Antwren",1793109.646,NA,NA,NA,"Myrmotherula multostriata","Passeriformes","Thamnophilidae (Typical Antbirds)",16762,1725304,146531050,TRUE,FALSE
"116","Amazonian Tyrannulet",375408.9948,NA,NA,NA,"Inezia subflava","Passeriformes","Tyrannidae (Tyrant Flycatchers)",8793,764445,69437179,TRUE,FALSE
"117","Amazonian Umbrellabird",2125926.898,NA,NA,NA,"Cephalopterus ornatus","Passeriformes","Cotingidae (Cotingas)",8335,761899,66649666,TRUE,FALSE
"118","Ambon White-eye",306.8337589,"X","X","X","Zosterops kuehni","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)",4,377,33144,TRUE,FALSE
"119","Amboyna Cuckoo-Dove",409243.7458,NA,NA,NA,"Macropygia amboinensis","Columbiformes","Columbidae (Pigeons and Doves)",11414,1069412,96678380,TRUE,FALSE
"120","American Avocet",104562.169,NA,NA,NA,"Recurvirostra americana","Charadriiformes","Recurvirostridae (Stilts and Avocets)",199724,16929127,1404974814,FALSE,FALSE
"121","American Bittern",100535.5349,NA,NA,NA,"Botaurus lentiginosus","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)",13272,1090945,84375685,TRUE,FALSE
"122","American Black Duck",289753.0241,NA,NA,NA,"Anas rubripes","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",201029,18953154,1619863704,TRUE,FALSE
"123","American Coot",1969481.108,NA,NA,NA,"Fulica americana","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",867548,58912804,4486532575,TRUE,FALSE
"124","American Crow",2515545.906,NA,NA,NA,"Corvus brachyrhynchos","Passeriformes","Corvidae (Crows, Jays, and Magpies)",20727486,91840173,413722694,TRUE,TRUE
"125","American Dipper",1896040.169,NA,NA,NA,"Cinclus mexicanus","Passeriformes","Cinclidae (Dippers)",9597,307011,9730892,TRUE,TRUE
"126","American Flamingo",93179.27998,NA,NA,NA,"Phoenicopterus ruber","Phoenicopteriformes","Phoenicopteridae (Flamingos)",328261,32497706,2707291407,TRUE,FALSE
"127","American Goldfinch",1968380.504,NA,NA,NA,"Spinus tristis","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",28374369,76926921,213010032,TRUE,TRUE
"128","American Kestrel",7632457.604,NA,NA,NA,"Falco sparverius","Falconiformes","Falconidae (Falcons and Caracaras)",1537817,18475897,234133154,TRUE,TRUE
"129","American Oystercatcher",562847.0696,NA,NA,NA,"Haematopus palliatus","Charadriiformes","Haematopodidae (Oystercatchers)",197503,16247615,1571100135,TRUE,FALSE
"130","American Robin",3013241.363,NA,NA,NA,"Turdus migratorius","Passeriformes","Turdidae (Thrushes and Allies)",141360196,561290332,2187840521,TRUE,TRUE
"131","American White Pelican",10263.47656,NA,NA,NA,"Pelecanus erythrorhynchos","Pelecaniformes","Pelecanidae (Pelicans)",237189,19858493,1536520100,TRUE,FALSE
"132","American Wigeon",448807.518,NA,NA,NA,"Mareca americana","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",479935,33830766,2517019797,TRUE,FALSE
"133","American Woodcock",465725.8605,NA,NA,NA,"Scolopax minor","Charadriiformes","Scolopacidae (Sandpipers and Allies)",8343,698716,66084065,FALSE,FALSE
"134","Amethyst Brown-Dove",87946.67864,NA,NA,NA,"Phapitreron amethystinus","Columbiformes","Columbidae (Pigeons and Doves)",2700,233374,23009516,TRUE,FALSE
"135","Amethyst Sunbird",1386317.342,NA,NA,NA,"Chalcomitra amethystina","Passeriformes","Nectariniidae (Sunbirds and Spiderhunters)",28972,2554047,281415317,TRUE,FALSE
"136","Amethyst Woodstar",3084219.432,NA,NA,NA,"Calliphlox amethystina","Caprimulgiformes","Trochilidae (Hummingbirds)",19760,1791663,157108865,TRUE,FALSE
"137","Amethyst-throated Hummingbird",75134.1972,NA,NA,NA,"Lampornis amethystinus","Caprimulgiformes","Trochilidae (Hummingbirds)",4574,474973,39836610,FALSE,FALSE
"138","Amethyst-throated Sunangel",56226.96364,NA,NA,NA,"Heliangelus amethysticollis","Caprimulgiformes","Trochilidae (Hummingbirds)",6046,614088,55419123,FALSE,FALSE
"139","Amur Paradise-Flycatcher",188806.0608,NA,NA,NA,"Terpsiphone incei","Passeriformes","Monarchidae (Monarch Flycatchers)",12258,1119095,94395528,TRUE,FALSE
"140","Anambra Waxbill",16964.65882,NA,NA,NA,"Estrilda poliopareia","Passeriformes","Estrildidae (Waxbills and Allies)",482,45669,3990031,TRUE,FALSE
"141","Ancash Tapaculo",5935.412579,"X","X","X","Scytalopus affinis","Passeriformes","Rhinocryptidae (Tapaculos)",26,2236,215815,TRUE,FALSE
"142","Anchieta's Sunbird",179662.1882,NA,NA,NA,"Anthreptes anchietae","Passeriformes","Nectariniidae (Sunbirds and Spiderhunters)",504,48871,4272776,TRUE,FALSE
"143","Ancient Murrelet",54355.18226,NA,NA,NA,"Synthliboramphus antiquus","Charadriiformes","Alcidae (Auks, Murres, and Puffins)",59294,5226089,459211854,FALSE,FALSE
"144","Andaman Boobook",2183.48712,"6250","2500","9999","Ninox affinis","Strigiformes","Strigidae (Owls)",7,703,67938,TRUE,FALSE
"145","Andaman Bulbul",1234.080607,NA,NA,NA,"Brachypodius fuscoflavescens","Passeriformes","Pycnonotidae (Bulbuls)",153,4297,113833,TRUE,TRUE
"146","Andaman Coucal",2614.606241,"X","X","X","Centropus andamanensis","Cuculiformes","Cuculidae (Cuckoos)",53,4822,421778,TRUE,FALSE
"147","Andaman Crake",2023.329779,"11850","6700","17000","Rallina canningi","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",12,980,93444,TRUE,FALSE
"148","Andaman Cuckoo-Dove",2933.490308,NA,NA,NA,"Macropygia rufipennis","Columbiformes","Columbidae (Pigeons and Doves)",16,1397,119503,TRUE,FALSE
"149","Andaman Cuckooshrike",2008.854216,NA,NA,NA,"Coracina dobsoni","Passeriformes","Campephagidae (Cuckooshrikes)",29,2898,260481,TRUE,TRUE
"150","Andaman Drongo",2211.124421,NA,NA,NA,"Dicrurus andamanensis","Passeriformes","Dicruridae (Drongos)",58,5071,471675,TRUE,FALSE
"151","Andaman Green-Pigeon",2362.101659,"6250","2500","9999","Treron chloropterus","Columbiformes","Columbidae (Pigeons and Doves)",71,6327,625589,TRUE,FALSE
"152","Andaman Nightjar",2600.707566,NA,NA,NA,"Caprimulgus andamanicus","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)",12,1059,106660,TRUE,FALSE
"153","Andaman Serpent-Eagle",1923.106699,"2500","1000","4000","Spilornis elgini","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",24,2245,218836,TRUE,TRUE
"154","Andaman Teal",1870.129632,"625","250","999","Anas albogularis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",773,1784,4108,TRUE,TRUE
"155","Andaman Treepie",2203.210991,NA,NA,NA,"Dendrocitta bayleii","Passeriformes","Corvidae (Crows, Jays, and Magpies)",77,1397,23676,TRUE,TRUE
"156","Andaman Wood-Pigeon",2941.403738,NA,NA,NA,"Columba palumboides","Columbiformes","Columbidae (Pigeons and Doves)",66,5950,524528,TRUE,TRUE
"157","Andaman Woodpecker",2203.210991,NA,NA,NA,"Dryocopus hodgei","Piciformes","Picidae (Woodpeckers)",19,1440,100161,TRUE,TRUE
"158","Andean Avocet",273584.0077,NA,NA,NA,"Recurvirostra andina","Charadriiformes","Recurvirostridae (Stilts and Avocets)",11009,970341,81965868,FALSE,FALSE
"159","Andean Cock-of-the-rock",99425.11803,NA,NA,NA,"Rupicola peruvianus","Passeriformes","Cotingidae (Cotingas)",4786,476617,38860470,FALSE,FALSE
"160","Andean Condor",982116.1482,NA,NA,NA,"Vultur gryphus","Cathartiformes","Cathartidae (New World Vultures)",14906,1531500,135475633,TRUE,FALSE
"161","Andean Duck",806913.6493,NA,NA,NA,"Oxyura ferruginea","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",74442,6842503,615228481,TRUE,FALSE
"162","Andean Emerald",95466.35317,NA,NA,NA,"Amazilia franciae","Caprimulgiformes","Trochilidae (Hummingbirds)",13351,1103583,97344546,FALSE,FALSE
"163","Andean Flamingo",60208.61675,NA,NA,NA,"Phoenicoparrus andinus","Phoenicopteriformes","Phoenicopteridae (Flamingos)",57054,4600646,373971866,FALSE,FALSE
"164","Andean Flicker",303249.3553,NA,NA,NA,"Colaptes rupicola","Piciformes","Picidae (Woodpeckers)",7860,731795,68962692,FALSE,FALSE
