"","Common.name","area_square_miles","Estimate","Lower","Upper","Scientific.name","Order","Family","X95..Lower.CI","Abundance.estimate","X95..Upper.CI","Range.adjusted","Training.species"
"1100","Blyth's Tragopan",18632.96224,"6250","2500","9999","Tragopan blythii","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)",83,7880,666272,FALSE,FALSE
"1101","Boa Nova Tapaculo",1683.455773,"X","X","X","Scytalopus gonzagai","Passeriformes","Rhinocryptidae (Tapaculos)",3,312,27639,TRUE,FALSE
"1102","Boat-billed Flycatcher",5113165.831,NA,NA,NA,"Megarynchus pitangua","Passeriformes","Tyrannidae (Tyrant Flycatchers)",92319,8266598,715621879,TRUE,FALSE
"1103","Boat-billed Heron",4516748.03,NA,NA,NA,"Cochlearius cochlearius","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)",22852,2185653,178144635,TRUE,FALSE
"1104","Boat-billed Tody-Tyrant",257167.3457,NA,NA,NA,"Hemitriccus josephinae","Passeriformes","Tyrannidae (Tyrant Flycatchers)",224,19083,1770214,FALSE,FALSE
"1105","Bob-tailed Weaver",97437.76531,NA,NA,NA,"Brachycope anomala","Passeriformes","Ploceidae (Weavers and Allies)",720,65767,5239888,FALSE,FALSE
"1106","Bocage's Akalat",227564.5094,NA,NA,NA,"Sheppardia bocagei","Passeriformes","Muscicapidae (Old World Flycatchers)",2224,170393,14269270,TRUE,FALSE
"1107","Bogota Rail",281.270479,"1750","1000","2499","Rallus semiplumbeus","Gruiformes","Rallidae (Rails, Gallinules, and Coots)",67,5482,541161,TRUE,TRUE
"1108","Bokmakierie",507533.758,NA,NA,NA,"Telophorus zeylonus","Passeriformes","Malaconotidae (Bushshrikes and Allies)",8363,686217,63849715,TRUE,FALSE
"1109","Bold-striped Tit-Babbler",275679.0765,NA,NA,NA,"Mixornis bornensis","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",6019,546681,49184919,TRUE,FALSE
"1110","Bolivian Blackbird",29885.0068,"X","X","X","Oreopsar bolivianus","Passeriformes","Icteridae (Troupials and Allies)",1256,122699,11257087,FALSE,FALSE
"1111","Bolivian Earthcreeper",27199.78101,"X","X","X","Tarphonomus harterti","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",1644,146687,13697100,FALSE,FALSE
"1112","Bolivian Recurvebill",31428.94277,"X","X","X","Syndactyla striata","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",202,16923,1560676,FALSE,FALSE
"1113","Bolivian Slaty-Antshrike",163714.7124,NA,NA,NA,"Thamnophilus sticturus","Passeriformes","Thamnophilidae (Typical Antbirds)",2603,250892,23684087,TRUE,FALSE
"1114","Bolivian Tapaculo",24816.31074,"X","X","X","Scytalopus bolivianus","Passeriformes","Rhinocryptidae (Tapaculos)",44,3744,379015,TRUE,FALSE
"1115","Bolivian Tyrannulet",43232.16616,"X","X","X","Zimmerius bolivianus","Passeriformes","Tyrannidae (Tyrant Flycatchers)",860,83461,7642012,FALSE,FALSE
"1116","Bolivian Warbling-Finch",25158.79151,"X","X","X","Poospiza boliviana","Passeriformes","Thraupidae (Tanagers and Allies)",55,4765,410354,TRUE,FALSE
"1117","Bolle's Pigeon",977.2514812,"8150","3300","13000","Columba bollii","Columbiformes","Columbidae (Pigeons and Doves)",5,488,42629,TRUE,FALSE
"1118","Bonaparte's Nightjar",376904.6449,NA,NA,NA,"Caprimulgus concretus","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)",589,51530,4589296,TRUE,FALSE
"1119","Bonaparte's Parakeet",18213.93144,"X","X","X","Pyrrhura lucianii","Psittaciformes","Psittacidae (New World and African Parrots)",109,10153,908832,TRUE,FALSE
"1120","Bonelli's Eagle",2201345.2,NA,NA,NA,"Aquila fasciata","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",8811,839263,79813069,TRUE,FALSE
"1121","Bonin Petrel",7253940.764,NA,NA,NA,"Pterodroma hypoleuca","Procellariiformes","Procellariidae (Shearwaters and Petrels)",46767,3336697,244829667,FALSE,FALSE
"1122","Booted Eagle",205375.856,NA,NA,NA,"Hieraaetus pennatus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",50738,4596210,387055508,TRUE,FALSE
"1123","Booted Racket-tail",148880.0824,NA,NA,NA,"Ocreatus underwoodii","Caprimulgiformes","Trochilidae (Hummingbirds)",18374,1617550,169133304,FALSE,FALSE
"1124","Boran Cisticola",168951.6727,NA,NA,NA,"Cisticola bodessa","Passeriformes","Cisticolidae (Cisticolas and Allies)",547,52075,4501816,TRUE,FALSE
"1125","Boreal Chickadee",2742273.196,NA,NA,NA,"Poecile hudsonicus","Passeriformes","Paridae (Tits, Chickadees, and Titmice)",1803829,46066459,1152719142,TRUE,TRUE
"1126","Boreal Owl",9110453.602,NA,NA,NA,"Aegolius funereus","Strigiformes","Strigidae (Owls)",15356,1253650,113054838,TRUE,FALSE
"1127","Bornean Banded-Pitta",282869.3643,NA,NA,NA,"Hydrornis schwaneri","Passeriformes","Pittidae (Pittas)",1872,161706,14781027,TRUE,FALSE
"1128","Bornean Barbet",58150.16043,NA,NA,NA,"Psilopogon eximius","Piciformes","Megalaimidae (Asian Barbets)",1155,107785,10286411,TRUE,FALSE
"1129","Bornean Blue Flycatcher",264933.4422,NA,NA,NA,"Cyornis superbus","Passeriformes","Muscicapidae (Old World Flycatchers)",1387,123324,11130934,TRUE,FALSE
"1130","Bornean Bristlehead",284725.0291,NA,NA,NA,"Pityriasis gymnocephala","Passeriformes","Pityriasidae (Bristlehead)",2029,195882,17865040,TRUE,FALSE
"1131","Bornean Ground-Cuckoo",180268.5882,NA,NA,NA,"Carpococcyx radiceus","Cuculiformes","Cuculidae (Cuckoos)",538,48456,4723811,TRUE,FALSE
"1132","Bornean Leafbird",22067.92492,NA,NA,NA,"Chloropsis kinabaluensis","Passeriformes","Chloropseidae (Leafbirds)",2689,249995,20605027,TRUE,FALSE
