LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,AviList,Source,Specimen.number,n_specimens,Code
"""West Africa""",Gabon,,,-0.593924,11.801804,yes,,,,,Ixonotus guttatus,University of Cambridge Museum of Zoology,UMZC 27/Pyc/7/a/1,1,5
"10 1/2 km N, 1 km E Ziggida",Liberia,,,8.140209,-9.499732,yes,,,,,Bleda eximius,"Louisiana State University, Museum of Natural Science","153033, 153034, 153035",3,2
26 km SW Goaso,Ghana,,,6.637383,-2.684518,no,High(80),unavailable,"6.637383,-2.684518,Distance SouthWest of GOASO|Unavailable|Unavailable|High(80)",,Bleda canicapillus,"Louisiana State University, Museum of Natural Science","174619, 174620, 174621, 174622, 174623, 174624, 174625, 174626, 174627, 174628",10,2
Abrobonko; Fante,Ghana,,,5.1,-1.316667,no,,,,,Pycnonotus barbatus,University of Cambridge Museum of Zoology,UMZC 27/Pyc/11/d/13,1,2
"Aceh Province, Aceh Tenggara Regency, Meloewak; ca. 35 miles SE Blangkedjeren and 60 miles WNW Medan",Indonesia,,,3.636841,97.699458,no,High(88),unavailable,"3.636841,97.699458,Distance SouthEast of BLANGKEDJEREN|Unavailable|Unavailable|High(88),3.917134,97.858339,Distance WNW of MEDAN|Unavailable|Unavailable|High(80)",,"Pycnonotus tympanistrigus, Iole crypta, Ixos malaccensis, Rubigula squamata",ANSP,"139812, 139755, 139754, 139814",4,2
"Aceh Province, Central Aceh Regency, Tretet",Indonesia,,,4.6667,96.85,yes,Low(36),Unavailable,"4.686,96.8518,TRETET|Unavailable|Unavailable|Low(36),4.6667,96.85,TRETET|Unavailable|Unavailable|Low(36),4,97,ACEH|Unavailable|Unavailable|Low(34)",,Pycnonotus snouckaerti,ANSP,"108714, 108715",2,2
"Aceh Province, Gayo Lues Regency, Bivouac 1, on route to Mt. Leuser; ca. 5 miles SE BlangNAnga",Indonesia,,,3.90451,97.387188,yes,Low(34),,"-8.0219,112.3807,LUES|Unavailable|Unavailable|Low(34),4,97,ACEH|Unavailable|Unavailable|Low(34)",,Ixos sumatranus,ANSP,"139747, 139748, 139749, 139750, 139751, 139752",6,3
"Aceh Province, Gayo Lues Regency, BlangNAnga; ca. 20 miles E Blangkejeren",Indonesia,,,3.997048,97.630181,yes,High(87),Unavailable,"3.575154,97.271142,Distance East of BLANGKEJEREN|Unavailable|Unavailable|High(87),3.997048,97.630181,Distance East of BLANGKEJEREN|Unavailable|Unavailable|High(87),3.983249,97.625076,Distance East of BLANGKEJEREN|Unavailable|Unavailable|High(87)",,Ixos sumatranus,ANSP,139746,1,2
"Aceh Province, Gayo Lues Regency, Bur Blang Beke",Indonesia,,,3.8145,97.2752,yes,Low(44),Unavailable,"3.8145,97.2752,BUR BLANG BEKE|Unavailable|Unavailable|Low(44),4.6387,95.5855,BLANG|Unavailable|Unavailable|Low(35),5.5853,95.3833,BLANG|Unavailable|Unavailable|Low(35),5.1013,97.5384,BLANG|Unavailable|Unavailable|Low(35),5.1712,96.3463,BLANG|Unavailable|Unavailable|Low(35),4,97,ACEH|Unavailable|Unavailable|Low(34),-8.0219,112.3807,LUES|Unavailable|Unavailable|Low(34),-2.216667,134.133333,BUR|Unavailable|Unavailable|Low(33)",,Pycnonotus snouckaerti,ANSP,139784,1,2
"Aceh Province, Gayo Lues Regency, Koengke; ca. 20 miles SE Blangkejeren",Indonesia,,,3.791256,97.54472,yes,High(87),Unavailable,"3.369357,97.185721,Distance SouthEast of BLANGKEJEREN|Unavailable|Unavailable|High(87),3.791256,97.54472,Distance SouthEast of BLANGKEJEREN|Unavailable|Unavailable|High(87),3.777456,97.539616,Distance SouthEast of BLANGKEJEREN|Unavailable|Unavailable|High(87)",,"Pycnonotus snouckaerti, Pycnonotus tympanistrigus",ANSP,"139785, 139813",2,2
"Aceh Province, Southeast Aceh Regency, Kutacane",Indonesia,,,3.5052,97.8175,no,Low(38),unavailable,"3.5052,97.8175,KUTACANE|Unavailable|Unavailable|Low(38),3.522112,97.796253,KUTACANE|Unavailable|Unavailable|Low(38),3.3667,97.8833,KUTACANE|Unavailable|Unavailable|Low(38),4,97,ACEH|Unavailable|Unavailable|Low(34)",,Ixos malaccensis,ANSP,139753,1,2
Ahokwa,Ghana,,,6.249351,-1.498987,yes,,,,,Eurillas virens,Field1,"1_NA_4808, 1_NA_4809, 1_NA_4810, 1_NA_4811, 1_NA_4812, 1_NA_4813, 1_NA_4814, 1_NA_4815, 1_NA_4816, 1_NA_4817, 1_NA_4818, 1_NA_4819, 1_NA_4820, 1_NA_4821, 1_NA_4822, 1_NA_4824, 1_NA_4825, 1_NA_4826, 1_NA_4827, 1_NA_4828, 1_NA_4832, 1_NA_4833, 1_NA_4834, 1_NA_4835, 1_NA_4786, 1_NA_4787, 1_NA_4788, 1_NA_4790, 1_NA_4791",29,2
Ahokwa,Ghana,,,6.249351,-1.498987,no,,,,,"Bleda canicapillus, Eurillas curvirostris, Phyllastrephus albigularis",Field1,"1_NA_1120, 1_NA_1121, 1_NA_1123, 1_NA_1124, 1_NA_1113, 1_NA_1114, 1_NA_1125, 1_NA_1126, 1_NA_1127, 1_NA_4198, 1_NA_4195, 1_NA_4196, 1_NA_8078, 1_NA_8079, 1_NA_8080, 1_NA_8081, 1_NA_8075, 1_NA_8076, 1_NA_8077",19,2
Ahokwa,Ghana,,,6.249351,-1.498987,no,,,,,Pycnonotus barbatus,Field1,1_NA_8584,1,2
