"","Species2_eBird","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Tail.Length"
"1","Alophoixus affinis",1.09583333333333,1.8825,0.149166666666667,0.0158333333333333,0.22,5.39583333333333,0.646666666666666,77.6666666666667
"2","Alophoixus finschii",0.162499999999999,0.0758333333333332,0.00916666666666668,0.0225,0.720000000000001,3.58333333333333,3.64916666666667,6.91666666666667
"3","Alophoixus flaveolus",0.46952380952381,0.652380952380953,0.559047619047619,0.259047619047619,2.3147619047619,16.0595238095238,0.816190476190477,29.6547619047619
"4","Alophoixus longirostris",1.94916666666667,2.0425,0.0691666666666667,0.109166666666667,2.24666666666667,14.9166666666667,1.49583333333334,55.7291666666667
"5","Alophoixus mystacalis",0.0800000000000004,0.33,0.0366666666666666,0.1825,0.2025,16.6666666666667,2.58916666666667,36.6666666666667
"6","Alophoixus ochraceus",0.286666666666667,0.149166666666666,0.0666666666666668,0.18,0.875833333333333,27.5625,8.44916666666666,4.66666666666667
"7","Alophoixus pallidus",0.395833333333334,0.43,0.0758333333333334,0.0825000000000001,0.0891666666666665,26.5625,3.00916666666667,24.9166666666667
"8","Alophoixus phaeocephalus",1.85666666666666,1.24333333333333,0.0666666666666666,0.0625000000000001,1.90916666666667,7,0.0691666666666666,21.3333333333333
"9","Alophoixus tephrogenys",2.25666666666667,0.549166666666667,0.0599999999999999,0.27,1.39,7.58333333333333,3.4425,15.5833333333333
"10","Andropadus importunus",1.72916666666666,0.406666666666666,0.0891666666666666,0.18,1.08916666666667,17.6666666666667,3.76333333333333,19.6666666666667
"11","Arizelocichla chlorigula",1.47666666666667,0.129166666666667,0.0166666666666667,0.109166666666667,0.215833333333333,10.9166666666667,5.33666666666667,6
"12","Arizelocichla fusciceps",1.30666666666666,0.286666666666667,0.0291666666666667,0.0566666666666666,0.495833333333334,22.9166666666667,2.1225,14.3333333333333
"13","Arizelocichla masukuensis",3.56544444444444,0.0605555555555556,0.201777777777778,0.160444444444444,2.07555555555555,11.4027777777778,3.31655555555556,20.1805555555556
"14","Arizelocichla milanjensis",0.720227272727272,0.177272727272727,0.125454545454545,0.134242424242424,1.04818181818182,15.2424242424242,2.7844696969697,30.5454545454545
"15","Arizelocichla montana",0.196666666666667,0.0491666666666667,0.0599999999999999,0.01,0.982500000000002,38.25,2.38916666666667,38
"16","Arizelocichla neumanni",0.463333333333334,0.329166666666667,0.02,0.0466666666666666,0.0433333333333333,2.91666666666667,2.34,1.58333333333333
"17","Arizelocichla nigriceps",0.714285714285715,0.433571428571429,0.0341071428571429,0.112678571428571,5.42125,16.8392857142857,1.14,14.4107142857143
"18","Arizelocichla tephrolaema",0.0758333333333337,0.0691666666666666,0.0733333333333333,0.116666666666667,0.553333333333332,9.66666666666667,3.47583333333333,1.58333333333333
"19","Atimastillas flavicollis",0.686666666666666,0.686666666666666,0.1025,0.116666666666667,0.896666666666666,8.91666666666667,4.06333333333333,49.3333333333333
"20","Baeopogon clamans",0.516666666666667,0.353333333333334,0.0225,0.0666666666666668,2,6.25,0.6825,14.25
"21","Baeopogon indicator",0.996666666666666,0.54,0.0358333333333334,0.0158333333333333,0.3425,8.66666666666667,1.68916666666667,23
"22","Bleda canicapillus",1.98666666666667,0.749999999999999,0.0299999999999999,0.0866666666666667,1.7025,20.1666666666667,2.14,2.39583333333333
"23","Bleda eximius",10.6091666666667,5.62916666666667,0.0625000000000001,0.329166666666667,0.809999999999999,34.4166666666667,2.14916666666667,43
"24","Bleda notatus",1.225,1.1175,0.16,0.0927777777777778,0.53861111111111,9.75,2.0475,52.6111111111111
"25","Bleda syndactylus",7.34916666666666,5.71666666666667,0.2025,0.2025,0.209166666666667,30.3333333333333,4.38666666666666,31.5833333333333
"26","Brachypodius eutilotus",0.48,0.028,0.057,0.68,4.33,23.5,20.272,13.5
"27","Brachypodius fuscoflavescens",0.749166666666668,0.562500000000001,0.0466666666666667,0.02,0.229166666666667,5.66666666666667,0.389166666666667,6.91666666666667
"28","Brachypodius melanocephalos",0.349166666666666,0.0866666666666669,0.0866666666666667,0.00250000000000003,0.109166666666667,0.916666666666667,0.326666666666666,4.91666666666667
"29","Brachypodius melanoleucos",0.67,0.196666666666667,0.309166666666667,0.0466666666666667,1.17666666666667,2.66666666666667,4.07,14.9166666666667
"30","Brachypodius priocephalus",0.609166666666667,0.435833333333333,0.0366666666666667,0.0158333333333333,0.0433333333333333,0.666666666666667,1.18666666666667,8.91666666666667
"31","Brachypodius urostictus",0.682499999999999,6.4825,0.603333333333333,0.216666666666667,0.826666666666667,27.6666666666667,0.27,29.6666666666667
"32","Calyptocichla serinus",0.446666666666668,0.1625,0.0691666666666666,0.03,2.44666666666667,2.91666666666667,0.989166666666667,1.58333333333333
"33","Chlorocichla falkensteini",0.38,0.346666666666667,0.0491666666666667,0.0666666666666666,0.286666666666667,2,2.15333333333333,40.3333333333333
