avonet_specimen_id,avdb_source_id,avdb_avibase_id,avdb_species_1_birdlife,avdb_species_2_ebird,avdb_species_3_birdtree,gdb_subspecies,avdb_source_type,avdb_source_code,avdb_specimen_identifier_unique,avdb_specimen_identifier_orig,avdb_country_wri,gdb_locality_edited,gdb_locality_original,avdb_sex,avdb_life_stage,avdb_wing_length,avdb_kipps_distance,avdb_secondary_1,avdb_beak_length_culmen,avdb_beak_length_nares,avdb_beak_width,avdb_gape_width,gdb_gape_size,avdb_beak_depth_nares,avdb_beak_depth_max,avdb_tail_length,avdb_tail_graduation,avdb_tarsus_length,avdb_back_toe,avdb_measurer_tag,avdb_measurer_comment,avdb_lit_abbrev
Arizelocichla masukuensis_18,76780,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_789,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,79,16,63,16.3,8,4,NULL,10.5,3.7,NULL,80,NULL,21.1,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_19,76781,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_790,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,80,16,64,16.2,7.3,3.9,NULL,10.4,3.8,NULL,78,NULL,20,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_20,76782,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_791,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,76,12,64,15.7,7.5,3.8,NULL,11.1,3.5,NULL,73,NULL,21.7,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_21,76783,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_792,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,78,15,63,16.2,8.1,3.6,NULL,10.5,3.8,NULL,78,NULL,22,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_22,76784,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_793,1_NA,United Republic of Tanzania,NULL,West Usambara Mountains,unknown,Adult,79,15,64,16.6,7.5,4,NULL,10.2,3.7,NULL,79,NULL,21.2,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_23,76785,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_794,1_NA,United Republic of Tanzania,NULL,West Usambara Mountains,unknown,Adult,77,13,64,14.5,6.8,3.5,NULL,9.5,3.5,NULL,76,NULL,18.5,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_24,76786,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_795,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,75,15,60,15.2,7,3.6,NULL,11,3.5,NULL,74,NULL,20.9,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_25,76787,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_796,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,76,16,60,15.8,7.6,3.8,NULL,10,3.6,NULL,75,NULL,20.4,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_26,76788,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_797,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,79,11,68,15.8,8.2,4,NULL,9.8,3.5,NULL,82,NULL,18.5,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_27,76789,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_798,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,79,15,64,15.7,8,4.3,NULL,10.8,4,NULL,80,NULL,22.5,NULL,MNC,NULL,NULL
