COMMON_NAME,area_square_miles
Javan Sunbird,48390.39861
Green-tailed Sunbird,390353.4305
Gray-hooded Sunbird,4649.035512
Metallic-winged Sunbird,81439.44778
Black-throated Sunbird,648551.6697
Lovely Sunbird,5078.149576
Crimson Sunbird,1896352.971
Temminck's Sunbird,229061.449
Vigors's Sunbird,68682.05336
Gray-headed Lovebird,159402.3316
Fischer's Lovebird,51694.50704
Lilian's Lovebird,81587.71558
Black-cheeked Lovebird,5538.069871
Yellow-collared Lovebird,78596.13792
Red-headed Lovebird,1023467.468
Rosy-faced Lovebird,175914.69
Black-collared Lovebird,577169.9315
Black-winged Lovebird,157425.7158
Grayish Baywing,1442038.683
Pale Baywing,392861.2389
Red-shouldered Blackbird,1574.197962
Tawny-shouldered Blackbird,42700.96038
Red-winged Blackbird,3214532.872
Tricolored Blackbird,41841.72916
Yellow-shouldered Blackbird,100.963631
White-breasted Guineafowl,26545.7026
Black Guineafowl,295093.5842
Unicolored Blackbird,1108632.01
Yellow-winged Blackbird,859495.6707
Pale-eyed Blackbird,3741.518988
Shining Sunbeam,86815.82585
Black-hooded Sunbeam,6393.208511
Venezuelan Sylph,1603.768962
Violet-tailed Sylph,10834.01063
Long-tailed Sylph,103377.9665
Blanford's Rosefinch,379274.5371
Chat Flycatcher,558604.9093
Pale Flycatcher,3517633.751
Great Shrike-Tyrant,228923.4797
Gray-bellied Shrike-Tyrant,405356.2644
Black-billed Shrike-Tyrant,777317.0558
Lesser Shrike-Tyrant,62353.68078
White-eared Catbird,144654.3728
Green Catbird,80631.65336
Black-eared Catbird,64608.22035
Oaxaca Sparrow,11570.73714
Rufous-crowned Sparrow,457446.7064
Mandarin Duck,156301.8852
Wood Duck,1551093.622
Goeldi's Antbird,132114.1329
White-shouldered Antbird,510154.8297
Greater Hoopoe-Lark,4043179.177
Lesser Hoopoe-Lark,61941.27044
Eurasian Skylark,1646484.522
Oriental Skylark,3208219.976
White-winged Lark,199843.8627
Razo Skylark,0.740168011
Sand Lark,486499.7695
Lesser Short-toed Lark,2744244.622
Somali Short-toed Lark,78422.96517
Small Blue Kingfisher,84388.51303
Blue-banded Kingfisher,48403.72287
Blyth's Kingfisher,269567.1743
Blue-eared Kingfisher,1411271.366
Shining-blue Kingfisher,1804759.952
Half-collared Kingfisher,1337349.883
Brown Fulvetta,295257.4123
Black-browed Fulvetta,89206.80076
Morrison's Fulvetta,1198405.433
Nepal Fulvetta,135466.8696
Mountain Fulvetta,57191.16096
Brown-cheeked Fulvetta,781455.78
Javan Fulvetta,9594.28248
Rufous-naped Bellbird,58179.4117
Barbary Partridge,525177.2181
Chukar,3993568.757
Rock Partridge,207914.2687
Arabian Partridge,135819.9829
Red-legged Partridge,368220.9226
Madagascar Blue-Pigeon,120353.175
Seychelles Blue-Pigeon,94.02963827
Comoro Blue-Pigeon,855.9850404
Strange-tailed Tyrant,38134.49063
Cock-tailed Tyrant,404525.783
Australian Brushturkey,248197.1025
Fire-crested Alethe,173087.525
Yellow-faced Parrot,730816.685
Moluccan King-Parrot,57521.1327
Papuan King-Parrot,125055.9499
Australian King-Parrot,313303.4524
Dovekie,26760.71573
Scaly-breasted Thrasher,2045.440481
Bronze Ground-Dove,64574.11378
Palau Ground-Dove,175.470772
Polynesian Ground-Dove,18.47457799
Wetar Ground-Dove,10792.00973
Caroline Islands Ground-Dove,164.8093407
Marquesas Ground-Dove,3.790270372
Shy Ground-Dove,8189.068874
White-throated Ground-Dove,436.362731
Gray-cheeked Bulbul,33648.2312
Finsch's Bulbul,301084.464
White-throated Bulbul,216131.0688
Gray-throated Bulbul,5262.093173
Ochraceous Bulbul,157173.7686
Puff-throated Bulbul,535971.1308
Yellow-bellied Bulbul,528509.7087
Tawny-headed Swallow,1575778.477
Egyptian Goose,6738458.419
Cut-throat,1292452.449
Lesser Ground-Robin,62203.60039
Greater Ground-Robin,5899.994398
Red Avadavat,1381743.566
Uniform Crake,657496.1493
White-browed Crake,1403863.017
Isabelline Bush-hen,21465.29428
Talaud Bush-hen,325.2621711
Striped Crake,134426.4194
Rufous-tailed Bush-hen,488844.7962
Plain Bush-hen,104701.3176
White-breasted Waterhen,3146076.21
Blue-chested Hummingbird,115294.2532
Amazilia Hummingbird,65397.99976
Berylline Hummingbird,234418.1881
Mangrove Hummingbird,502.6090353
White-chested Emerald,225592.8178
Chestnut-bellied Hummingbird,2626.765756
White-bellied Hummingbird,188726.4573
Indigo-capped Hummingbird,21168.17236
Blue-tailed Hummingbird,29092.83524
Charming Hummingbird,5074.994444
Snowy-bellied Hummingbird,16450.27865
Glittering-throated Emerald,4146764.051
Andean Emerald,95466.35317
Sapphire-spangled Emerald,638104.6877
Plain-bellied Emerald,124501.9118
Honduran Emerald,154.1574329
Purple-chested Hummingbird,25972.65608
Copper-rumped Hummingbird,167865.4357
Versicolored Emerald,1974369.909
Violet-crowned Hummingbird,160456.8073
Green-and-white Hummingbird,11149.85573
Green-fronted Hummingbird,29370.9742
Green-bellied Hummingbird,16577.44463
Turquoise-fronted Parrot,1628572.971
Black-billed Parrot,1001.679505
White-fronted Parrot,210202.7654
Orange-winged Parrot,2848388.952
Red-necked Parrot,28.51624501
Yellow-naped Parrot,49786.45699
Red-lored Parrot,348264.179
Yellow-shouldered Parrot,1516.511896
Red-tailed Parrot,1832.827469
Yellow-billed Parrot,2096.144017
Blue-cheeked Parrot,142848.07
Mealy Parrot,2623011.415
Festive Parrot,266062.9189
Lilac-crowned Parrot,42906.75419
St. Vincent Parrot,16.64061183
Imperial Parrot,23.65951863
Kawall's Parrot,313679.3007
Cuban Parrot,12059.12215
Scaly-naped Parrot,167037.2286
Yellow-crowned Parrot,2558346.654
Yellow-headed Parrot,18579.07565
Red-spectacled Parrot,3207.003864
Red-browed Parrot,1031.874579
Tucuman Parrot,26721.29894
St. Lucia Parrot,54.91012384
Red-crowned Parrot,3029.535223
Puerto Rican Parrot,59.70116337
Yellow-lored Parrot,50733.7236
Brazilian Teal,3377420.365
Golden-fronted Bowerbird,377.7060834
Vogelkop Bowerbird,6230.299577
MacGregor's Bowerbird,53884.98904
Streaked Bowerbird,7135.536001
Grosbeak Weaver,1351330.825
Scarlet-headed Blackbird,610311.667
Yellow-browed Sparrow,1493260.204
Grassland Sparrow,3519449.566
Grasshopper Sparrow,289035.6529
Bar-tailed Lark,2719712.623
Desert Lark,4391868.973
Rufous-tailed Lark,658686.9039
Gray's Lark,71276.96709
Gray-bellied Antbird,22738.47133
See-see Partridge,1157077.526
Sand Partridge,642791.8724
Saltmarsh Sparrow,18194.85348
Seaside Sparrow,65095.7249
Golden-crested Myna,531956.0253
Scaled Fruiteater,77619.8582
Red-crested Cotinga,159629.0295
Chestnut-crested Cotinga,30793.12845
Gray Emutail,112294.8776
Black-throated Sparrow,620070.1137
Five-striped Sparrow,58539.4657
Kalkadoon Grasswren,22512.67182
Gray Grasswren,21600.96889
Carpentarian Grasswren,28784.52298
Eyrean Grasswren,87899.49426
Black Grasswren,12718.77871
Short-tailed Grasswren,16650.75052
Thick-billed Grasswren,118084.376
Dusky Grasswren,252134.1573
Striated Grasswren,352172.5283
Western Grasswren,41924.2222
White-throated Grasswren,2131.289956
Ochre-breasted Foliage-gleaner,613623.4931
Rufous-tailed Foliage-gleaner,1664956.145
Montane Foliage-gleaner,129467.9617
Scaly-throated Foliage-gleaner,83140.74169
Principe Sunbird,56.62299926
Newton's Sunbird,331.4724996
Reichenbach's Sunbird,858038.7671
Dusky-cheeked Foliage-gleaner,185394.3999
White-collared Foliage-gleaner,143908.3075
Juan Fernandez Tit-Tyrant,36.00693799
Yellow-billed Tit-Tyrant,588048.746
Black-crested Tit-Tyrant,18794.62287
Tufted Tit-Tyrant,1018708.407
Pied-crested Tit-Tyrant,40043.44948
Red-headed Weaver,1258022.211
Andaman Teal,1870.129632
Andean Teal,158518.4878
Auckland Islands Teal,16.4094911
White-cheeked Pintail,1155052.007
Bernier's Teal,20631.00657
Cape Teal,1666906.196
Chestnut Teal,1209170.363
Brown Teal,361.5514288
Eaton's Pintail,2898.079544
Red-billed Duck,4155769.804
Yellow-billed Teal,1522114.42
Mottled Duck,536826.953
Yellow-billed Pintail,1608509.493
Sunda Teal,304096.1826
Gray Teal,3265339.524
Laysan Duck,0.586935815
Meller's Duck,81254.35703
Campbell Islands Teal,0.114698312
Mallard,5211675.253
Indian Spot-billed Duck,2018809.584
American Black Duck,289753.0241
African Black Duck,3557383.241
Pacific Black Duck,3415177.466
Yellow-billed Duck,3272893.152
Hawaiian Duck,1614.320041
Eastern Spot-billed Duck,652658.8026
African Openbill,5177495.247
Asian Openbill,818451.5164
Chestnut-winged Hookbill,968404.2968
Hooded Mountain-Toucan,18808.22111
Plate-billed Mountain-Toucan,5540.301087
Black-billed Mountain-Toucan,42483.39564
Tooth-billed Hummingbird,43704.64695
Sombre Greenbul,516813.385
Papuan Whipbird,20623.93335
Horned Screamer,4239459
Anhinga,5593187.08
Oriental Darter,2651321.372
Australasian Darter,2634942.163
African Darter,6940772.056
Scarlet-bellied Mountain-Tanager,37343.40302
Lacrimose Mountain-Tanager,67169.50398
Black-cheeked Mountain-Tanager,3052.852883
Black-chinned Mountain-Tanager,7185.568478
Blue-winged Mountain-Tanager,123416.3815
Glaucous Macaw,0.377636738
Indigo Macaw,2913.591828
Parasitic Weaver,706168.7148
Broad-tipped Hermit,206535.0996
Brown Hornbill,298979.3805
Bushy-crested Hornbill,533559.841
Rusty-cheeked Hornbill,61869.72958
Blue-gray Noddy,13048200.13
Magpie Goose,86236.84217
White-gorgeted Flycatcher,363419.7328
Rufous-browed Flycatcher,60706.32453
Orange-breasted Sunbird,35490.78768
Red Wattlebird,839005.7544
Little Wattlebird,259160.6955
Western Wattlebird,91543.46657
Yellow Wattlebird,18071.44595
New Zealand Bellbird,82189.86738
African Penduline-Tit,1794116.508
Forest Penduline-Tit,461629.6742
Southern Penduline-Tit,659148.0745
Mouse-colored Penduline-Tit,440705.6141
Yellow Penduline-Tit,769574.7051
Sennar Penduline-Tit,932106.5477
Oriental Pied-Hornbill,1724983.24
Malabar Pied-Hornbill,270892.2236
Black Hornbill,308324.4924
Palawan Hornbill,5164.086963
Sulu Hornbill,226.0623551
Antillean Mango,29055.14382
Jamaican Mango,4255.517775
Green-breasted Mango,298869.8676
Veraguan Mango,11754.25267
Green-throated Mango,228364.8683
Green Mango,3387.80726
