COMMON_NAME,area_square_miles
Yellow-billed Cuckoo,477.044631
Pearly-breasted Cuckoo,3488999.393
Cocos Cuckoo,9.559629775
Gray-capped Cuckoo,125911.6611
Dark-billed Cuckoo,5576966.036
Great Lizard-Cuckoo,42390.66841
Mangrove Cuckoo,426753.7358
Chestnut-bellied Cuckoo,4255.517775
Bay-breasted Cuckoo,437.3458468
Jamaican Lizard-Cuckoo,4255.517775
Puerto Rican Lizard-Cuckoo,3387.80726
Boat-billed Heron,4516748.03
Javan Cochoa,3276.203217
Sumatran Cochoa,24845.28913
Purple Cochoa,240623.9722
Green Cochoa,411492.4392
Golden-bellied Starfrontlet,6216.689437
Bronzy Inca,148538.5605
Blue-throated Starfrontlet,16259.68272
Rainbow Starfrontlet,31163.54911
Buff-winged Starfrontlet,24455.35378
Dusky Starfrontlet,692.9108333
White-tailed Starfrontlet,1826.0265
Collared Inca,116939.9829
Violet-throated Starfrontlet,16809.46658
Brown Inca,13188.78888
Subantarctic Snipe,264.1661205
Snares Island Snipe,1.000948274
Chatham Islands Snipe,1.803364523
Bananaquit,4172551.426
Black-necked Woodpecker,59770.30031
Northern Flicker,1494510.724
Gray-crowned Woodpecker,78416.45537
Campo Flicker,1766501.848
Fernandina's Flicker,2834.422912
Green-barred Woodpecker,1823828.182
Chilean Flicker,165428.3193
Spot-breasted Woodpecker,1310443.066
Crimson-mantled Woodpecker,179051.8948
Golden-olive Woodpecker,866072.7775
Andean Flicker,303249.3553
Sparkling Violetear,355366.8325
White-vented Violetear,915303.2961
Crested Bobwhite,720258.8126
Northern Bobwhite,1685121.306
Red-backed Mousebird,111607.7107
White-backed Mousebird,622219.0686
White-headed Mousebird,205800.0623
Speckled Mousebird,3110866.807
Glossy Swiftlet,1063674.805
Cave Swiftlet,122061.8051
Pygmy Swiftlet,109286.9155
Bower's Shrikethrush,11962.60071
Gray Shrikethrush,2671626.481
Little Shrikethrush,465145.3344
Sooty Shrikethrush,15687.10788
Sandstone Shrikethrush,212188.3593
Long-tailed Tyrant,2612783.66
Patagonian Tyrant,150418.4131
White-naped Pigeon,30797.68193
White-collared Pigeon,53126.86491
Silvery Wood-Pigeon,694.7776639
Rameron Pigeon,574056.0377
Bolle's Pigeon,977.2514812
Delegorgue's Pigeon,89669.52958
Nilgiri Wood-Pigeon,44955.52803
Pale-backed Pigeon,1124199.704
Speckled Pigeon,4076368.787
Speckled Wood-Pigeon,775283.3708
Bronze-naped Pigeon,1064785.762
Japanese Wood-Pigeon,2377.840502
Laurel Pigeon,467.4140978
White-headed Pigeon,106180.3634
Snow Pigeon,981195.8566
Rock Pigeon,6719897.02
Sao Tome Pigeon,392.6819362
Stock Dove,878343.0238
Somali Pigeon,9485.836682
Yellow-legged Pigeon,19791.99498
Andaman Wood-Pigeon,2941.403738
Common Wood-Pigeon,1528321.3
Comoro Pigeon,794.4076138
Ashy Wood-Pigeon,218205.0911
Pale-capped Pigeon,73492.6551
Hill Pigeon,4574443.79
Cameroon Pigeon,17061.36044
Maroon Pigeon,113.700716
Sri Lanka Wood-Pigeon,1931.224651
Trocaz Pigeon,212.031748
Afep Pigeon,1042369.78
Metallic Pigeon,435805.2321
Ecuadorian Ground-Dove,31925.73019
Croaking Ground-Dove,129076.4232
Blue-eyed Ground-Dove,456.5150932
Inca Dove,1065894.924
Plain-breasted Ground-Dove,2722069.82
Common Ground-Dove,2796036.045
Picui Ground-Dove,2214689.704
Scaled Dove,1858946.278
Scarlet-throated Tanager,648344.034
Black-faced Cotinga,56434.35214
Capped Conebill,115091.7466
Bicolored Conebill,218780.638
Cinereous Conebill,172666.6763
White-browed Conebill,56939.89622
Pearly-breasted Conebill,29972.9884
Rufous-browed Conebill,15215.08044
Blue-backed Conebill,115830.9782
Chestnut-vented Conebill,2920737.13
White-ringed Flycatcher,76571.60688
Lemon-browed Flycatcher,66177.58687
Yellow-throated Flycatcher,1508414.221
Three-striped Flycatcher,779564.6411
Slaty Gnateater,38739.14564
Chestnut-belted Gnateater,1081232.99
Chestnut-crowned Gnateater,62023.29077
Ceara Gnateater,22618.80072
Rufous Gnateater,732421.7382
Black-bellied Gnateater,351835.5027
Black-cheeked Gnateater,93629.50012
Ash-throated Gnateater,424225.3088
Hooded Gnateater,265237.8644
Rufous-banded Honeyeater,191712.1291
Rufous-throated Honeyeater,754492.6504
Gray Honeyeater,554880.0464
Great Parrotbill,288428.1351
Cone-billed Tanager,13061.29565
Black-and-white Tanager,18440.78026
White-throated Pewee,44229.1437
Cuban Pewee,46195.32568
Tropical Pewee,1481775.225
Smoke-colored Pewee,394244.8171
Hispaniolan Pewee,28880.17409
Lesser Antillean Pewee,4914.114175
Dark Pewee,3166.056028
Blackish Pewee,98135.39611
Ochraceous Pewee,1214.12276
Jamaican Pewee,4255.517775
Madagascar Magpie-Robin,92544.33377
Philippine Magpie-Robin,106246.5057
Oriental Magpie-Robin,3478633.283
Seychelles Magpie-Robin,0.642669205
Abyssinian Roller,1928031.213
Indian Roller,1515493.141
Lilac-breasted Roller,3405892.126
Blue-bellied Roller,784407.9966
Rufous-crowned Roller,3612158.394
Racket-tailed Roller,1126620.734
Purple-winged Roller,56675.87082
Moluccan Cuckooshrike,15090.52448
Pied Cuckooshrike,55053.74882
Boyer's Cuckooshrike,233388.9643
Stout-billed Cuckooshrike,156312.8964
South Melanesian Cuckooshrike,9777.530781
Andaman Cuckooshrike,2008.854216
Buru Cuckooshrike,3302.829886
Javan Cuckooshrike,1402472.529
Sunda Cuckooshrike,202346.3192
White-rumped Cuckooshrike,59529.34559
Barred Cuckooshrike,248405.9063
Hooded Cuckooshrike,52227.73253
Large Cuckooshrike,868569.5323
Ground Cuckooshrike,2467491.15
Black-faced Cuckooshrike,2948206.974
White-bellied Cuckooshrike,1719830.842
Wallacean Cuckooshrike,32663.91278
Slaty Cuckooshrike,2815.90773
Bar-bellied Cuckooshrike,558349.3013
Cerulean Cuckooshrike,56278.06589
North Melanesian Cuckooshrike,9093.68114
Seychelles Parrot,18.3057785
Lesser Vasa Parrot,228227.8036
Greater Vasa Parrot,159540.9109
Maroon-backed Whistler,4439.576843
Sangihe Whistler,2.044289001
Black Vulture,8175149.393
White-throated Manakin,427565.3673
White-bibbed Manakin,103130.0657
White-winged Chough,764213.6856
White-throated Treecreeper,374174.4127
Papuan Treecreeper,50869.5748
Yellow-billed Shrike,1339635.264
White-necked Raven,623783.1191
Pied Crow,7546235.605
Little Crow,2193750.375
American Crow,2515545.906
Cape Crow,1558311.383
Northwestern Crow,153271.4587
Carrion Crow,10181700.5
Australian Raven,1854624.626
Thick-billed Raven,293142.4621
Daurian Jackdaw,1007240.92
Somali Crow,455527.9056
Slender-billed Crow,629211.2182
Flores Crow,3511.822279
Rook,2657811.984
Brown-headed Crow,7121.823925
Tamaulipas Crow,38580.85948
Bismarck Crow,17345.39581
Jamaican Crow,4255.517775
Mariana Crow,35.65547572
White-necked Crow,3197.239032
Large-billed Crow,5140228.796
Bougainville Crow,3741.268193
Little Raven,522571.0272
Eurasian Jackdaw,3516138.735
New Caledonian Crow,6328.028791
Cuban Crow,10976.71989
Torresian Crow,2082647.768
Fish Crow,374898.2741
Palm Crow,12449.94774
Fan-tailed Raven,1064240.523
Brown-necked Raven,4986632.001
Sinaloa Crow,36718.66339
House Crow,1725852.286
Forest Raven,144586.4971
Gray Crow,267645.6554
Piping Crow,40297.65328
Banggai Crow,53.27716985
Long-billed Crow,9546.324245
Guadalcanal Crow,5032.726141
Dusky Broadbill,853215.0212
Black-masked Finch,843501.3752
Lark-like Brushrunner,558870.5234
Red-crested Finch,1562959.027
Pileated Finch,1064999.127
Great Blue Turaco,1504283.387
Gray Go-away-bird,1470362.07
Bare-faced Go-away-bird,20454.09195
Southern Antpipit,975573.4257
Ringed Antpipit,2562448.096
Malachite Kingfisher,5545934.253
White-bellied Kingfisher,1057829.734
Madagascar Pygmy-Kingfisher,61262.66346
Malagasy Kingfisher,220977.9801
Coscoroba Swan,588121.3091
White-crowned Robin-Chat,490152.627
Blue-shouldered Robin-Chat,701789.6023
Chorister Robin-Chat,97889.54315
White-headed Robin-Chat,2395.165014
White-browed Robin-Chat,2458300.916
Red-capped Robin-Chat,1406805.608
Snowy-crowned Robin-Chat,1998480.297
Rüppell's Robin-Chat,334252.6286
White-bellied Robin-Chat,38906.95071
Lovely Cotinga,114952.2309
Spangled Cotinga,2453004.919
Purple-breasted Cotinga,737976.5527
Banded Cotinga,917.6712388
Plum-throated Cotinga,983497.3629
Blue Cotinga,68116.58279
Speckled Rail,614931.7841
Rain Quail,804684.9581
Common Quail,1206315.801
Harlequin Quail,2758862.77
Japanese Quail,11218.00288
Stubble Quail,2433924.503
Blue Coua,128840.7757
Coquerel's Coua,54192.63898
Crested Coua,104969.611
Running Coua,19781.94904
Giant Coua,57666.48222
Red-fronted Coua,123835.2673
Red-capped Coua,37682.09613
Red-breasted Coua,24220.27029
Verreaux's Coua,7838.038358
Silver-backed Butcherbird,143073.8688
Hooded Butcherbird,214199.069
Tagula Butcherbird,314.2682526
Black-backed Butcherbird,84506.86547
Pied Butcherbird,2450946.357
Gray Butcherbird,2329147.2
Creamy-crested Spinetail,7196.233593
Light-crowned Spinetail,16318.85825
Line-cheeked Spinetail,41265.497
Ash-browed Spinetail,67144.09532
Tepui Spinetail,29815.61114
Coiba Spinetail,193.2397412
Red-faced Spinetail,29525.04653
Streak-capped Spinetail,2615.981701
Marcapata Spinetail,5928.094898
Scaled Spinetail,28533.91545
Olive Spinetail,252500.0147
Pallid Spinetail,267992.342
Stripe-crowned Spinetail,782343.3774
Gray-headed Spinetail,381295.1654
Crested Spinetail,70629.41709
Sulphur-throated Spinetail,274535.8806
Parker's Spinetail,131450.8791
Rusty-backed Spinetail,2212881.346
Rusty Mouse-Warbler,205402.4655
Bicolored Mouse-Warbler,40613.52533
Mountain Mouse-Warbler,63441.58527
Blue-billed Curassow,1843.685747
Black Curassow,810602.9576
Red-billed Curassow,443.9077817
Yellow-knobbed Curassow,155628.3574
Bare-faced Curassow,1314601.887
Wattled Curassow,10450.80855
Great Curassow,255623.0578
Swallow-tailed Gull,31767.69798
Wattled Starling,2087785.985
Slaty Tanager,42448.39447
Rufous-crested Tanager,37460.26343
African Crake,2298204.728
Western Plantain-eater,1405592.86
Eastern Plantain-eater,391597.1478
Western Bearded-Greenbul,249550.7451
Red-tailed Greenbul,1274108.819
Eastern Bearded-Greenbul,465234.6848
White-bearded Greenbul,562014.6161
Yellow-bearded Greenbul,92317.98618
White-throated Canary,353794.7328
Black-throated Canary,1161985.59
Southern Grosbeak-Canary,49451.05578
Thick-billed Seedeater,154725.5901
Black-faced Canary,253686.8803
African Citril,214299.2229
Lemon-breasted Seedeater,18612.31125
Sao Tome Grosbeak,79.10429109
Northern Grosbeak-Canary,233402.255
White-bellied Canary,332654.2613
Yellow-throated Serin,1779.679759
Yellow Canary,653960.5341
Western Citril,92152.60457
Streaky-headed Seedeater,581994.6276
Southern Citril,62020.41563
Papyrus Canary,21086.50282
Protea Canary,32752.74937
White-rumped Seedeater,1173605.252
Tanzania Seedeater,15967.32103
Yemen Serin,16897.26158
Black-eared Seedeater,577274.9772
Yellow-fronted Canary,3680314.469
Reichard's Seedeater,224072.7235
Reichenow's Seedeater,329520.8769
Olive-rumped Serin,50023.39157
Principe Seedeater,358.6596389
Forest Canary,71299.44147
Streaky Seedeater,334980.9526
Brimstone Canary,721685.5371
Drakensberg Siskin,14280.16543
Cape Siskin,33021.77673
Brown-rumped Seedeater,115578.5468
Salvadori's Serin,20867.98693
Yellow-rumped Serin,39857.9389
Yellow-browed Oxylabes,8771.082705
Blue Eared-Pheasant,198033.2228
White Eared-Pheasant,66379.06586
Brown Eared-Pheasant,56643.29962
Smooth-billed Ani,5448189.536
Greater Ani,4678685.392
Groove-billed Ani,1012042.768
Hooded Treepie,43329.08313
Racket-tailed Treepie,495160.9169
Victorin's Warbler,30197.2952
Plumbeous Hawk,62593.34355
Sombre Pigeon,37632.52669
Green Manakin,129784.2944
Dusky Crimsonwing,29319.75675
Red-faced Crimsonwing,168296.9528
Abyssinian Crimsonwing,99667.32058
Shelley's Crimsonwing,17776.84049
Black-capped Tinamou,46564.39056
Bartlett's Tinamou,622199.4583
Berlepsch's Tinamou,22986.23084
Slaty-breasted Tinamou,129122.3787
Rusty Tinamou,321667.4659
Barred Tinamou,33412.33866
Cinereous Tinamou,2287559.53
Thicket Tinamou,255371.3358
Gray-legged Tinamou,50898.28514
Red-legged Tinamou,479741.1234
Yellow-legged Tinamou,567399.4513
Brown Tinamou,711129.8334
Small-billed Tinamou,2571249.275
Tepui Tinamou,155.8900003
Little Tinamou,4305491.413
Brazilian Tinamou,999992.8367
Tataupa Tinamou,1874849.882
Undulated Tinamou,3294792.119
Variegated Tinamou,2099169.852
Black Cuckoo,2002982.159
Sulawesi Cuckoo,32510.20127
African Cuckoo,1930241.894
Sunda Cuckoo,306286.8178
Indian Cuckoo,1705247.102
Lesser Cuckoo,26915.95825
Madagascar Cuckoo,222370.0332
Red-chested Cuckoo,2224487.146
Gray-headed Canary-Flycatcher,1114763.669
Citrine Canary-Flycatcher,145476.1536
Sharp-tailed Tyrant,811351.2022
Indian Courser,920083.5851
Cream-colored Courser,556191.833
Burchell's Courser,537478.9857
Somali Courser,435667.3407
Temminck's Courser,4197545.729
Vietnamese Cutia,10968.5237
Himalayan Cutia,327627.2102
Red-legged Honeycreeper,3134631.634
Shining Honeycreeper,90703.96683
Short-billed Honeycreeper,1032044.545
Blue-backed Tanager,163199.0991
Eurasian Blue Tit,3379687.181
Azure Tit,3147988.144
African Blue Tit,240961.5161
Blue-winged Goose,139485.8719
Blue Jay,2121431.775
Blue Bunting,222923.5738
Black-chested Jay,182688.7019
Purplish-backed Jay,33224.0338
Cayenne Jay,448257.6089
Plush-crested Jay,1113496.511
Curl-crested Jay,1172591.581
Purplish Jay,648833.8688
White-naped Jay,1184613.579
Tufted Jay,5185.852466
Azure-naped Jay,54334.77243
Bushy-crested Jay,47788.36963
White-tailed Jay,31290.99556
San Blas Jay,26096.50286
Violaceous Jay,1305494.339
Green Jay,421773.2584
Yucatan Jay,72523.44002
Golden Babbler,394100.4597
Chestnut-winged Babbler,229114.0068
Crescent-chested Babbler,24136.01761
Black-chinned Babbler,67170.22053
Rufous-capped Babbler,851662.9335
Rufous-fronted Babbler,921279.7706
Blue Cuckooshrike,634964.3879
Blue Vanga,171958.788
Zapata Rail,387.5656062
Burrowing Parakeet,347124.8574
Ultramarine Grosbeak,2259426.119
Blue-black Grosbeak,338758.7654
Glaucous-blue Grosbeak,263904.2414
Amazonian Grosbeak,2548223.678
Silvery-throated Jay,1515.29083
Black-collared Jay,20742.84778
Beautiful Jay,7613.488417
Black-throated Jay,39831.36849
Turquoise Jay,23987.2372
White-collared Jay,76404.74307
Blue-headed Sunbird,44139.56168
Bannerman's Sunbird,175450.5624
Blue-throated Brown Sunbird,1213276.308
Olive Sunbird,2082995.683
Cameroon Sunbird,25313.41505
Green-headed Sunbird,2074598.328
Iberian Magpie,69216.07728
Azure-winged Magpie,1833308.636
Yellow-crowned Parakeet,25255.06684
Chatham Islands Parakeet,0.813342682
Malherbe's Parakeet,109.5149976
Red-crowned Parakeet,7684.344003
Antipodes Parakeet,8.751225414
Rufous-browed Peppershrike,5206839.815
Black-billed Peppershrike,32276.50875
Double-eyed Fig-Parrot,172978.3247
Orange-breasted Fig-Parrot,11651.51224
Black Swan,2572691.143
Trumpeter Swan,46320.76965
Whooper Swan,5493.266733
Black-necked Swan,310541.77
Mute Swan,752846.5932
Fasciated Antshrike,2565083.458
Bamboo Antshrike,190999.7361
Black-and-red Broadbill,627136.4843
Broad-billed Hummingbird,163379.94
Dusky Hummingbird,37140.44337
Hill Blue Flycatcher,683102.7547
Sunda Blue Flycatcher,371832.8999
Sula Jungle-Flycatcher,5232.121717
White-tailed Flycatcher,334536.2858
Hainan Blue Flycatcher,615992.1011
Blue-breasted Flycatcher,22329.22854
Blue-fronted Flycatcher,6672.150769
Timor Blue Flycatcher,12618.35606
Palawan Blue Flycatcher,4242.096072
Nicobar Jungle-Flycatcher,422.4562855
Fulvous-chested Jungle-Flycatcher,230083.6535
Sulawesi Blue Flycatcher,62797.14668
Flores Jungle-Flycatcher,5160.561848
White-bellied Blue Flycatcher,20367.4005
Pale-chinned Blue Flycatcher,188967.157
Blue-throated Flycatcher,217328.3595
Rück's Blue Flycatcher,2151.664044
Chestnut-tailed Jungle-Flycatcher,31545.09498
Mangrove Blue Flycatcher,166006.7514
Matinan Flycatcher,791.1687424
Bornean Blue Flycatcher,264933.4422
Tickell's Blue Flycatcher,447611.2049
Malaysian Blue Flycatcher,323139.9922
Gray-chested Jungle-Flycatcher,441375.6125
Pale Blue Flycatcher,772855.9675
Musician Wren,1721563.446
Song Wren,123136.154
Chestnut-breasted Wren,22671.82264
White-chinned Swift,159507.3351
Sooty Swift,897706.5729
White-chested Swift,1381.432988
Black Swift,76335.43295
Rothschild's Swift,64324.68772
Great Dusky Swift,778214.656
White-fronted Swift,32612.66251
Asian Palm-Swift,2640476.546
African Palm-Swift,6312261.578
White-rumped Tanager,1242216.519
Montezuma Quail,291145.0464
Rufous-bellied Kookaburra,259165.4104
Blue-winged Kookaburra,842932.2006
Laughing Kookaburra,931985.7478
Spangled Kookaburra,14238.80079
White-bellied Dacnis,403092.7238
Yellow-bellied Dacnis,1590284.711
Turquoise Dacnis,5689.654899
Black-faced Dacnis,2336366.522
Black-legged Dacnis,10725.73675
Scarlet-thighed Dacnis,78429.94742
Viridian Dacnis,5977.287337
Singing Quail,190228.6257
Varied Sittella,1829942.992
Cape Petrel,52620056.12
Black Caracara,2587696.283
Mindanao Pygmy-Babbler,18953.37344
Visayan Pygmy-Babbler,2508.587774
Red-crested Malkoha,6294.75339
Eastern Bristlebird,814.7238023
Rufous Bristlebird,10332.00366
Western Bristlebird,209.7472636
Long-tailed Woodcreeper,422434.5255
Gray-headed Sunbird,560613.6631
Fraser's Sunbird,717848.8897
Asian House-Martin,212015.9055
Nepal House-Martin,209710.177
Flammulated Flycatcher,25516.42015
Sooty Grouse,222869.5337
Dusky Grouse,589196.0865
Cinnamon-throated Woodcreeper,1417078.763
Plain-brown Woodcreeper,3275533.837
Ruddy Woodcreeper,190229.5422
White-chinned Woodcreeper,2069213.967
Plain-winged Woodcreeper,460784.016
Tyrannine Woodcreeper,118894.5443
Andaman Treepie,2203.210991
Bornean Treepie,65020.88753
Gray Treepie,1285168.155
Collared Treepie,77368.60783
White-bellied Treepie,41697.76582
Sumatran Treepie,63912.48509
Rufous Treepie,1683981.728
Amazonian Barred-Woodcreeper,2571304.793
Hoffmanns's Woodcreeper,333159.6823
Black-banded Woodcreeper,2219929.11
Planalto Woodcreeper,1500092.023
Northern Barred-Woodcreeper,228337.787
Freckle-breasted Woodpecker,429948.0164
Sind Woodpecker,233277.4685
Stripe-breasted Woodpecker,119540.7973
Darjeeling Woodpecker,116576.7975
Himalayan Woodpecker,44427.07049
Rufous-bellied Woodpecker,520867.2665
White-winged Woodpecker,947646.054
White-backed Woodpecker,4317185.812
Fulvous-breasted Woodpecker,349306.5121
Great Spotted Woodpecker,9426148.373
Okinawa Woodpecker,225.9635036
Syrian Woodpecker,1131801.354
West Indian Whistling-Duck,39311.77494
Wandering Whistling-Duck,1888851.387
Black-bellied Whistling-Duck,3589010.065
Plumed Whistling-Duck,1844808.944
Spotted Whistling-Duck,357525.0023
Lesser Whistling-Duck,2163867.763
Crested Francolin,1293701.466
Zimmer's Woodcreeper,91822.84167
Straight-billed Woodcreeper,3805624.607
Long-tailed Wood-Partridge,47518.11917
Red-fan Parrot,1605617.212
Midget Flowerpecker,10572.81118
Thick-billed Flowerpecker,1710155.776
Golden-rumped Flowerpecker,10984.34807
Flame-crowned Flowerpecker,12422.59116
Yellow-sided Flowerpecker,67672.55988
Red-keeled Flowerpecker,91582.50138
Bicolored Flowerpecker,100311.1905
Gray-sided Flowerpecker,71283.58069
Yellow-vented Flowerpecker,1218359.913
Nilgiri Flowerpecker,85459.4507
Scarlet-backed Flowerpecker,1729610.334
Pale-billed Flowerpecker,830041.9726
Buru Flowerpecker,3302.862503
Brown-backed Flowerpecker,58855.27879
Red-banded Flowerpecker,16350.55758
Red-capped Flowerpecker,206572.909
Mistletoebird,2495894.633
White-bellied Flowerpecker,88418.88633
Black-fronted Flowerpecker,11432.88938
Fire-breasted Flowerpecker,1555958.172
Red-chested Flowerpecker,14248.75949
Plain Flowerpecker,1801301.471
Black-sided Flowerpecker,24298.9386
Crimson-crowned Flowerpecker,33978.23954
Olive-capped Flowerpecker,5163.620288
Louisiade Flowerpecker,510.363333
Olive-crowned Flowerpecker,37767.33381
Whiskered Flowerpecker,5238.398354
Pygmy Flowerpecker,104032.2444
Cebu Flowerpecker,45.2784524
Scarlet-collared Flowerpecker,3807.862444
Blood-breasted Flowerpecker,26730.93176
Halmahera Flowerpecker,9832.627374
Orange-bellied Flowerpecker,882805.8451
Mottled Flowerpecker,1286.437789
Scarlet-headed Flowerpecker,124359.6265
White-throated Flowerpecker,4697.518318
Ashy Flowerpecker,6877.477734
Banded Antbird,1201875.265
Fork-tailed Drongo,5641500.124
Bronzed Drongo,1791262.457
Aldabra Drongo,61.57421274
Andaman Drongo,2211.124421
Crow-billed Drongo,489313.1495
Shining Drongo,707114.3288
Balicassiao,58522.59717
Spangled Drongo,762749.1569
White-bellied Drongo,861753.5575
Wallacean Drongo,32795.47191
Crested Drongo,228466.7
Hair-crested Drongo,1881661.149
Ashy Drongo,1214638.491
Sri Lanka Drongo,8462.397724
Square-tailed Drongo,1781799.986
Black Drongo,2422389.711
Ribbon-tailed Drongo,2710.275228
Tablas Drongo,261.7294159
Velvet-mantled Drongo,1347801.96
Sulawesi Drongo,20341.05407
Greater Racket-tailed Drongo,2316069.381
Lesser Racket-tailed Drongo,933556.4591
Sumatran Drongo,150127.3245
Mayotte Drongo,122.1439773
Tooth-billed Pigeon,477.0399345
White-sided Flowerpiercer,98308.75703
Cinnamon-bellied Flowerpiercer,91331.10929
Black-throated Flowerpiercer,122727.0006
Bluish Flowerpiercer,108388.8165
Gray-bellied Flowerpiercer,27068.16962
Masked Flowerpiercer,151408.3563
Scaled Flowerpiercer,41330.17191
Deep-blue Flowerpiercer,44333.70986
Merida Flowerpiercer,4410.797723
Chestnut-bellied Flowerpiercer,277.8940475
Black Flowerpiercer,60009.90753
Indigo Flowerpiercer,7714.831624
Glossy Flowerpiercer,42353.59982
Greater Flowerpiercer,13016.58862
Moustached Flowerpiercer,46841.92383
Rusty Flowerpiercer,229225.8884
White-headed Buffalo-Weaver,911713.7009
Black-rumped Flameback,1158533.111
Spot-throated Flameback,5075.145518
Common Flameback,1045233.222
Olive-backed Woodpecker,397778.1243
Himalayan Flameback,147777.7621
Royal Albatross,21810180.55
Wandering Albatross,37749130.94
Red-shouldered Macaw,191198.2485
Green Thorntail,51299.40862
Black-bellied Thorntail,764483.6293
Racket-tailed Coquette,830160.1196
Wire-crested Thorntail,63694.78734
Common Diuca-Finch,691993.6101
Scrub Blackbird,92227.90094
Bay-vented Cotinga,5026.835158
Black-capped Donacobius,3328430.334
Long-tailed Reed Finch,645287.0659
Mexican Sheartail,1122.892812
Slender Sheartail,30342.41232
Blue-fronted Lancebill,177469.6328
Iiwi,1472.284056
Cloven-feathered Dove,6383.432829
Golden-winged Sunbird,84075.1869
Black-billed Sicklebill,9083.295816
Sao Tome Sunbird,128.9270757
Emu,1633726.044
Crab-Plover,134207.4909
Pavonine Cuckoo,1197166.885
Pheasant Cuckoo,3706601.97
Red-winged Gray Warbler,428873.8321
Papuan Scrub-Robin,161661.8098
Southern Scrub-Robin,354000.6538
Northern Scrub-Robin,4780.736851
East Andean Antbird,7183.117681
Striated Antbird,811379.749
Ferruginous Antbird,195433.0021
Rufous-tailed Antbird,8606.665157
Santa Marta Antbird,1174.044762
Klages's Antbird,22464.66227
Dusky-tailed Antbird,297204.5988
Ochre-rumped Antbird,138966.4059
Bertoni's Antbird,127182.6004
Scaled Antbird,131289.0657
Streak-headed Antbird,74676.38676
Scimitar-billed Woodcreeper,553374.7346
Greater Scythebill,54775.85076
Crimson-breasted Woodpecker,48574.09918
Lesser Spotted Woodpecker,7161740.716
Nuttall's Woodpecker,70978.35916
Ladder-backed Woodpecker,1120642.873
Andaman Woodpecker,2203.210991
White-bellied Woodpecker,1039940.064
Black Woodpecker,7580867.141
White-throated Rail,228183.6003
Pink-footed Puffback,143758.982
Black-backed Puffback,2208676.025
Northern Puffback,2165488.407
Pringle's Puffback,173287.0081
Sabine's Puffback,465292.2616
Red-eyed Puffback,471634.6579
Congo Serpent-Eagle,1113808.11
Chestnut-bellied Mountain-Tanager,50675.4957
Buff-breasted Mountain-Tanager,82051.11235
Green Imperial-Pigeon,1983368.365
Polynesian Imperial-Pigeon,9.690161036
Mountain Imperial-Pigeon,1149054.316
Baker's Imperial-Pigeon,1593.238174
Cinnamon-bellied Imperial-Pigeon,8851.262016
Pied Imperial-Pigeon,241834.8251
Chestnut-bellied Imperial-Pigeon,4178.717803
Rufescent Imperial-Pigeon,63841.43802
Timor Imperial-Pigeon,1345.283821
Elegant Imperial-Pigeon,4212.336125
Finsch's Imperial-Pigeon,14953.71236
White-bellied Imperial-Pigeon,56252.62312
Marquesas Imperial-Pigeon,12.55428747
New Caledonian Imperial-Pigeon,6388.844976
Dark-backed Imperial-Pigeon,26550.90029
Peale's Imperial-Pigeon,6967.328304
Silver-tipped Imperial-Pigeon,55986.61879
Bismarck Imperial-Pigeon,13950.73783
Mindoro Imperial-Pigeon,467.7230578
Collared Imperial-Pigeon,108517.4984
Spice Imperial-Pigeon,2913.487075
Seram Imperial-Pigeon,7140.692451
Micronesian Imperial-Pigeon,512.4065152
Pacific Imperial-Pigeon,11419.55825
Spectacled Imperial-Pigeon,13361.21672
Gray Imperial-Pigeon,1181.815221
Pinon's Imperial-Pigeon,245224.8338
Pink-bellied Imperial-Pigeon,102831.6039
Gray-headed Imperial-Pigeon,59748.2368
Pink-headed Imperial-Pigeon,23565.8014
Purple-tailed Imperial-Pigeon,259049.1289
Torresian Imperial-Pigeon,200222.9695
Christmas Island Imperial-Pigeon,52.96466044
Zoe's Imperial-Pigeon,272859.4805
Palmchat,28922.4154
Gray Catbird,157106.5142
Tawny-bellied Babbler,815185.4309
White-streaked Antvireo,20168.68686
Plain Antvireo,1603497.024
Bicolored Antvireo,6180.661089
Plumbeous Antvireo,16395.22027
Spot-breasted Antvireo,160316.8005
Streak-crowned Antvireo,34044.50533
Rufous-backed Antvireo,17158.36634
Eclectus Parrot,324093.8908
Pale Cicadabird,11049.61031
Kai Cicadabird,1871.397248
Solomons Cuckooshrike,9603.419011
Papuan Cicadabird,134453.7005
Black-bibbed Cuckooshrike,90414.548
Black-bellied Cicadabird,111882.6086
Sulawesi Cicadabird,66525.85979
Makira Cicadabird,1289.040475
Gray-headed Cicadabird,64288.46073
Sula Cicadabird,1806.227585
Common Cicadabird,535299.0933
Black Heron,3283785.633
Little Blue Heron,1930239.177
Little Egret,11764760.65
Western Reef-Heron,777829.9597
White-faced Heron,1034913.601
Pacific Reef-Heron,1582808.616
Snowy Egret,5822660.037
Tricolored Heron,528589.4535
Slaty Egret,42500.0427
Spotted Elachura,256087.9274
White-crested Elaenia,275702.601
Coopmans's Elaenia,15024.78252
Lesser Elaenia,2783019.25
Plain-crested Elaenia,1980018.572
Great Elaenia,10280.72885
Greater Antillean Elaenia,2328.204918
Yellow-bellied Elaenia,3987621.96
Mottle-backed Elaenia,183211.4332
Caribbean Elaenia,10343.00752
Olivaceous Elaenia,855801.1643
Highland Elaenia,126095.4007
Sierran Elaenia,108831.5741
