"","Species2_eBird","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Tail.Length"
"1","Alophoixus flaveolus",0.46952380952381,0.652380952380953,0.559047619047619,0.259047619047619,2.3147619047619,16.0595238095238,0.816190476190477,29.6547619047619
"2","Alophoixus ochraceus",0.286666666666667,0.149166666666666,0.0666666666666668,0.18,0.875833333333333,27.5625,8.44916666666666,4.66666666666667
"3","Alophoixus pallidus",0.395833333333334,0.43,0.0758333333333334,0.0825000000000001,0.0891666666666665,26.5625,3.00916666666667,24.9166666666667
"4","Alophoixus phaeocephalus",1.85666666666666,1.24333333333333,0.0666666666666666,0.0625000000000001,1.90916666666667,7,0.0691666666666666,21.3333333333333
"5","Andropadus importunus",1.72916666666666,0.406666666666666,0.0891666666666666,0.18,1.08916666666667,17.6666666666667,3.76333333333333,19.6666666666667
"6","Arizelocichla masukuensis",3.56544444444444,0.0605555555555556,0.201777777777778,0.160444444444444,2.07555555555555,11.4027777777778,3.31655555555556,20.1805555555556
"7","Arizelocichla milanjensis",0.720227272727272,0.177272727272727,0.125454545454545,0.134242424242424,1.04818181818182,15.2424242424242,2.7844696969697,30.5454545454545
"8","Arizelocichla montana",0.196666666666667,0.0491666666666667,0.0599999999999999,0.01,0.982500000000002,38.25,2.38916666666667,38
"9","Arizelocichla nigriceps",0.714285714285715,0.433571428571429,0.0341071428571429,0.112678571428571,5.42125,16.8392857142857,1.14,14.4107142857143
"10","Atimastillas flavicollis",0.686666666666666,0.686666666666666,0.1025,0.116666666666667,0.896666666666666,8.91666666666667,4.06333333333333,49.3333333333333
"11","Baeopogon indicator",0.996666666666666,0.54,0.0358333333333334,0.0158333333333333,0.3425,8.66666666666667,1.68916666666667,23
"12","Bleda notatus",1.225,1.1175,0.16,0.0927777777777778,0.53861111111111,9.75,2.0475,52.6111111111111
"13","Bleda syndactylus",7.34916666666666,5.71666666666667,0.2025,0.2025,0.209166666666667,30.3333333333333,4.38666666666666,31.5833333333333
"14","Brachypodius eutilotus",0.48,0.028,0.057,0.68,4.33,23.5,20.272,13.5
"15","Brachypodius melanocephalos",0.349166666666666,0.0866666666666669,0.0866666666666667,0.00250000000000003,0.109166666666667,0.916666666666667,0.326666666666666,4.91666666666667
"16","Brachypodius melanoleucos",0.67,0.196666666666667,0.309166666666667,0.0466666666666667,1.17666666666667,2.66666666666667,4.07,14.9166666666667
"17","Brachypodius priocephalus",0.609166666666667,0.435833333333333,0.0366666666666667,0.0158333333333333,0.0433333333333333,0.666666666666667,1.18666666666667,8.91666666666667
"18","Brachypodius urostictus",0.682499999999999,6.4825,0.603333333333333,0.216666666666667,0.826666666666667,27.6666666666667,0.27,29.6666666666667
"19","Calyptocichla serinus",0.446666666666668,0.1625,0.0691666666666666,0.03,2.44666666666667,2.91666666666667,0.989166666666667,1.58333333333333
"20","Chlorocichla falkensteini",0.38,0.346666666666667,0.0491666666666667,0.0666666666666666,0.286666666666667,2,2.15333333333333,40.3333333333333
"21","Chlorocichla flaviventris",1.06916666666667,0.749999999999999,0.03,0.196666666666667,1.6225,62.9166666666667,5.1025,51.3333333333333
"22","Chlorocichla laetissima",4.59,1.50916666666667,0.0166666666666667,0.133333333333333,0.095833333333333,6.66666666666667,0.686666666666667,7.33333333333333
"23","Chlorocichla simplex",1.47666666666667,0.1625,0.0758333333333333,0.0700000000000001,1.6625,36.25,1.8625,15.3333333333333
"24","Criniger barbatus",0.26,0.782500000000001,0.1425,0.116666666666667,0.393333333333334,42.0625,0.475833333333334,17
"25","Criniger calurus",0.788888888888888,0.327666666666666,0.321777777777778,0.140444444444444,0.796555555555554,9.6,3.05333333333333,46.4555555555556
"26","Criniger ndussumensis",0.193333333333334,0.2825,0.0358333333333333,0.0299999999999999,1.39,11.6666666666667,0.3225,11.6666666666667
"27","Criniger olivaceus",0.109166666666666,0.353333333333333,0.116666666666667,0.0358333333333334,0.26,16.25,0.0158333333333334,26.9166666666667
"28","Eurillas ansorgei",0.702499999999999,0.153333333333333,0.0691666666666666,0.0225,0.262500000000001,8,2.80666666666667,16.25
"29","Eurillas curvirostris",0.576666666666666,0.449166666666667,0.02,0.0433333333333333,0.442499999999999,4.91666666666667,4.45333333333333,10.6666666666667
"30","Eurillas gracilis",0.2425,0.2625,0.01,0.0291666666666667,0.529166666666667,4.91666666666667,1.85666666666667,8.25
"31","Eurillas latirostris",0.683333333333333,0.536666666666666,0.0691666666666666,0.176666666666667,0.5425,17.0625,3.32916666666667,17.8958333333333
"32","Eurillas virens",0.5625,0.14,0.0200000000000001,0.133333333333333,1.23333333333333,7.41666666666667,4.1425,32.8958333333333
