CatalogNumber,Collection,Scientific Name,priority,Sex,Date,Country,Locality,Total.culmen,Length.of.bill.from.nostril,Bill.width,Bill.depth,Gape.width,Tarsus.length,Tail.length,Wing.length,First.secondary.length,Measurer,Lat,Lon
185321,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,"Khasi Hills, Mawrygkneng",16.92,9.69,4.24,5.06,9.73,17.21,80.31,89.32,75.42,BRW,25.554509,92.060499
185289,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Aizawl,16.95,8.86,4.64,4.94,10.86,16.53,81.28,89.54,75.11,BRW,23.7333345,92.7166634
96616,University of Michigan Museum of Zoology,Pycnonotus taivanus,1,f,NA,China,Taihoku,17.44,9.88,4.42,4.79,10.17,22.18,68.78,80.55,69.48,BRW,25.047763,121.531846
114806,University of Michigan Museum of Zoology,Pycnonotus xanthorrhous,1,m,NA,China,Tung-lu,17.47,9.92,4.12,4.98,9.7,21.01,83.29,87.69,74.22,BRW,28.716777,121.923991
114807,University of Michigan Museum of Zoology,Pycnonotus xanthorrhous,1,f,NA,China,Tung-lu,17.49,9.28,4.68,4.78,9.45,20.76,83.08,86.22,72.47,BRW,28.716777,121.923991
185297,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Sangau,17.53,9.93,3.62,5.22,9.39,16.79,74.94,86.62,73.63,BRW,22.7413563,93.0572032
94827,University of Michigan Museum of Zoology,Pycnonotus penicillatus,1,f,NA,Sri Lanka,Punduloya,17.71,9.37,5.01,5.36,10.88,19.39,74.22,79.78,69.97,BRW,NA,NA
114805,University of Michigan Museum of Zoology,Pycnonotus sinensis,NA,m,NA,China,Tung-lu,17.78,9.34,4.56,5.03,11.41,20.87,70.64,85.92,65.79,BRW,28.716777,121.923991
25618,University of Michigan Museum of Zoology,Pycnonotus taivanus,1,u,NA,Taiwan,no specific locality,17.79,10.12,4.66,5.09,10.48,20.63,68.86,80.36,67.65,BRW,NA,NA
185118,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,"Khasi Hills, Mawphlang",17.79,11.05,4.79,5.55,10.35,19.13,88.79,99.73,79.67,BRW,25.4666667,91.7666667
68991,University of Michigan Museum of Zoology,Pycnonotus xanthorrhous,1,m,NA,Laos,Phong Saly,17.86,9.28,4.5,4.78,9.26,20.84,80.64,87.74,75.39,BRW,21.683722,102.105357
239657,University of Michigan Museum of Zoology,Arizelocichla montana,1,m,NA,Cameroon,Mt Oku,18.1,10.38,3.78,4.77,8.55,25.36,78.88,88,78.88,BRW,6.2,10.5166667
185098,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,Kohima,18.29,10.81,4.47,5.51,10.57,19.08,90.97,106.37,83.73,BRW,25.6666667,94.1166649
23293,University of Michigan Museum of Zoology,Pycnonotus taivanus,1,m,NA,Taiwan,Takao,18.38,9.64,4.18,5.48,9.53,19.98,72.26,83.67,70.88,BRW,NA,NA
185100,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Laitlyngkot,18.41,10.52,4.96,5.59,11.24,18.43,92.23,101.52,81.4,BRW,25.431716,91.856221
185128,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,"Khasi Hills, Mawphlang",18.42,11.51,5.26,5.33,10.51,18.66,84.42,98.58,79.26,BRW,25.4666667,91.7666667
185121,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,"Khasi Hills, Mawphlang",18.44,10.95,4.83,5.88,10.32,17.51,82.36,95.75,75.99,BRW,25.4666667,91.7666667
185136,University of Michigan Museum of Zoology,Alcurus striatus,NA,u,NA,India,Cherrapunji,18.48,11.47,5.45,5.35,10.6,19.09,84.73,103.48,81.76,BRW,25.3000002,91.7000008
185125,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,"Khasi Hills, Mawphlang",18.82,10.23,4.61,5.16,11.43,18.79,88.87,102.32,80.07,BRW,25.4666667,91.7666667
94957,University of Michigan Museum of Zoology,Pycnonotus barbatus,1,f,NA,Tanzania,"Mount Meru, E side",18.89,9.69,4.83,5.5,10.33,21.14,75.36,85.43,75.05,BRW,NA,NA
185126,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,"Khasi Hills, Mawphlang",18.92,10.5,5.32,5.74,10.25,20.6,87.06,104.47,81.44,BRW,25.4666667,91.7666667
185132,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,"Khasi Hills, Mawphlang",18.95,10.04,4.88,5.61,10.21,17.95,81.86,97.66,78.03,BRW,25.4666667,91.7666667
