CatalogNumber,Collection,Scientific Name,priority,Sex,Date,Country,Locality,Total.culmen,Length.of.bill.from.nostril,Bill.width,Bill.depth,Gape.width,Tarsus.length,Tail.length,Wing.length,First.secondary.length,Measurer,Lat,Lon
185145,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Blue Mountain,20.21,11,4.21,5.81,11.05,20.03,87.61,105.33,82.08,BRW,23.390356,92.718309
185138,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Hmuntha,20.25,12.43,5.24,5.95,11.48,19,88.79,105.78,82.12,BRW,23.4832432,92.9330062
185110,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,"Khasi Hills, Mawphlang",20.27,11.68,5.13,5.72,10.28,19.23,83.11,98.53,80.05,BRW,25.4666667,91.7666667
185103,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Laitlyngkot,20.3,11.91,5.21,5.53,11.19,19.24,87.03,100.21,79.3,BRW,25.431716,91.856221
185378,University of Michigan Museum of Zoology,Alophoixus flaveolus,NA,f,NA,India,Cherrapunji,20.42,11.4,5.9,6.74,12.66,21.11,91.47,100.62,84.3,BRW,25.3000002,91.7000008
185097,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,Kohima,20.42,10.83,4.97,5.64,10.64,18.16,84.79,103.79,81.84,BRW,25.6666667,94.1166649
78942,University of Michigan Museum of Zoology,Pycnonotus cafer,1,f,NA,India,Arsu,20.45,11.2,4.79,5.1,10.44,22.91,81.81,95.48,82.14,BRW,32.0480556,77.1372222
185396,University of Michigan Museum of Zoology,Alophoixus flaveolus,NA,m,NA,India,Aizawl,20.46,12.2,5.17,6.98,10.72,20.37,89.64,101.61,81.64,BRW,23.7333345,92.7166634
185099,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,Laitlyngkot,20.59,10.56,5.16,6,11.27,19.14,88.57,102.58,82.32,BRW,25.431716,91.856221
185087,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,Laikul,20.6,11.9,4.99,5.55,10.46,18.5,84.35,101.99,81.38,BRW,25.113956,92.945386
185113,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,"Khasi Hills, Mawphlang",20.64,12.49,5.84,6.27,10.9,19.37,87.44,104.89,83.34,BRW,25.4666667,91.7666667
185403,University of Michigan Museum of Zoology,Alophoixus flaveolus,NA,m,NA,India,Sangau,20.71,11.96,5.95,7.23,12.06,19.73,88.98,103.04,85.85,BRW,22.7413563,93.0572032
185148,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Blue Mountain,20.72,11.35,5.29,6.01,12.83,19.4,84.73,100.41,80.13,BRW,23.390356,92.718309
185355,University of Michigan Museum of Zoology,Alophoixus flaveolus,1,m,NA,India,Haflong,20.76,12.93,5.3,7.65,12.93,20.07,91.48,103.58,86.27,BRW,25.1833324,93.0333366
185140,University of Michigan Museum of Zoology,Alcurus striatus,NA,NA,NA,India,Sangau,20.77,11.34,5.8,5.44,11.69,19.39,86.12,100.41,80.37,BRW,22.7413563,93.0572032
185135,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Cherrapunji,20.84,12.16,4.81,5.44,10.58,17.99,83.55,103.47,NA,BRW,25.3000002,91.7000008
185092,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Kohima,20.84,11.02,5.09,5.84,10.88,21.13,90.06,106.12,84.58,BRW,25.6666667,94.1166649
185096,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Kohima,20.84,12.11,5.22,5.63,10.75,19.93,92.97,106.28,84.48,BRW,25.6666667,94.1166649
185147,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Blue Mountain,20.85,11,5.05,5.45,11.74,18.8,92.91,105.47,82.83,BRW,23.390356,92.718309
185095,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Kohima,20.88,11.32,5.46,5.27,10.03,19.8,88.48,105.54,83.11,BRW,25.6666667,94.1166649
185105,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Laitlyngkot,20.96,11.21,5.06,5.45,11.3,20.46,84.75,101.07,82.16,BRW,25.431716,91.856221
185141,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,Blue Mountain,20.96,10.97,4.86,5.66,11.12,19.78,88.96,99.3,80.3,BRW,23.390356,92.718309
185385,University of Michigan Museum of Zoology,Alophoixus flaveolus,NA,f,NA,India,Cherrapunji,21.03,12.13,5.34,7.48,13.31,21.08,82.71,97.92,81.31,BRW,25.3000002,91.7000008
23534,University of Michigan Museum of Zoology,Alophoixus tephrogenys,NA,u,NA,Malaysia,Malacca,21.05,12.73,5.3,6.99,11.49,19.14,81.49,96.08,80.69,BRW,2.326361,102.281699
185359,University of Michigan Museum of Zoology,Alophoixus flaveolus,NA,f,NA,India,Laikul,21.07,12.7,5.38,7.3,12.15,19.48,84.5,98.76,82.31,BRW,25.113956,92.945386
185094,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Kohima,21.3,11.49,5.45,5.73,11.2,19.1,90.33,102.12,81.01,BRW,25.6666667,94.1166649
185348,University of Michigan Museum of Zoology,Alophoixus flaveolus,1,f,NA,Nepal,Hetora [Hetauda],21.31,12.84,5.41,6.91,11.7,20.67,86.37,100.5,85.03,BRW,27.416667,85.0333366
185395,University of Michigan Museum of Zoology,Alophoixus flaveolus,NA,m,NA,India,Aizawl,21.46,12.5,5.75,7.24,10.66,19.04,89.53,100.8,82.59,BRW,23.7333345,92.7166634
185139,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Sangau,21.46,12.15,5.42,5.71,10.55,17.99,87.11,104.75,82.48,BRW,22.7413563,93.0572032
185054,University of Michigan Museum of Zoology,Pycnonotus cafer,1,f,NA,India,Karong,21.6,10.97,5,5.25,9.35,23.86,87.9,94.64,77.11,BRW,25.2999992,94.0500031
185146,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Blue Mountain,21.68,12.27,5.08,5.95,12.14,22.62,88.92,106.93,83.71,BRW,23.390356,92.718309
23766,University of Michigan Museum of Zoology,Alophoixus tephrogenys,1,u,NA,Malaysia,no specific locality,21.69,13.39,5.47,7.52,12.8,19.99,83.9,100.42,81.23,BRW,2.326361,102.281699
229707,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Sangau,21.84,11.9,5,5.83,10.71,19.09,84.15,102.5,79.27,BRW,22.7413563,93.0572032
184976,University of Michigan Museum of Zoology,Pycnonotus cafer,1,f,NA,India,Palasbari,21.99,11.73,4.77,5.27,11.89,21.17,82.02,91.05,76.85,BRW,26.1333333,91.5
210938,University of Michigan Museum of Zoology,Bleda syndactylus,1,f,NA,Kenya,Kakamega Forest,22.03,14.12,4.98,6.85,12.28,26.03,89.18,102.14,88.43,BRW,0.2833333,34.75
184962,University of Michigan Museum of Zoology,Pycnonotus cafer,1,m,NA,India,Palasbari,22.17,11.98,4.98,4.98,11.82,24.14,96.15,103.11,87.93,BRW,26.1333333,91.5
118974,University of Michigan Museum of Zoology,Thescelocichla leucopleura,1,m,NA,Cameroon,Sakbayeme,24.48,13.98,5.66,6.64,12.34,24.51,99.17,117.28,98.42,BRW,NA,NA
118976,University of Michigan Museum of Zoology,Thescelocichla leucopleura,1,m,NA,Cameroon,Sakbayeme,24.88,13.1,5.89,6.55,12.11,24.84,101.52,117.86,97.37,BRW,NA,NA
185587,University of Michigan Museum of Zoology,Ixos mcclellandii,1,m,NA,India,Pynursla,25.22,16.57,5.29,5.85,10.37,17.77,91.56,107.75,91.36,BRW,25.3166676,91.8999977
118975,University of Michigan Museum of Zoology,Thescelocichla leucopleura,1,m,NA,Cameroon,Sakbayeme,25.24,15.01,5.66,6.25,13.41,24.96,100.72,117.21,97.67,BRW,NA,NA
98579,University of Michigan Museum of Zoology,Hypsipetes madagascariensis,1,u,NA,Madagascar,Manjakatompo,25.43,16.55,7.26,6.28,12.77,19.46,98.46,117.18,91,BRW,NA,NA
208377,University of Michigan Museum of Zoology,Hypsipetes madagascariensis,1,m,NA,Madagascar,Perinet,26.3,14.8,5.15,6.48,11.65,20.22,89.76,107.53,84.35,BRW,-18.9333333,48.4166667
25570,University of Michigan Museum of Zoology,Hypsipetes guimarasensis,1,m,NA,Philippines,no specific locality,27.29,17.03,5.69,6.86,12.27,20.24,85.24,104.34,86.89,BRW,10,123
210039,University of Michigan Museum of Zoology,Hypsipetes crassirostris,1,m,NA,Seychelles,Praslin,28.62,17.33,7.51,8.26,16.23,24.86,108.43,130.37,104.03,BRW,-4.3166667,55.7333333
210038,University of Michigan Museum of Zoology,Hypsipetes crassirostris,1,m,NA,Seychelles,Make,29.4,17.17,7.31,7.98,16.2,26.32,110.14,142.21,109.71,BRW,-4.5833333,55.6666667
23619,University of Michigan Museum of Zoology,Rubigula squamata,1,m,NA,Malaysia,no specific locality,NA,NA,4.22,4,9.24,15.4,61.12,74.91,63.59,BRW,2.326361,102.281699
185346,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Karong,NA,NA,4.33,5.08,9.86,17.8,79,93.49,78.19,BRW,25.2999992,94.0500031
185091,University of Michigan Museum of Zoology,Alcurus striatus,NA,f,NA,India,Kohima,NA,NA,4.69,5.48,10.51,17.94,83.69,101.91,81.78,BRW,25.6666667,94.1166649
185134,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Cherrapunji,NA,NA,5.71,5.8,11.76,16.77,81.51,103.5,80.8,BRW,25.3000002,91.7000008
185143,University of Michigan Museum of Zoology,Alcurus striatus,NA,m,NA,India,Blue Mountain,NA,NA,4.69,5.45,10.99,18.68,90.97,104.96,83.13,BRW,23.390356,92.718309
