Country,Site,Date,Species,Age,Sex,Weight,Measurer,Band_ID,Wing_length,Tarsus_length,Bill_length,Bill_height,Bill_width,,,
Malaysia,Tea ,30-Mar-17,Pycnonotus goiavier,A,Unsure,31.5,MCKS,92UWA16G,87,20.43,17.65,4.98,5.54,,,
Malaysia,Lojing logged,08-Apr-17,Pycnonotus finlaysoni,A,Unsure,28,MCKS,101UWA16G,79,19.99,17.75,5.34,5.84,,,
Malaysia,Lojing logged,08-Apr-17,Pycnonotus finlaysoni,A,Unsure,25.5,MCKS,102UWA16G,75,19.29,17.21,5.29,6.1,,,
Malaysia,Tea ,25-May-17,Pycnonotus goiavier,A,M,31,MCKS,113UWA16G,80,21.12,17.48,5.09,6.15,,,
Malaysia,Lojing logged,03-Jun-17,Rubigula flaviventris,A,M,26.5,MCKS,119UWA16G,82,16.75,16.83,4.95,5.96,,,
Malaysia,Lojing logged,03-Jun-17,Rubigula flaviventris,A,F,29,MCKS,120UWA17G,80,15.91,16.23,4.68,5.14,,,
Malaysia,Lojing logged,03-Jun-17,Pycnonotus goiavier,A,Unsure,29.5,MCKS,122UWA16G,82,21.13,18.29,5.09,6.01,,,
Malaysia,Lojing logged,03-Jun-17,Pycnonotus goiavier,A,Unsure,30.5,MCKS,123UWA16G,85,20.96,19.95,5.24,5.55,,,
Malaysia,Lojing logged,03-Jun-17,Pycnonotus finlaysoni,A,F,29,MCKS,125UWA16G,77,19.01,17.38,5.56,6.39,,,
Malaysia,Lojing logged,03-Jun-17,Ixos mcclellandi,A,F,39,MCKS,350UWA16E,95,17.52,23.64,5.48,7.4,,,
Malaysia,Lojing logged,04-Jun-17,Rubigula flaviventris,A,Unsure,24.5,MCKS,Missing (127G),83,16.31,15.92,4.64,6.5,,,
Malaysia,Lojing logged,04-Jun-17,Rubigula flaviventris,A,Unsure,22.5,MCKS,126UWA16G,78,16.28,15.47,4.55,5.58,,,
Malaysia,Lojing logged,04-Jun-17,Rubigula flaviventris,A,Unsure,24,MCKS,128UWA16G,80,15.37,16.43,4.38,5.37,,,
Malaysia,Fragment,12-Sep-17,Ixos mcclellandi,A,M,34,MCKS,389UWA16E,97,16.3,22.53,5.58,6.34,,,
Malaysia,Fragment,12-Sep-17,Ixos mcclellandi,A,M,36.5,MCKS,391UWA16E,101,17.4,23.49,6.09,6.69,,,
Malaysia,Fragment,13-Sep-17,Ixos mcclellandi,A,M,30,MCKS,404UA16E,96,17.55,22.38,5.9,7.39,,,
Malaysia,Fragment,09-Nov-17,Ixos mcclellandi,A,Unsure,28.5,MCKS,416UWA16E,96,16.96,19.97,5.54,6.15,,,
Malaysia,Fragment,09-Nov-17,Ixos mcclellandi,A,Unsure,35.5,MCKS,417UWA16E,94,16.72,24.13,5.56,6.56,,,
