"Trait","Pearson_Correlation","CV"
"Beak.Length_Culmen",0.975574571415846,0.0209001267106771
"Beak.Length_Nares",0.97808627493366,0.0295272582008063
"Beak.Width",0.779275804258339,0.0520223010746824
"Beak.Depth",0.973585743029837,0.0306698328149485
"Tarsus.Length",0.806553709807521,0.0474767915148906
"Wing.Length",0.973809014733565,0.0133970876608344
"Kipps.Distance",0.942437674406857,0.0586848410345933
"Tail.Length",0.945340473472087,0.0233968019423267
