"Trait","Unique.Specimen.Identifier","Family","CI_lower","CI_upper"
"Beak.Length_Culmen",0.407361671270143,0.575381668400019,0.34497971276521,0.489007814658433
"Beak.Length_Nares",0.477729498179229,0.518824726007491,0.40745708955068,0.564641316338403
"Beak.Width",0.310714471270667,0.608124499487926,0.260254277920211,0.375572630201942
"Beak.Depth",0.382481285271305,0.604541514628352,0.313768362029683,0.462210880777836
"Tarsus.Length",0.161976362336539,0.82409678687291,0.128619848217555,0.210753567969696
"Wing.Length",0.375200359797338,0.622313912839895,0.307531570142325,0.462648582854564
"Kipps.Distance",0.577088968869813,0.409130505887469,0.503801173083234,0.655294944936056
"Tail.Length",0.389707525231846,0.604463562188492,0.326835603687787,0.474477524662577
