gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4164079089	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	fd86fa08-5747-4797-be9f-a8d5d61a2061	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Eurillas	Eurillas latirostris	australis	SUBSPECIES	Eurillas latirostris australis (Moreau, 1941)			TZ	Mbizi Forest Reserve	Rukwa Region	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.616667	31.5							2008-03-01	1	3	2008	9004172	7340356	PRESERVED_SPECIMEN	NHMD	AV	NHMD129722				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:58.246Z		COORDINATE_ROUNDED
4164079078	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	ed1e1d2f-8887-4828-81ea-7c6593c01f2b	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla fusciceps		SPECIES	Arizelocichla fusciceps (Shelley, 1893)			TZ	Ndundulu Forest	Iringa Region	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.8	36.5							2007-03-15	15	3	2007	6100812	6100812	PRESERVED_SPECIMEN	NHMD	AV	NHMD123844				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:44.363Z		TAXON_MATCH_HIGHERRANK
4164079076	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	decc277b-08ba-4eb7-b727-1c29c8c37980	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis	roehli	SUBSPECIES	Arizelocichla masukuensis roehli (Reichenow, 1905)			TZ	Kilindi Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-5.57	37.569722							2005-05-14	14	5	2005	6086770	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD124926				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:58.246Z		COORDINATE_ROUNDED
4164079052	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	c391670e-1dbe-465d-8e31-dac69f67564a	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Eurillas	Eurillas gracilis	gracilis	SUBSPECIES	Eurillas gracilis gracilis (Cabanis, 1880)			NG	Osomba	Cross River State	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	5.45	8.63							1959-02-18	18	2	1959	7340369	7340368	PRESERVED_SPECIMEN	NHMD	AV	NHMD137534				CC_BY_4_0		Volsøe, Helge			2026-03-18T07:45:58.244Z		
4164079051	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	7bbfb2e2-9ad8-4148-9842-147216ecbed0	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus cabanisi	placidus	SUBSPECIES	Phyllastrephus cabanisi placidus			TZ	Ndundulu Forest	Iringa Region	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.8	36.5							2007-06-08	8	6	2007	6540392	2486087	PRESERVED_SPECIMEN	NHMD	AV	NHMD129173				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:41.474Z		
4164079037	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	0bc193e0-e9b4-4358-a588-340a8d1e7ee3	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus flavostriatus	uzungwensis	SUBSPECIES	Phyllastrephus flavostriatus uzungwensis Jensen & Stuart, 1982			TZ	Ndundulu Forest	Iringa Region	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.8	36.5							2007-01-13	13	1	2007	6086093	2486089	PRESERVED_SPECIMEN	NHMD	AV	NHMD129686				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:46.400Z		
4164079014	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	acda8fdb-3832-4e7c-900b-0638228eeba3	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Eurillas	Eurillas virens		SPECIES	Eurillas virens (Cassin, 1857)			TZ	Ukami Forest		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.88	36.419722							2003-02-28	28	2	2003	7340348	7340348	PRESERVED_SPECIMEN	NHMD	AV	NHMD131212				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:44.356Z		COORDINATE_ROUNDED
4164079008	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	0decb86f-67e5-4ffb-82d6-7d4ed75654bc	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus barbatus	layardi	SUBSPECIES	Pycnonotus barbatus layardi			MW	Kapalasa Farm		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-15.610722	35.164397							1991-12-21	21	12	1991	6094955	2486147	PRESERVED_SPECIMEN	NHMD	AV	NHMD137525				CC_BY_4_0		Grüner, J.			2026-03-18T07:45:44.356Z		COORDINATE_ROUNDED
4164078991	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	d22d61dd-4744-4c27-aa10-1452b14d652b	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus barbatus	layardi	SUBSPECIES	Pycnonotus barbatus layardi			TZ	Lossongonoi Plateau		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-4.059722	37.13							2006-08-17	17	8	2006	6094955	2486147	PRESERVED_SPECIMEN	NHMD	AV	NHMD126299				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:44.354Z		COORDINATE_ROUNDED
4164078987	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	79b8508d-24a5-4185-9c69-1b689c69924f	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis	roehli	SUBSPECIES	Arizelocichla masukuensis roehli (Reichenow, 1905)			TZ	Liwili Kitesa Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-11.399722	34.9							2006-01-16	16	1	2006	6086770	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD124954				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:41.465Z		COORDINATE_ROUNDED
