"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,
"863508133	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:278772	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus fischeri		SPECIES	Phyllastrephus fischeri (Reichenow"," 1879)	Phyllastrephus fischeri placidus		MW	Matipa-Wilinda Ridge"," Misuku Mts.		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-12.71667	33.4	301.0	1.0E-5	1828.8	0.0			1948-10-01	1	10	1948	2486097	2486097	PRESERVED_SPECIMEN	MCZ	Orn	278772		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College				2026-04-18T11:45:17.820Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK",,,
"863508131	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:235716	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Thescelocichla	Thescelocichla leucopleura		SPECIES	Thescelocichla leucopleura (Cassin"," 1855)	Thescelocichla leucopleura		CM	Sakbayeme	Littoral	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	4.05362	10.56607	3000.0	1.0E-5					1925-04-29	29	4	1925	2486190	2486190	PRESERVED_SPECIMEN	MCZ	Orn	235716		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	George W. Schwab			2026-04-18T11:47:39.745Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863508130	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:232753	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus flavostriatus	flavostriatus	SUBSPECIES	Phyllastrephus flavostriatus flavostriatus (Sharpe"," 1876)	Phyllastrephus flavostriatus flavostriatus		ZA	Woodbush	Limpopo	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-23.78333	30.06667	301.0	1.0E-5					1924-11-26	26	11	1924	6086064	2486089	PRESERVED_SPECIMEN	MCZ	Orn	232753		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Herbert Friedmann			2026-04-18T11:46:19.653Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863508129	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:198968	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus terrestris	intermedius	SUBSPECIES	Phyllastrephus terrestris intermedius Gunning & Roberts"," 1911	Phyllastrephus terrestris intermedius		ZW	Mt. Selinda		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-20.45084	32.71354	301.0	1.0E-5					1937-12-23	23	12	1937	6086290	2486094	PRESERVED_SPECIMEN	MCZ	Orn	198968		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	A. G. White			2026-04-18T11:48:27.769Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863508126	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:168777	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus fischeri		SPECIES	Phyllastrephus fischeri (Reichenow"," 1879)	Phyllastrephus fischeri placidus		KE	Mt. Mbolola"," Taita		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	1.75044	36.18348	301.0	1.0E-5					1934-04-16	16	4	1934	2486097	2486097	PRESERVED_SPECIMEN	MCZ	Orn	168777		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Arthur Loveridge			2026-04-18T11:47:59.770Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK",,,
"863508125	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:236485	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus baumanni		SPECIES	Phyllastrephus baumanni Reichenow"," 1895	Phyllastrephus baumanni		LR	Peahtah	Bong	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	7.19003	-9.8011	2124.0	1.0E-5					1926-10-14	14	10	1926	2486095	2486095	PRESERVED_SPECIMEN	MCZ	Orn	236485		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Glover M. Allen			2026-04-18T11:47:26.783Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863508123	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:237884	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus fischeri		SPECIES	Phyllastrephus fischeri (Reichenow"," 1879)	Phyllastrephus fischeri placidus		TZ	Uluguru Mts."," Bagilo		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862									1926-09-13	13	9	1926	2486097	2486097	PRESERVED_SPECIMEN	MCZ	Orn	237884		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Arthur Loveridge			2026-04-18T11:47:48.646Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK",,,
"863508122	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:279686	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus fischeri		SPECIES	Phyllastrephus fischeri (Reichenow"," 1879)	Phyllastrephus fischeri cabanisi		ZM	Muzyatana	Eastern	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862									1948-05-11	11	5	1948	2486097	2486097	PRESERVED_SPECIMEN	MCZ	Orn	279686		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	C. W. Benson			2026-04-18T11:45:18.334Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK",,,,
"863508121	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:89366	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Thescelocichla	Thescelocichla leucopleura		SPECIES	Thescelocichla leucopleura (Cassin"," 1855)	Thescelocichla leucopleura		CM	Sakbayeme	Littoral	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	4.05362	10.56607	3000.0	1.0E-5					1922-05-04	4	5	1922	2486190	2486190	PRESERVED_SPECIMEN	MCZ	Orn	89366		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	George W. Schwab			2026-04-18T11:46:34.157Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863508118	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:194983	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus flavostriatus	tenuirostris	SUBSPECIES	Phyllastrephus flavostriatus tenuirostris (Fischer & Reichenow"," 1884)	Phyllastrephus flavostriatus tenuirostris		TZ	Amani forest		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-5.36667	39.71667	3036.0	1.0E-5	914.4	0.0			1931-09-02	2	9	1931	6086107	2486089	PRESERVED_SPECIMEN	MCZ	Orn	194983		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Reginald E. Moreau			2026-04-18T11:46:56.116Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
