Catalog #,Tissue #,Family - Full Name,Preparator #,Genus - Full Name,Species - Full Name,Country - Full Name,State - Full Name,County - Full Name,Locality,DecimalLatitude,DecimalLongitude,Collection Date,Preparations,Collection Object - Remarks,Collector (orig),Collectors - Last Name,Collectors - First Name,Collectors - Middle Initial,Specimen Attribute - Age,Age Category,Specimen Attribute - Bursa,Specimen Attribute - Fat,Specimen Attribute - Gonads,Specimen Attribute - Molt,Specimen Attribute - Sex,Skull Oss.
120637,28163,Pycnonotidae,NHR 3203,Alophoixus,pallidus,Vietnam,Lao Cai,,Van Ban Nature Reserve,21.968,104.261,04/11/12,Skin - 1; Tissue - 100,selectively logged broadleaf evergreen forest,netted,,,,,,no,light,testes 10 x 5 mm,no,m,100%
120638,28157,Pycnonotidae,DRP 231,Alophoixus,pallidus,Vietnam,Lao Cai,,Van Ban Nature Reserve,21.968,104.261,04/10/12,Skin - 1; Tissue - 100,selectively logged broadleaf evergreen forest,netted,,,,,,no,light,testes 13 x 6 mm,no,m,100%
120639,28156,Pycnonotidae,DRP 230,Alophoixus,pallidus,Vietnam,Lao Cai,,Van Ban Nature Reserve,21.968,104.261,04/10/12,Skin - 1; Tissue - 100,selectively logged broadleaf evergreen forest,netted,,,,,,no,no,"testes 9 x 6 mm, seminal vesicles enlarged",light on wing,m,100%
120674,not taken,Pycnonotidae,MBR 8252,Ixos,mcclellandii,Vietnam,Lao Cai,,Van Ban Nature Reserve,21.949,104.255,04/03/12,Alcoholic - 1,scrub along ridge crest,netted,,,,,,,,,no,u,
120698,27315,Pycnonotidae,CHO 1656,Pycnonotus,goiavier,Philippines,Cebu,,"Cebu Island, Argao, Mt. Lantoy",9.901,123.53,12/07/11,Alcoholic - 1; Tissue - 100,second growth forest,net,,,,,,,,,"body, wing, tail",u,
120703,28204,Pycnonotidae,PAH 1087,Pycnonotus,urostictus,Philippines,Bohol,,"Bohol Island, Bilar, Duangon Spring",9.72,124.126,05/14/2012,Alcoholic - 1; Tissue - 100,"parasite P-4843, karst forest",net,,,,,,,,,no,u,
120706,28211,Pycnonotidae,PAH 1094,Hypsipetes,philippinus,Philippines,Bohol,,"Bohol Island, Bilar, Duangon Spring",9.72,124.126,05/14/2012,Alcoholic - 1; Tissue - 100,karst forest,net,,,,,,,,,no,u,
120707,28212,Pycnonotidae,PAH 1095,Pycnonotus,urostictus,Philippines,Bohol,,"Bohol Island, Bilar, Duangon Spring",9.72,124.126,05/14/2012,Alcoholic - 1; Tissue - 100,karst forest,net,,,,,,,,,no,u,
120719,28357,Pycnonotidae,MNJ 56,Hypsipetes,philippinus,Philippines,Agusan del Norte,,"Mindanao Island, Agusan del Norte, Mt. Hilong-Hilong",9.075,125.665,06/09/12,Alcoholic - 1; Tissue - 100,"parasite p-5117, secondary forest",net,,,,,,,,,no,u,
120725,28458,Pycnonotidae,KRI 67,Pycnonotus,goiavier,Philippines,,,"Mindanao Island, Agusan del Norte, Mt. Hilong-Hilong",9.064,125.642,06/17/2012,Alcoholic - 1; Tissue - 100,"parasite p-5367, secondary forest",net,,,,,,,,,no,u,
