Catalog #,Tissue #,Family - Full Name,Preparator #,Genus - Full Name,Species - Full Name,Country - Full Name,State - Full Name,County - Full Name,Locality,DecimalLatitude,DecimalLongitude,Collection Date,Preparations,Collection Object - Remarks,Collector (orig),Collectors - Last Name,Collectors - First Name,Collectors - Middle Initial,Specimen Attribute - Age,Age Category,Specimen Attribute - Bursa,Specimen Attribute - Fat,Specimen Attribute - Gonads,Specimen Attribute - Molt,Specimen Attribute - Sex,Skull Oss.
15200,,Pycnonotidae,,Pycnonotus,goiavier,Philippines,Unplaced,Zamboanga Sibugay,Malaugas,,,04/04/23,Skin - 1,donated to KU Museum,"Taylor, E.H.",Taylor,E.,H.,,,,,,,M,
15201,,Pycnonotidae,,Pycnonotus,goiavier,Philippines,Unplaced,Zamboanga Sibugay,Malaugas,,,,Skin - 1,donated to KU Museum,"Taylor, E.H.",Taylor,E.,H.,,,,,,,U,
29518,,Pycnonotidae,,Phyllastrephus,fischeri,,,,"Karura Forest, Nairobi",-1.16667,36.83333,08/22/1949,Skin - 1,gonads drawn on tag,"Clade, C.E.",Clade,C.,E.,Adult,,,,testes minute,,M,100%
33046,,Pycnonotidae,429,Pycnonotus,jocosus,,,,N/A,,,,Skeleton - 1,captive bird,"WOOLFENDEN, G.  E.",Woolfenden,G.,E.,,,,,,,U,
40019,,Pycnonotidae,,Pycnonotus,cafer,Pakistan,,,"Lahore, 20 mi NW",,,03/31/1961,Skin - 1,,"Maldonado, A.",Maldonado,A.,,,,,,,,F,
40020,,Pycnonotidae,,Pycnonotus,cafer,Pakistan,,,"Lahore, 20 mi NW",,,03/31/1961,Skin - 1,,"Maldonado, A.",Maldonado,A.,,,,,,,,M,
40991,,Pycnonotidae,3518,Alophoixus,ochraceus,Malaysia,Borneo,,"Tenom, 5.5 mi SW",,,12/23/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
40993,,Pycnonotidae,3559,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/01/63,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,testes enlarged,,M,
40994,,Pycnonotidae,3560,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/01/63,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
40995,,Pycnonotidae,3567,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/02/63,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes small,,M,
40996,,Pycnonotidae,3569,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/02/63,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
40998,,Pycnonotidae,3571,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/02/62,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes 9 x 7 mm,,M,
40999,,Pycnonotidae,3572,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/02/63,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
41024,,Pycnonotidae,3353,Alophoixus,bres,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,11/27/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41025,,Pycnonotidae,3354,Alophoixus,bres,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,11/27/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
41026,,Pycnonotidae,3110,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalbakan, 12 mi. N; Tawau Residency",,,10/20/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41027,,Pycnonotidae,3125,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalbakan, 12 mi. N; Tawau Residency",,,10/22/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
41028,,Pycnonotidae,3155,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalbakan, 12 mi. N; Tawau Residency",,,10/26/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
41029,,Pycnonotidae,3109,Setornis,criniger,Malaysia,Borneo,,"Kalabakan, 12 mi. N; Tawau Residency",,,10/20/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41030,,Pycnonotidae,3337,Setornis,criniger,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,11/27/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
41031,,Pycnonotidae,3129,Setornis,criniger,Malaysia,Borneo,,"Kalabakan, 12 mi. N; Tawau Residency",,,10/22/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41032,,Pycnonotidae,3357,Pycnonotus,erythropthalmos,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,11/27/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
41033,,Pycnonotidae,3405,Pycnonotus,erythropthalmos,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,12/01/62,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,testes small,,M,
41034,,Pycnonotidae,3402,Pycnonotus,brunneus,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,12/01/62,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,testes small,,M,
41035,,Pycnonotidae,3403,Pycnonotus,brunneus,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,12/01/62,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,testes small,,M,
41036,,Pycnonotidae,3404,Pycnonotus,brunneus,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,12/01/62,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,testes small,,M,
41149,,Pycnonotidae,3591,Pycnonotus,plumosus,Philippines,Palawan,,"Culion Island, 6.5 mi SW Culion",,,06/11/62,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41151,,Pycnonotidae,3591,Pycnonotus,plumosus,Philippines,Palawan,,"Busuanga Island, San Nicholas, 6 km NE",,,05/27/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41152,,Pycnonotidae,3591,Pycnonotus,plumosus,Philippines,Palawan,,"Busuanga Island, San Nicholas, 6 km NE",,,05/29/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41153,,Pycnonotidae,3591,Pycnonotus,plumosus,Philippines,Palawan,,"Busuanga Island, San Nicholas, 6 km NE",,,05/29/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
41154,,Pycnonotidae,3591,Pycnonotus,plumosus,Philippines,Palawan,,"Busuanga Island, San Nicholas, 6 km NE",,,05/30/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41155,,Pycnonotidae,3341,Alophoixus,finschii,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawan",,,11/27/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41156,,Pycnonotidae,3341,Alophoixus,bres,Philippines,Palawan,,"Busuanga Island, San Nicholas, 6 km NE",,,05/25/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,U,
41273,,Pycnonotidae,,Pycnonotus,atriceps,Philippines,Palawan,,"Palawan Island, Macagua, Brooke's Point",,,04/02/62,Skin - 1,,"Rabor, D.S",Rabor,D.,S.,,,,,,,M,
41274,,Pycnonotidae,,Pycnonotus,atriceps,Philippines,Palawan,,"Palawan Island, Macagua, Brooke's Point",,,04/07/62,Skin - 1,,"Rabor, D.S",Rabor,D.,S.,,,,,,,F,
41275,,Pycnonotidae,,Pycnonotus,atriceps,Philippines,Palawan,,"Palawan Island, Pinigisan, Mantalingajan Range, Brooke's Point",,,04/21/1962,Skin - 1,,"Rabor, D.S",Rabor,D.,S.,,,,,,,M,
41276,,Pycnonotidae,,Pycnonotus,atriceps,Philippines,Palawan,,"Palawan Island, Tarabanan, Conception, Puerto Princese",,,05/07/62,Skin - 1,,"Rabor, D.S",Rabor,D.,S.,,,,,,,M,
41277,,Pycnonotidae,,Pycnonotus,atriceps,Philippines,Palawan,,"Palawan Island, Tarabanan, Conception, Puerto Princese",,,05/15/1962,Skin - 1,,"Rabor, D.S",Rabor,D.,S.,,,,,,,F,
41278,,Pycnonotidae,,Pycnonotus,plumosus,Philippines,Palawan,,"Palawan Island, Macagua, Brooke's Point",,,04/02/62,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,ovary active,,F,
41279,,Pycnonotidae,,Pycnonotus,plumosus,Philippines,Palawan,,"Palawan Island, Macagua, Brooke's Point",,,04/03/62,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,,,F,
41280,,Pycnonotidae,,Pycnonotus,plumosus,Philippines,Palawan,,"Palawan Island, Macagua, Brooke's Point",,,04/21/1962,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,,,M,
41281,,Pycnonotidae,,Pycnonotus,plumosus,Philippines,Palawan,,"Palawan Island, Macagua, Brooke's Point",,,04/21/1962,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,,,F,
41282,,Pycnonotidae,,Pycnonotus,plumosus,Philippines,Palawan,,"Palawan Island, Malabusog, Tinitian Roxas",,,04/27/1962,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,,,M,
41283,,Pycnonotidae,,Pycnonotus,plumosus,Philippines,Palawan,,"Culion Island, Culion, 6.5 km SW",,,06/09/62,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41284,,Pycnonotidae,,Alophoixus,bres,Philippines,Palawan,,"Palawan Island, Macagua, Brook's Point",,,03/29/1962,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,testis enlarged,,M,
41285,,Pycnonotidae,,Alophoixus,bres,Philippines,Palawan,,"Palawan Island, Macagua, Brook's Point",,,04/04/62,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,,,M,
41286,,Pycnonotidae,,Alophoixus,bres,Philippines,Palawan,,"Palawan Island, Macagua, Brook's Point",,,04/04/62,Skin - 1,,,,,,,,,,ovary active,,F,
41287,,Pycnonotidae,,Alophoixus,bres,Philippines,Palawan,,"Palawan Island, Minagas Point, Dalawan Bay",,,04/26/1962,Skin - 1,,"Thompson, M.C. and Gonzales, R.",Thompson,M.,C.,,,,,testis enlarged,,M,
41287,,Pycnonotidae,,Alophoixus,bres,Philippines,Palawan,,"Palawan Island, Minagas Point, Dalawan Bay",,,04/26/1962,Skin - 1,,"Thompson, M.C. and Gonzales, R.",Gonzales,R.,B.,,,,,testis enlarged,,M,
41288,,Pycnonotidae,,Iole,palawanensis,Philippines,Palawan,,"Palawan Island, Pinigisan, Mantalingisjan Range, Brooke's Point",,,04/12/62,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,testis enlarged,,M,
41289,,Pycnonotidae,,Iole,palawanensis,Philippines,Palawan,,"Palawan Island, Malabusog, Roxas, Tinitian",,,04/28/1962,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,,,M,
41290,,Pycnonotidae,,Iole,palawanensis,Philippines,Palawan,,"Palawan Island, Tarabanan Conception, Puerta Princesa",,,05/08/62,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,,,F,
41291,,Pycnonotidae,,Iole,palawanensis,Philippines,Palawan,,"Palawan Island, Tarabanan Conception, Puerta Princesa",,,05/16/1962,Skin - 1,,"Rabor, D.S.",Rabor,D.,S.,,,,,testis enlarged,,M,
43231,,Pycnonotidae,3547,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,12/31/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary minute,,F,
43232,,Pycnonotidae,3548,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,12/31/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes 9 x 6 mm,,M,
43233,,Pycnonotidae,3557,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/01/63,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary minute,,F,
43234,,Pycnonotidae,3566,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/02/63,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
43235,,Pycnonotidae,3568,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/02/63,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testis 9 x 7 mm,,M,
43236,,Pycnonotidae,3553,Pycnonotus,plumosus,Malaysia,Borneo,,Tenom,,,01/01/63,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testis 6 x 5 mm,,M,
43237,,Pycnonotidae,3554,Pycnonotus,plumosus,Malaysia,Borneo,,Tenom,,,01/01/63,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes small,,M,
43238,,Pycnonotidae,3577,Pycnonotus,plumosus,Malaysia,Borneo,,Tenom,,,01/04/63,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes 6 x 4 mm,rectrices only,M,
43239,,Pycnonotidae,3578,Pycnonotus,plumosus,Malaysia,Borneo,,Tenom,,,01/04/63,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes 5 x 4 mm,,M,
43240,,Pycnonotidae,2638,Pycnonotus,brunneus,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawan",,,07/22/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,Immature,,,medium,,,F,
43241,,Pycnonotidae,2868,Pycnonotus,brunneus,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawan",,,09/04/62,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes 6 x 4 mm,,M,
43242,,Pycnonotidae,2953,Pycnonotus,brunneus,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawan",,,09/25/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,medium,testes small,rectrices only,M,
43243,,Pycnonotidae,3422,Pycnonotus,brunneus,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawan",,,12/02/62,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes small,,M,
43244,,Pycnonotidae,3469,Pycnonotus,simplex,Malaysia,Borneo,,"Tenom, 5.5 mi SW",,,12/19/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
43245,,Pycnonotidae,2958,Pycnonotus,erythropthalmos,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawan",,,09/25/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,medium,testes 7 x 5 mm,,M,
43246,,Pycnonotidae,3419,Pycnonotus,erythropthalmos,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawan",,,12/02/62,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes small,,M,
43247,,Pycnonotidae,3420,Pycnonotus,erythropthalmos,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawan",,,12/02/62,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testis minute,,M,
43248,,Pycnonotidae,3271,Alophoixus,bres,Malaysia,Borneo,,"12 mi N Kalabakan, Tawau Residency",,,11/13/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes small,,M,
43249,,Pycnonotidae,3250,Alophoixus,bres,Malaysia,Borneo,,"12 mi N Kalabakan, Tawau Residency",,,11/11/62,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
43250,,Pycnonotidae,3127,Alophoixus,bres,Malaysia,Borneo,,"12 mi N Kalabakan, Tawau Residency",,,10/22/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes small,,M,
43251,,Pycnonotidae,3489,Alophoixus,ochraceus,Malaysia,Borneo,,"Tenom, 5.5 mi SW",,,12/21/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
43252,,Pycnonotidae,3491,Alophoixus,ochraceus,Malaysia,Borneo,,"Tenom, 5.5 mi SW",,,12/21/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes 4 x 3 mm,,M,
43253,,Pycnonotidae,3038,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalabakan, 12 mi N, Tawau Residency",,,10/14/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,medium,testes small,,M,
43254,,Pycnonotidae,3039,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalabakan, 12 mi N, Tawau Residency",,,10/14/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
43255,,Pycnonotidae,3063,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalabakan, 12 mi N, Tawau Residency",,,10/17/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
43256,,Pycnonotidae,3071,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalabakan, 12 mi N, Tawau Residency",,,10/17/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,medium,testes small,,M,
43257,,Pycnonotidae,3080,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalabakan, 12 mi N, Tawau Residency",,,10/19/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes small,,M,
43258,,Pycnonotidae,3135,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalabakan, 12 mi N, Tawau Residency",,,10/23/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
43259,,Pycnonotidae,2798,Alophoixus,finschii,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawau.",,,08/23/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,medium,testes 5 x 4 mm,,M,
43260,,Pycnonotidae,2799,Alophoixus,finschii,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawau.",,,08/23/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,moderate,ovary granular,,F,
43261,,Pycnonotidae,3023,Tricholestes,criniger,Malaysia,Borneo,,"Katabakan, 12 mi N, Tawau Residency",,,10/13/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes small,,M,
43262,,Pycnonotidae,3029,Tricholestes,criniger,Malaysia,Borneo,,"Katabakan, 12 mi N, Tawau Residency",,,10/13/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,medium,ovary minute,,F,
43263,,Pycnonotidae,3055,Tricholestes,criniger,Malaysia,Borneo,,"Katabakan, 12 mi N, Tawau Residency",,,10/16/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes small,,M,
43264,,Pycnonotidae,3081,Tricholestes,criniger,Malaysia,Borneo,,"Katabakan, 12 mi N, Tawau Residency",,,10/19/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,heavy,F,
43265,,Pycnonotidae,3082,Tricholestes,criniger,Malaysia,Borneo,,"Katabakan, 12 mi N, Tawau Residency",,,10/19/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary minute,,F,
43266,,Pycnonotidae,2781,Ixos,malaccensis,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawau",,,08/20/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes 8 x 5 mm,,M,
43267,,Pycnonotidae,2818,Iole,olivacea,Malaysia,Borneo,,"Cocoa Research Station, Quoin Hill, Tawau",,,08/27/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes 5 x 3 mm,,M,
43268,,Pycnonotidae,3466,Hemixos,flavala,Malaysia,Borneo,,"Tenom, 5.5 mi SW",,,12/19/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes 4 x 3 mm,,M,
43269,,Pycnonotidae,3477,Hemixos,flavala,Malaysia,Borneo,,"Tenom, 5.5 mi SW",,,12/20/1962,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,testes 5 x 4 mm,,M,light
43839,,Pycnonotidae,B.F. 925,Pycnonotus,sinensis,Taiwan,Formosa,,"Hua-Lien, Hua-Lies Hsien",,,03/23/1960,Skin - 1,received in exchange with Smithsonian in April 1964,,,,,,,,,,,F,
43840,,Pycnonotidae,B.F. 925,Pycnonotus,sinensis,Taiwan,Formosa,,"Hua-Lien, Hua-Lies Hsien",,,03/29/1960,Skin - 1,received in exchange with Smithsonian in April 1964,,,,,,,,,,,M,
43841,,Pycnonotidae,B.F. 3095,Hypsipetes,leucocephalus,Taiwan,,,"Hsin-sheh, Tai-chung Hsien, Formosa",,,02/09/61,Skin - 1,received in exchange with Smithsonian in April 1964,,,,,,,,,,,M,
48860,,Pycnonotidae,,Pycnonotus,cyaniventris,Thailand,,,"Songkhla, Nathawi",,,10/06/62,Skin - 1,,"Elbel, R.E.",Elbel,R.,E.,,,,,,,M,
48861,,Pycnonotidae,,Pycnonotus,jocosus,Thailand,,,"Ranong, kapoe, Muangkluang",,,12/29/1962,Skin - 1,,"Elbel, R.E.",Elbel,R.,E.,,,,,,,M,
48862,,Pycnonotidae,,Pycnonotus,finlaysoni,Thailand,,,"Phang, Nga Muang, Thai Chang",,,08/25/1962,Skin - 1,,"Elbel, R.E.",Elbel,R.,E.,,,,,,,M,
48863,,Pycnonotidae,,Pycnonotus,goiavier,Thailand,,,"Songkhla, Khao Rup Champ",,,10/23/1961,Skin - 1,,"Elbel, R.E.",Elbel,R.,E.,,,,,,,M,
48864,,Pycnonotidae,,Pycnonotus,goiavier,Thailand,,,"Songkhla, Khao Rup Champ",,,11/04/61,Skin - 1,,"Elbel, R.E.",Elbel,R.,E.,,,,,,,M,
70449,,Pycnonotidae,MS-93,Hypsipetes,madagascariensis,,,,"Dhanaulti, 1.0 mi. N; Kemoi",,,07/16/1974,Skeleton - 1,,"Waltner, R. C & S. A. Hussain",Waltner,R.,C.,,,,,,,M,
70449,,Pycnonotidae,MS-93,Hypsipetes,madagascariensis,,,,"Dhanaulti, 1.0 mi. N; Kemoi",,,07/16/1974,Skeleton - 1,,"Waltner, R. C & S. A. Hussain",Hussain,S.,A.,,,,,,,M,
70452,,Pycnonotidae,MS 32,Pycnonotus,cafer,,,,"Dehra Dun, 2.5 mi. N, 2.5 mi. E; Maldeota",,,06/23/1974,Skeleton - 1,,,,,,,,,,follicle enlarged,,F,
70477,,Pycnonotidae,,Pycnonotus,cafer,,,,"Keserwalla, 1.5 mi N and 4 mi E Dehra Dun",,,08/01/74,Skeleton - 1,,,,,,,,,,,,M,
70512,,Pycnonotidae,,Phyllastrephus,strepitans,Kenya,,,"Kongelai, W Pokot District",,,12/31/1975,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,Adult,,,light,ovary small,,F,100%
70561,,Pycnonotidae,,Phyllastrephus,strepitans,Kenya,West Pokot District,,Kongelai,,,01/01/76,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,ovary enlarged,,F,
70583,,Pycnonotidae,,Pycnonotus,barbatus,Kenya,West Pokot District,,Kongelai,,,01/01/76,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,ovary small,,F,
70584,,Pycnonotidae,,Pycnonotus,barbatus,Kenya,West Pokot District,,Kongelai,,,01/01/76,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,ovary small,,F,
70585,,Pycnonotidae,,Pycnonotus,barbatus,Kenya,West Pokot District,,Kongelai,,,01/01/76,Skeleton - 1,NUMBER 98 IN INDEX COLLECTION,"Thompson, M.C.",Thompson,M.,C.,,,,,testes small,,M,
70606,,Pycnonotidae,,Phyllastrephus,strepitans,Kenya,West Pokot District,,Kongelai,,,01/01/76,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,testes small,,M,
70839,,Pycnonotidae,,Andropadus,tephrolaemus,Kenya,,,"Kimothon, E Mt. Elgon",,,01/11/76,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,ovary small,,F,
70866,,Pycnonotidae,,Phyllastrephus,hypochloris,Kenya,,,"Kimothon, E Mt. Elgon",,,01/12/76,Skin - 1,gonads drawn on tag,"Thompson, M.C.",Thompson,M.,C.,,,,,testes small,,M,
70919,,Pycnonotidae,,Eurillas,latirostris,,,,"Kakamega Forest, W. Kenya",,,01/21/1975,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
70999,,Pycnonotidae,,Eurillas,latirostris,Kenya,,,"near Endebess, E Mt. Elgon",,,01/15/1976,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,testes small,,M,
71041,,Pycnonotidae,,Pycnonotus,barbatus,,,,"E Mt. Elgon, near Endebess",,,01/16/1976,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,OVARY SLIGHTLY ENLARGED,,F,100%
71056,,Pycnonotidae,,Andropadus,gracilirostris,Kenya,,,Kakamega Forest,,,07/01/75,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,U,
71102,,Pycnonotidae,,Eurillas,latirostris,Kenya,,,"Kimothon, E Mt. Elgon",,,01/18/1976,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary small,,F,unossified
71117,,Pycnonotidae,,Pycnonotus,barbatus,Kenya,,,"Kongelai, W Pokot District",,,01/06/76,Skin - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,ovary smooth,,F,100%
71139,,Pycnonotidae,,Pycnonotus,barbatus,Kenya,,,"Kongelai, W Pokot District",,,01/02/76,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
71140,,Pycnonotidae,,Pycnonotus,barbatus,Kenya,,,"Kongelai, W Pokot District",,,01/02/76,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
71233,,Pycnonotidae,599,Hypsipetes,madagascariensis,,,,"34 mi S and 11 mi E Mussoorie, near Dhanaulti",,,12/10/73,Skin - 1,,"Waltner, R.C.",Waltner,R.,C.,,,,medium,testis not enlarged,,M,100%
80540,,Pycnonotidae,758,Eurillas,virens,,,,Kakamega Forest,,,,Skeleton - 1,TAKEN IN SEPTEMBER OR OCTOBER,"WILLIAMS, J.  G.",Williams,John,G.,,,,,,,M,
81195,,Pycnonotidae,S-927,Pycnonotus,leucogenys,Pakistan,,,"Cambellpur District, Chinji",,,01/26/1975,Skeleton - 1,,"SIBLEY, F.  C.",Sibley,Fred,C.,,,,,testes 1 mm,,M,
92579,,Pycnonotidae,OK 183,Hemixos,castanonotus,China,Hunan,Dongan,Dongan Shun Huang Shan National Park,26.409,111.035,08/29/2002,Alcoholic - 1,preserved with formaldehyde,netted,,,,,,,,,heavy body,U,
