Unique.Specimen.Identifier,Family,Order1,Sequence,Specimen.number,Source,Sex,Locality,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Andropadus importunus_1960.18.6,Pycnonotidae,PASSERIFORMES,7767,1960.18.6,NHMUK,M,"Ferndale, nr Patensie, 58 miles NW of Port Elizabeth",South Africa,18,9.3,3.9,5.5,22.2,92,13.3,78.7,14.5,93,2,CV,1,0,0
Arizelocichla masukuensis_1935.10.9.92,Pycnonotidae,PASSERIFORMES,7793,1935.10.9.92,NHMUK,M,-,-,16.2,NA,3.4,3.9,22.8,82,NA,NA,NA,84,1,GT,0,0,0
Arizelocichla masukuensis_1935.10.9.92,Pycnonotidae,PASSERIFORMES,7793,1935.10.9.92,NHMUK,M,"Mugesse Mt. Masuku Mts, Nyasaland",Malawi,15.4,7.4,3.3,3.5,21.8,85,13.1,71.9,15.4,84,2,CV,1,0,0
Arizelocichla montana_1966.16.1753,Pycnonotidae,PASSERIFORMES,NA,1966.16.1753,NHMUK,F,NA,NA,16.3,8.8,3.7,4.2,22.1,80,7.3,72.7,NA,81,1,CV,1,1,0
Arizelocichla montana_1966.16.1753,Pycnonotidae,PASSERIFORMES,NA,1966.16.1753,NHMUK,F,Lake Oku,Cameroon,16.37,8.88,3.72,4.52,22.28,78,8.74,69.26,NA,85,2,ER,1,1,0
Arizelocichla montana_1966.16.1763,Pycnonotidae,PASSERIFORMES,NA,1966.16.1763,NHMUK,M,NA,NA,17.1,9,4,4,21.2,83,10.3,72.7,NA,81,1,CV,1,1,0
Arizelocichla montana_1966.16.1763,Pycnonotidae,PASSERIFORMES,NA,1966.16.1763,NHMUK,M,"Saxenhof, Buea",Cameroon,16.96,9.13,3.98,4.2,22.07,80,9.38,70.62,NA,88,2,ER,1,1,0
Arizelocichla neumanni_1937.12.27.167,Pycnonotidae,PASSERIFORMES,NA,1937.12.27.167,NHMUK,M,NA,NA,18.9,10,4.8,5.4,24.1,97,14.3,82.7,NA,94,1,CV,1,1,0
Arizelocichla neumanni_1937.12.27.167,Pycnonotidae,PASSERIFORMES,NA,1937.12.27.167,NHMUK,M,"Kinole, North Uluguru Mts.",United Republic of Tanzania,20.14,10.48,4.75,5.54,24.48,95,15.43,79.57,NA,95,2,ER,1,1,0
Atimastillas flavicollis_1966.16.1786,Pycnonotidae,PASSERIFORMES,NA,1966.16.1786,NHMUK,M,NA,NA,20.5,10.5,5,5.9,23.1,110,17.2,92.8,NA,107,1,CV,1,1,0
Atimastillas flavicollis_1966.16.1786,Pycnonotidae,PASSERIFORMES,NA,1966.16.1786,NHMUK,M,Enugu,Nigeria,21.3,11.77,4.71,6.18,22.85,110,15.62,94.38,NA,107,2,ER,1,1,0
